시_원문,,A,B,C,C_근거,D,D_근거,인간 평가 A,인간 평가 B,인간 평가 C,인간 평가 D,인간 평가 E
矗矗陰山問幾重東來列郭跨連峯縱橫粉堞銀成雉?繞金墉玉作龍死憶蒙恬?地脈威思秦帝塞要衝至今?蔽防胡?永使邊氓奠九農,,1,0,1,"이 시는 대표적인 북방 국경 지대인 '음산(陰山)'을 배경으로, 만리장성(列郭, 粉堞, 金墉)의 웅장한 모습을 묘사하고 있습니다. 또한 진시황(秦帝)과 몽념(蒙恬) 장군의 고사를 인용하여 북방 유목민족인 호갈(胡?)의 침입을 막아내고 변방의 백성(邊氓)들을 평안하게 지키는 국경 요새의 군사적 역할을 노래하고 있으므로, 변방의 풍경과 군사적 방비를 주제로 하는 전형적인 변새시(邊塞詩)입니다.",1,"음산(陰山), 몽념(蒙恬), 방호갈(防胡?), 변맹(邊氓) 등 북방 변방의 지리와 역사적 인물, 외침 막기를 묘사한 전형적인 변새시(邊塞詩)임.",1,1,1,,
大嶺雲全隔重江路不分休回剡溪棹遠叩玉泉門?短山光滴窓虛木葉聞相逢慰離索淸坐却忘言,,0,1,0,"제시된 한시는 깊은 산속(大嶺, 重江)을 헤치고 나아가 벗이나 승려의 처소(玉泉門)를 찾아가 만난 기쁨과 그 고요한 정취를 노래한 작품입니다. 섬계(剡溪)의 노를 돌리지 않고 끝내 찾아가 만나서, 고요히 마주 앉아 말을 잊었다(淸坐却忘言)는 서정적이고 은일(隱逸)적인 성격이 강합니다. 변방의 삼엄한 군사적 긴장감, 종군(從軍)의 고통, 혹은 국경 지대의 이국적인 풍경과 같은 변새시(邊塞詩)의 특징은 전혀 찾아볼 수 없습니다.",0,"깊은 산속에서 은자나 벗을 찾아가 조용히 정취를 나누는 만남을 노래한 시로, 변방의 군사적 긴장이나 국경 수비 등 변새시의 요소가 전혀 없습니다.",0,0,0,,
勉將肥遯慰疇咨半歲東華屢懇辭喬嶽不言猶鎭物蓍龜在世可稽疑江山有約行藏重富貴無心進退宜遙憶故園春事早小梅應放向南枝,,0,0,0,"이 시는 조정의 관직에서 물러나 자연으로 돌아가고자 하는 은일(隱逸)과 귀거래(歸去來)의 의지를 담은 시입니다. 도성(東華)을 떠나기를 청하고, 부귀에 뜻이 없어 강산으로 돌아가고자 하며, 고향(故園)에 피었을 매화를 그리워하는 내용을 담고 있습니다. 이는 변방의 군사적 갈등, 이국적인 풍경, 종군의 고충 등을 다루는 변새시(邊塞詩)의 특징과 부합하지 않습니다.",0,"벼슬을 사직하고 고향(자연)으로 돌아가 은거하고자 하는 뜻을 담은 시로, 변방의 군사적 대립이나 국경지대의 삶을 다룬 변새시와 무관함.",0,0,0,,
東溟有長鯨西塞有封豕江障哭殘兵海?無堅壘廟算非良籌全豈男子寒風不再生絶景空垂耳誰識衣草人雄心日千里,,1,1,1,"이 작품은 변방의 군사적 위기와 국경 방비의 참상을 사실적으로 묘사한 전형적인 변새시(邊塞詩)입니다. 시인은 '서새(西塞, 서쪽 변방)', '강장(江障, 강의 장벽)', '해교(海?, 바다 국경)' 등 국경 지대의 공간을 배경으로 삼아, 동쪽의 왜구(長鯨)와 서쪽의 이민족(封豕)의 침입으로 인한 국가적 위기를 드러냅니다. 또한 패잔병들의 울부짖음('哭殘兵')과 허술한 군사 요새('無堅壘')의 비극적 현장을 고발하는 동시에, 조정의 잘못된 대책('廟算非良籌')을 비판하고 나라를 구하고자 하는 영웅적 포부('雄心日千里')를 노래하고 있어 변새시의 주제 의식과 일치합니다.",1,"西塞(서새), 殘兵(잔병), 堅壘(견루) 등의 시어를 사용하여 변방의 군사적 위기와 패전의 비극을 묘사하고 있으며, 이에 대한 안타까움과 무인으로서의 웅심(雄心)을 드러내고 있으므로 변새시에 해당함.",1,1,1,,
通才邃學冠金閨間出元來應聚奎寵辱平生?是幻君民夙志竟云齎交親誼篤胡劉匹薄劣名慙李杜齊雅望英姿那復見白頭呼痛暮江西,,0,1,0,"제시된 한시는 평생의 학문적 성취와 군민(君民)을 향한 포부를 남기고 세상을 떠난 벗을 애도하는 전형적인 만시(挽詩)이자 애도 시입니다. 시의 표현 중 '금규(金閨, 조정)', '규성(奎星, 학문)', '이두(李杜, 이백과 두보)' 등은 관직 생활과 문학적 우정을 나타내며, 후반부의 '그 고운 모습 어찌 다시 보랴(雅望英姿那復見)', '흰 머리로 통곡하네(白頭呼痛)' 등의 구절은 사별의 슬픔을 노래하고 있습니다. 변방의 군사적 긴장감, 이국의 풍경, 종군의 고통 등 변새시(邊塞詩)의 특징적 요소는 전혀 찾아볼 수 없습니다.",0,"학식과 명망이 높았던 벗의 죽음을 슬퍼하고 생전의 우정과 뜻을 기리는 만시(輓詩)로, 변방의 군사적 대립이나 변방의 삶을 노래하는 변새시가 아닙니다.",0,0,0,,
風沙漠漠塞天昏客子貂?故不溫獨在異鄕歸未得慈親應倚日斜門,,1,1,1,"이 시는 첫 구에서 '風沙(바람과 모래)', '塞天(변방의 하늘)'과 같은 시어를 사용하여 황량하고 이국적인 변방의 풍경을 구체적으로 묘사하고 있습니다. 또한 둘째 구의 '貂?(담비 가죽옷)'가 따뜻하지 않다는 표현을 통해 변방의 혹독한 추위와 그곳에 체류하는 객자(客子)의 고충을 생생하게 전달합니다. 비록 후반부에서 고향의 어머니를 그리워하는 정서를 다루고 있으나, 전체적인 공간적 배경과 풍물이 변새(邊塞)에 기반하고 있으므로 변새시로 판별하는 것이 타당합니다.",1,"風沙, 塞天, 貂? 등 변방 지역의 황량하고 추운 기후를 나타내는 시어를 사용하여, 국경 지역에 머무는 나그네의 고독과 고향에 대한 그리움을 묘사함.",1,1,1,,
草沒??十畝區生涯只此外無餘陶潛種?心猶累許靖求田計却迂賦分幾時消薺甕行藏半世寄?廬空山風雨?音寂獨臥茅?伴僕夫,,0,0,0,"제시된 한시는 도잠(도연명)의 고사를 인용하며 전원에서의 은거 생활과 빈한한 삶 속의 정조를 노래한 전형적인 전원시(田園詩)이자 은일시(隱逸詩)입니다. 풀이 우거진 밭(??), 도연명이 수수밭을 일구던 고사(陶潛種?), 빈 산(空山)과 초가집 처마(茅?) 등은 모두 세속을 벗어나 은거하는 삶을 묘사하는 시어들입니다. 변방의 군사적 충돌, 종군(從軍)의 고통, 혹은 변방 국경 지대의 이국적인 풍경 등 변새시(邊塞詩)의 핵심적인 요소가 전혀 나타나지 않으므로 이 작품은 변새시가 아닙니다.",0,"도연명(陶潛)의 고사를 인용하며 빈 산속 초막에서 지내는 은거 생활의 쓸쓸함과 안빈낙도를 노래한 시로, 변방의 군사적 긴장이나 국방과는 무관함.",0,0,0,,
手中金僕臂雕弧走馬翩翩俠少徒誇說劍頭餘虜血去年身斬小單于,,1,0,1,"이 시는 활(雕弧)과 화살(金僕)을 지니고 말을 달리는 젊은 무사(俠少)의 호방한 모습을 묘사하며, 칼끝에 묻은 오랑캐의 피(虜血)를 자랑하고 지난해에 직접 선우(單于, 흉노의 군주)를 베었다고 노래하고 있습니다. 이는 변방에서의 군사적 무공과 호쾌한 기상을 제재로 다루는 전형적인 변새시(邊塞詩)의 특징을 뚜렷이 보여줍니다.",1,"雕弧(활), 虜血(오랑캐의 피), 小單于(소단우) 등 변방의 군사적 소재를 사용하여 오랑캐와의 전투에서 세운 무공과 기개를 묘사하고 있음.",1,1,1,,
何年九苞禽引雛從南來一毛看五彩百鳥仰??啞啞林間烏反哺聲正催密邇松楸下萬壽堂新開擊腥供晨夕衣彩戱?孩諸子盡英妙大兒更魁巍文定嫡嗣傳山東世業恢餘慶豈無因前光自有胚?範聞曾熟宜爾百福該宮功執麻?宗祀謹??斷機樂妻賢崩城杞婦哀遷居埋?遠臨事義理裁門?晩更昌天道果栽培南極星正曜西山景忽頹美法留中饋徽容?夜臺淺土從先兆于今一??延津劒將合南紀柳車廻天寒道路?魂兮歸來哉通家餘舊客招些擧一盃,,0,0,0,"이 작품은 변방의 군사적 갈등이나 이국적 풍경, 종군의 고충을 노래한 '변새시'가 아니라, 세상을 떠난 명문가의 현숙한 부인을 추모하기 위해 지은 '만시(輓詩)'입니다. 작품 속에 나타나는 '곤범(?範, 부녀자의 덕성)', '단기(斷機, 맹자 어머니의 교육 고사)', '야대(夜臺, 무덤)', '유차(柳車, 상여)', '혼혜귀래재(魂兮歸來哉, 혼이여 돌아오소서)' 등의 시어와 고사는 부인의 부덕(婦德)을 기리고 상례를 치르며 영혼을 위로하는 애도시의 전형적인 특징을 보여줍니다.",0,"효행(반포, 노래자 고사)과 여성의 부덕을 기리고 고인의 죽음을 애도하는 만시(挽詩)로, 변방의 군사적 긴장이나 풍경을 묘사하는 변새시가 아닙니다.",0,0,0,,
關塞風塵五載餘故園歸計墜空?雲衢不分?翎鶴?井長悲病腹魚枯葉戴霜紅半脫淡烟和月翠初舒天山坐老秦山客松菊應荒栗里居,,1,1,1,"이 작품은 첫 구의 '關塞'(변방의 요새)와 일곱 번째 구의 '天山'(변방의 대표적인 산)을 공간적 배경으로 삼아 변방에서의 삶을 직접적으로 다루고 있습니다. '關塞風塵五載餘'(변방 요새의 풍진 속에 머문 지 5년이 넘었다)와 '天山坐老'(천산에서 앉아 늙어간다)라는 구절은 타향이자 외지인 변방에서 오랜 기간 머물며 겪는 고초와 외로움을 보여줍니다. 또한 고향(故園, 栗里)으로 돌아가고자 하나 뜻을 이루지 못하고 늙어가는 종군자 혹은 변방 객수의 애달픈 심경과 향수를 읊고 있어, 변새시(邊塞詩)의 전형적인 특징을 고스란히 지니고 있습니다.",1,"關塞(관새), 天山(천산) 등 변방 지역을 상징하는 시어를 사용하여 변새에서의 군역이나 유랑 생활의 고초 및 귀향에 대한 갈망을 묘사하고 있음.",1,1,1,,
百里邀尊客三加敎小兒成人眞有望式穀庶堪期竹?淸風滿花?麗景移明樽永今夕感諷白駒詩,,0,1,0,"이 시는 백 리 밖에서 귀한 손님을 모셔 아들의 성인식인 관례(三加)를 치른 후, 자식의 앞날을 축복하며 손님과 함께 술을 마시고 시경(詩經)의 '백구(白駒)' 시를 읊는 평화로운 사대부의 일상을 노래하고 있습니다. 변방의 군사적 갈등, 종군의 고충, 혹은 변강의 이국적인 풍경 등 변새시(邊塞詩) 특유의 제재나 분위기가 전혀 나타나지 않으므로 변새시가 아닙니다.",0,"자녀의 관례(삼가례)를 치르며 귀한 손님을 모시고 축하하는 일상적이고 의례적인 내용을 담고 있으며, 변방의 군사적 긴장이나 국경 수비와는 무관한 시입니다.",0,0,0,,
長江失險廟謨非一片孤城血雨飛父子從容同日死英魂應託月星輝,,1,1,0,"이 작품은 외침이나 전란 상황에서 조정의 책략 실패로 인해 고립된 성에서 부자가 함께 장렬하게 순국한 비장한 사건을 다루며, 그들의 고결한 영혼과 충절을 기리는 우국시(憂國詩)이자 절의시(節義詩)입니다. 변새시(邊塞詩)는 주로 국경 변방 지역의 황량하고 이국적인 풍경, 변방을 지키는 군사들의 고단한 삶과 향수, 혹은 변방에서의 군사적 대치 상황 자체를 묘사하는 장르입니다. 본 시는 변방의 풍물이나 종군(從軍)의 일상적 고충보다는 국가적 위기 속에서 목숨을 바친 의사(義士)들의 충의와 비장미를 극대화하여 찬양하고 있으므로 변새시로 분류하기 어렵습니다.",0,"병자호란 당시 강화도 함락과 그 과정에서 순절(殉節)한 인물들의 충절을 기리는 절의시(節義詩)이자 우국시(憂國詩)로, 변방의 풍광이나 변방 수비 군사들의 생활상을 다루는 변새시(邊塞詩)와는 거리가 멉니다.",1,0,0,,
天兵出自?北門大將旌旗龍虎?匣中別有芙蓉劍當斬胡頭報主恩,,1,1,1,"이 시는 변방으로 출정하는 군대의 위용과 외적을 물리치겠다는 굳센 의지를 노래한 전형적인 변새시(邊塞詩)입니다. 시에 등장하는 '?北門(계북문)'은 한나라 및 당나라 시기 북방 변경의 요충지인 계주(?州)를 가리켜 공간적 배경이 변방임을 드러냅니다. 또한 '天兵(천병)', '大將(대장)', '芙蓉劍(부용검)' 등의 시어를 통해 군사적 출정의 장엄함을 묘사하고 있으며, 마지막 구의 '當斬胡頭報主恩(마땅히 오랑캐의 머리를 베어 임금의 은혜에 보답하리라)'이라는 구절은 변방에서 외적(胡)과 싸워 공을 세우려는 종군(從軍)의 포부를 직접적으로 표출하고 있습니다.",1,"?北門(계북문) 출정, 대장의 깃발(旌旗), 오랑캐의 머리를 베겠다(斬胡頭)는 다짐 등 변방의 전쟁과 군사적 기개를 묘사한 전형적인 변새시(邊塞詩)임.",1,1,1,,
?塵無處可寬愁爲滌煩襟作此遊江上感懷空舊宅泉西勝景更新樓梅香暗透書?聞竹翠長?酒?留穩得主翁終夜話朝來踏雪理漁舟,,0,0,0,"제시된 한시는 속세의 시름을 달래기 위해 자연을 찾아 유람하며 느낀 한적한 풍류를 노래한 작품입니다. 강가의 옛 집과 새로 지은 누각의 경치를 감상하고, 매화 향기와 대나무를 벗 삼아 술을 마시며, 주인과 밤새 담소를 나눈 뒤 아침에 눈을 밟으며 낚싯배를 손질하는 등 전형적인 강호한정(江湖閑情)과 유람의 정서를 담고 있습니다. 변방의 군사적 긴장감이나 전쟁, 종군의 고충, 이국적인 변방 풍경 등 변새시(邊塞詩)의 특징이 전혀 나타나지 않으므로 변새시가 아닙니다.",0,"속세를 벗어나 자연 속에서 마음을 달래며 주인과 밤새 이야기를 나누고 눈 속에 고기잡이배를 모는 등 한적한 유람과 전원 생활의 정취를 노래한 작품으로, 변방의 군사적 긴장감이나 전쟁을 다루는 변새시와 무관함.",0,0,0,,
南翁死去不重來益德淸修亦可哀在古若逢漢武帝如公應上單于臺?胡壯氣成千古倚劍悲歌?一杯家國昇平一百載豈無屠釣老英才,,1,1,1,"이 작품은 세상을 떠난 영웅적 인물(남옹)을 추모하며 그의 군사적 기개와 호방함을 기리는 시입니다. 한나라 무제가 북방 영토를 개척했던 역사적 배경을 담은 '선우대(單于臺)' 고사를 인용하고, 오랑캐를 물리치려는 웅장한 기상을 뜻하는 '탄호장기(?胡壯氣)', 무인의 슬픔과 결기를 보여주는 '의검비가(倚劍悲歌)' 등 변방의 전쟁 및 군사적 기상과 밀접한 시어들을 핵심적으로 사용하고 있습니다. 태평한 시대에 묻힌 북방 변방의 호걸을 애도하는 성격을 띠고 있으므로 변새시(邊塞詩)의 범주에 해당합니다.",1,"單于臺, ?胡 등 변방 및 북방 민족과의 대립을 상징하는 시어를 사용하였으며, 칼을 의지해 슬픈 노래를 부르는(倚劍悲歌) 무장의 호기로운 기상과 기개를 묘사함.",0,1,0,,
飛齋題壁盛群賢經幄聯襟若有緣存歿幾人常在念升沈從古孰非天堪嗟毅豹均爲死定識荊凡各未全尙喜諸郞承舊業他年一劍?吾懸,,0,0,0,"이 작품은 과거 왕실의 학문 연구 및 강학 공간인 경악(經幄)에서 뜻을 함께했던 동료들을 그리워하고, 먼저 세상을 떠난 이들을 추모하며 인생의 영고성쇠를 노래한 회구(懷舊) 및 애도 시입니다. 마지막 구절의 '일검(一劍)' 또한 죽은 친구와의 신의를 지키기 위해 무덤가에 칼을 걸어둔다는 '계찰괘검(季札掛劍)'의 고사를 활용한 것으로, 변방의 군사적 긴장감이나 이국적 풍경, 종군의 고충을 노래하는 변새시(邊塞詩)의 특징과는 거리가 멉니다.",0,"동료들과 함께했던 경연(經幄) 시절을 회상하고 먼저 세상을 떠난 벗들을 그리워하며 계찰계검(季札掛劍)의 고사를 인용해 추모하는 시로, 변방의 군사적 긴장이나 대립을 다루는 변새시가 아닙니다.",0,0,0,,
君家雙璧摠高才每見令人心眼開湖郡風塵初識面泮橋花月舊含杯聯鞭野逕乘朝訪帶雨江村入夜回別後靑燈書室靜?鈴一一喚愁來,,0,0,0,"이 시는 학문적 동반자이자 뛰어난 재능을 가진 벗(雙璧)과의 첫 만남, 성균관 주변(泮橋)에서의 추억, 그리고 헤어진 후 고요한 서재(書室)에서 느끼는 그리움과 쓸쓸함을 노래한 우정 및 송별의 시입니다. 변방의 군사적 충돌, 이국적인 국경 풍경, 혹은 군 복무의 고충과 같은 변새시(邊塞詩)의 핵심적인 주제나 분위기는 찾아볼 수 없습니다.",0,"벗과의 만남과 만남 뒤의 헤어짐, 그리고 그리운 정회를 노래한 전형적인 우정·송별의 시로, 변방의 군사적 대립이나 국경 지대의 고난을 묘사한 변새시가 아닙니다.",0,0,0,,
小少離家音信稀秋來猶着戰時衣城頭?角吹霜急一夜黃楡葉盡飛,,1,1,1,"이 작품은 변방에서 군 복무를 하는 군사의 고달픈 삶과 고향에 대한 그리움을 노래한 전형적인 변새시(邊塞詩)입니다. 시에 등장하는 '전시의(戰時衣, 군복)'는 오랜 종군 생활을 직접적으로 나타내며, 성벽 위에서 울리는 군대 나팔 소리인 '화각(?角)'과 북방 국경 지역의 대표적인 나무인 '황유(黃楡, 느릅나무)' 등의 시어는 변방의 삼엄한 군사적 분위기와 황량한 가을 풍경을 사실적으로 묘사하고 있습니다.",1,"戰時衣(전투복), 城頭(성루), ?角(군중 나팔) 등 변방의 군사적 분위기를 나타내는 시어가 사용되었으며, 고향을 떠난 군인의 애환과 변방 성터의 황량한 가을 풍경을 묘사하고 있음.",1,1,1,,
靈師自說浮屠者楓岳香山盡見之回首鷄龍雲一髮舊房應偃老松枝,,0,1,0,"제시된 한시는 승려 영사(靈師)가 풍악산(금강산), 향산(묘향산), 계룡산 등 전국의 명산을 유람한 일을 언급하며 옛 절(舊房)의 노송을 그리워하는 내용을 담고 있습니다. 이는 불교적 정서와 산수 자연을 소재로 한 시(선시 및 기행시)에 해당하며, 변방의 군사적 긴장이나 종군의 고충, 이국적인 국경 지대의 풍경 등을 다루는 변새시(邊塞詩)와는 거리가 멉니다.",0,"승려의 여정과 우리나라의 명산(풍악산, 향산, 계룡산)의 풍경을 읊은 시로, 변방의 군사적 상황이나 국경의 갈등을 다룬 변새시가 아닙니다.",0,0,0,,
立馬磨天嶺雲霞?曉淸臺存元帥號客償壯遊情萬里碧波外一輪紅日生鯨?敢驕橫長嘯氣難平,,0,0,1,"이 작품은 조선의 북방 국경 지대이자 요충지인 마천령(磨天嶺)을 배경으로 한 시입니다. 과거 국경을 수호했던 장수를 상징하는 '원수(元帥)'의 흔적을 언급하고, 외적(침략자)을 비유하는 '경예(鯨?)'에 맞서 군사적 긴장감과 나라를 지키려는 호국 의지 및 호기로운 기상('長嘯氣難平')을 드러내고 있습니다. 변방의 지리적 배경, 역사적 인물(장수)의 회고, 외적에 대한 투지 등 변새시(邊塞詩)의 전형적인 요소를 모두 갖추고 있습니다.",1,"북방의 국경 요새인 마천령(磨天嶺)을 배경으로 하여, 원수(元帥)의 유적을 보며 호국 의지를 다지고 외적(鯨?)의 침입에 분개하는 호방한 군사적 기상을 읊은 전형적인 변새시입니다.",1,1,1,,
關山??過漁陽衰草茫茫古戰?燕國衣冠盡成土荒臺無處弔昭王,,1,0,1,"이 시는 변방의 요충지인 '어양(漁陽)'과 '관산(關山)'을 배경으로 삼아, 시든 풀이 아득히 펼쳐진 옛 전쟁터('古戰?')의 황량한 풍경을 묘사하고 있습니다. 북방 연나라(燕國)의 역사적 흥망을 회고하며 변방 특유의 비장하고 쓸쓸한 정서를 담아내고 있으므로 변새시(邊塞詩)의 특징을 전형적으로 보여주는 작품입니다.",1,"關山(관산), 漁陽(어양) 등 변방의 지명과 古戰?(고전장) 등 전쟁 관련 시어를 사용하여 변새 지역의 황량한 풍경과 역사적 회고를 묘사함.",1,1,0,,
朝家重邊鄙選將待吾儒在昔賢良擧維時文武俱許身期大器履險若平塗淸德耽羅服威名節度須胡人先北走銳卒擁前驅緩帶收全算深溝戒不虞士生宜自致物望未應孤迂拙唯鉛?風塵送?烏別懷還作惡老膽欲成?玉帳投壺飮知君是丈夫,,1,0,1,"이 작품은 조정에서 변방(邊鄙)의 중요성을 인식하여 장수(節度)를 선발해 보내는 상황을 다루고 있습니다. 시어 중 북쪽 오랑캐가 달아나고(胡人先北走) 정예 군사가 전진하며(銳卒擁前驅), 깊은 해자로 불의의 사태에 대비하고(深溝戒不虞), 군막에서 투호를 하며 술을 마시는 모습(玉帳投壺飮) 등 변방의 군사적 대치 상황, 변방 수비의 임무, 군영(軍營)의 기상과 풍경을 전형적으로 묘사하고 있으므로 변새시(邊塞詩)에 해당합니다.",1,"邊鄙(변방), 胡人(오랑캐), 銳卒(정예 병사), 深溝(깊은 참호), 玉帳(장수의 군막) 등의 시어를 사용하여 변방의 군사적 방비 상황과 장수의 기상을 노래하고 있어 변새시의 특징이 뚜렷하게 나타남.",1,1,1,,
