<title>孫家庄 甲戌</title>,<text>雨後出東城。晴莎十里路。蒼蒼孫氏庄。隔樹多鳴鳥。</text>
<title>射虎石 庚子</title>,<text>山巓老石虎如蹲。石背長留飮羽痕。威武至今空悵望。隴頭流水咽黃昏。</text>
<title>燕舘除夕。次高蜀州韻。</title>,<text>人情難作此宵眠。南舘寒燈倍悵然。家國天涯消息遠。不堪明日又新年。</text>
<title>夷齊廟 辛丑</title>,<text>忠臣孝子兩全軀。不盡淸風竹與孤。登彼西山何所適。成周世亦遠唐虞。</text>
<title>望海亭</title>,<text>萬里長城地盡頭。登樓此日恨悠悠。欲將遼海千頃水。一洗吾東丙子羞。</text>
<title>東關驛遇雪。拈韻夜賦。</title>,<text>客愁擾亂向誰寬。惟有塵沙滿弊冠。鞍馬勞心雙鬢白。關河遇雪一春寒。故園梅竹那無想。異域杯樽强作歡。此地尋常眠不得。驛樓鳴鐸夜將闌。</text>
<title>洞仙嶺 癸卯</title>,<text>迢迢嶺路入松間。咫尺丹崖亦可攀。笙鶴千年何處去。雲霞依舊洞仙關。</text>
<title>月波樓</title>,<text>粉堞依崗勢。蒼煙捲野秋。江淸環赤壁。樓逈俯黃州。題詠元多勝。登臨易散愁。波心月出夕。幽興泛舟遊。</text>
<title>咏山丹花 丙午</title>,<text>金蘂紅葩色最奇。始開春盡夏交時。此花何事林間在。逸士如斯世莫知。</text>
<title>燕 代兒輩課作○癸丑</title>,<text>春社年年每不違。畫樑深處語還飛。昭陽殿上何堪別。盧橘寒江與鴈歸。</text>
<title>睡僧 丙辰</title>,<text>趺坐蒼苔古壁陰。水雲蹤跡摠無心。低頭不語疑禪定。闔眼凝思似道深。閒夢幾勞西域去。片時渾忘上方尋。升沉世事醒何益。任爾斜陽下遠岑。</text>
<title>老驥次弘谷韻</title>,<text>伏櫪徒存千里名。衰疲無復四蹄輕。當年不怕天山遠。此日猶思月窟橫。疎雨暗廊空自齕。朔風遙夜却悲鳴。時時紫陌香街夢。節度金鞭耀鳳城。</text>
<title>咏瓜</title>,<text>擇置良田又早耕。及時培灌好經營。無難吐蔓叢蕃茁。未了開花子老成。沉綠可肴紅露酒。劈黃宜煮葦魚羹。東陵去後知音少。秋圃銘心莫遽輕。</text>
<title>穉熊次山谷韻</title>,<text>毛骨幼時不甚頑。相隨犬豕戶庭間。當厨爇火如人意。緣木爲樵學狖攀。馴久詎期無後患。肥來尤可放深山。冥冥野性終難改。怪底峒氓視等閒。</text>
<title>木枕</title>,<text>一尺松根刺繡强。閒來無日不匡床。黃粱已熟春眠晏。莊蝶初迷午夢長。薄醉旋從攲後去。煩愁多自卧時忘。老夫與爾同消遣。山月林風滿草堂。</text>
<title>怪石</title>,<text>査枒蟬骨峙堦庭。苔面强爲數尺零。浸臼廻波生鴨綠。當軒秀色拂螺靑。中峰欲吐雲霞氣。全體翻成砥柱形。異品元來登禹貢。靜觀聊自養心靈。</text>
<title>硯滴</title>,<text>磁器光如白玉奇。書生筆硯每相隨。方圓參得三才象。孔竇旁通兩曜儀。中貯水泉無盡日。內噓潮汐不違時。靈心爾獨藏玄理。唯許人間達者知。</text>
<title>次安和堂 馬景羲堂號 述懷韻</title>,<text>瀟洒圍庭半畒寬。薜蘿門巷一身安。閒聽細澗頻移席。仰視高雲或墮冠。蝶夢有時迷午榻。鷗盟多日在江干。知君筆繼鍾王後。因以詩兼盛晩看。</text>
<title>六月旬日。集中書堂拈韻。二首</title>,<text>暇日登臨此畫堂。重欄迢遞遶荷塘。菌生磵屋頻經雨。柳蔭官庭自送凉。兒趁快晴新浴喜。吏緣無事晝眠長。歌謠聖世吾儕會。十紙詩成酒滿觴。不盡流年感。林蟬奈近秋。三庚知幾日。諸子更登樓。樹氣空階靜。荷香霽沼幽。緬思凉夜月。松石續奇遊。</text>
<title>千眼厨</title>,<text>燕製倭粧擧世誇。富人堂上競豪奢。香皮體金絲亂。螺殼生紋瑞靄斜。開闔外成雙箇戶。收藏中設幾層家。從知妙器爭爲用。彩樻綾箱不得加。</text>
<title>靉靆</title>,<text>琢玉雕氷一㨾淸。平分日月自然精。雙輪已有含光遠。老眠偏多藉力明。喜是高樓纖芥見。快於殘燭細書成。看他百物皆無隱。至寶人間鏡以名。</text>
<title>夢</title>,<text>今古人生逆旅同。蝶迷粱熟一般空。晝思盡入朦朧裏。春睡纔成輾轉中。大塊文章猶假我。流年華髮獨餘公。北牕剩得淸凉卧。粧點羲皇以上風。</text>
<title>射糖盤</title>,<text>當年何以射糖名。兩石交磨大麥精。送夏農家飛糓雨。快晴村戶隱雷鳴。斡旋已得璇璣象。輪轉深將日月行。器用許多皆聖作。二儀元是濁而淸。</text>
<title>齇鼻</title>,<text>沈酒如令面發烘。伯倫當日滿身紅。雞冠病血纍纍聚。鶴頂傷痕在在通。一隻高梁橫崒嵂。雙星流彩碍西東。兒童亦是多驚怪。逐隊喧騰市陌風</text>
<title>醉眼</title>,<text>狂歌癡笑事堪頑。此漢醒時意甚閒。坦道高低行步際。昏花絢爛立談間。元無泣別空含淚。縱有回眸不見山。欲語未成還咄咄。公然熟視可憎顔。</text>
<title>轆轤</title>,<text>村女蓬頭亂似麻。銅釵無色鬢邊斜。空欄柳影籠殘月。古甃蛩音隱片霞。露井引甁揚玉液。晨泉橫綆㨾金蛇。紛紛汲得爭來往。多少厨煙百姓家。</text>
<title>蜂衙</title>,<text>木筒隨處萬衙成。造密爲生最好營。採蕋每從花際去。拾芳時自草間行。工程不輟無虗日。紀律申嚴有角聲。及到秋冬深入室。微蟲之智却分明。</text>
<title>柳</title>,<text>鶯啼燕語暮春時。簾幕無風午影遲。陶令門前靑幾縷。亞夫營裏綠千絲。長條折短行人贈。羗笛聲悲怨別詞。最是渭城微雨後。高樓酒幔互參差。</text>
<title>菊花</title>,<text>自掇寒英酒滿觴。山家留得幾重陽。林間獨保幽香在。霜後偏多晩節芳。松竹幷淸堪作伴。芝蘭同操不勝凉。中庭皓月天如水。愛爾籬邊一色黃。</text>
<title>松</title>,<text>赤甲虬蟠歲月因。山中日夕復相親。淵明獨撫凌霜節。秦帝徒封避雨身。直氣干雲千尺逈。淸陰遶壁四時新。莫云材大難爲用。廊廟棟樑有主人。</text>
<title>琵琶</title>,<text>古譜流傳樂府辭。何人彈得百般奇。邊聲掩抑思鄕淚。中曲徘徊出塞悲。湓浦秋燈添酒夜。連昌花月拂絃時。餘音散入東風遠。樓上凝雲半欲垂。</text>
<title>竹</title>,<text>裊裊猗猗滿院陰。此君淸操出凡林。湘川不盡英靈恨。淇澳恒存儆戒心。每憶琅玕鳴鳳至。或聽風雨老龍吟。晉時七子多疎放。荷鍤携壺每日尋。</text>
<title>月</title>,<text>太陰精聚一輪淸。照得山河大地明。桂殿姮娥憐獨睡。蟾宮玉兎學長生。天涯幾入行人望。閨裏頻霑少婦情。萬戶笙歌多夜宴。高樓歡笑樂昇平。</text>
<title>梧桐</title>,<text>嶧陽云有鳳來鳴。無乃斯言浪得名。圓葉滿枝如許大。碧紋籠體不勝淸。勤培自取生凉氣。愛植初爲聽雨聲。日夕西風井上起。秋懷奚但楚人驚。</text>
<title>麥浪</title>,<text>秧靑稻壠水成河。葚紫桑林草滿坡。曉霧籠原千頃海。午風吹野萬疇波。蒼茫鷺下洲邊疾。絡繹人歸浦外多。疑是農家臨浦口。夕陽籬落賣魚過。</text>
<title>蜻蜓</title>,<text>海燕成巢梅子肥。簾前款款午風微。荷塘水綠高低影。芹壠波晴上下飛。幾伴佳人闘草去。或隨芳蝶拾花歸。若逢蛛網能先避。微物猶然早見機。</text>
<title>鴈</title>,<text>零露頻繁天氣淸。雲端時見數三行。樓頭夜雨驚寒陣。木末西風落遠聲。遊子鄕心空悵望。佳人錦字更多情。春秋去路分南北。水國黃粱滿目橫。</text>
<title>牛</title>,<text>老子咸關更不逢。長陂草綠午陰濃。齊城夜穴爭奔勇。周野秋林放散蹤。圃墾軟柔經遠陌。峽耕堅硬抵高峰。主人何事無寬貸。努力行時尙叱慵。</text>
<title>燕</title>,<text>三月如期返舊棲。百花將發草萋萋。雕樑語盡千般巧。高閣風開兩翼齊。頡頏每含宮柳絮。參差爭掠水芹泥。生雛已長秋飛去。南國如春路不迷。</text>
<title>鶯</title>,<text>怳愡翎毛久傳名。禽中美麗合傾城。花帷巧滑千般語。柳幕偏濃百囀聲。洛浦遊仙疑稅駕。秦樓王子謾吹笙。綿蠻能得丘隅止。一讀葩經倍感情。</text>
<title>蓮</title>,<text>淸風吹送滿池香。翠盖團圓水面凉。不染淤泥多秀色。全無雕飾異羣芳。高標端合稱君子。艶態何心比六郞。半畒澄明花影動。中宵月色合飛觴。</text>
<title>蛾眉</title>,<text>秋水星眸畫更難。晨粧徐拂百花闌。銀鉤影落澄江裏。弦月痕生碧樹端。歡處翻開傾國笑。愁時頻蹙遠山寒。沉香亭畔人如玉。却憶當時帶醉看。</text>
<title>雲鬢</title>,<text>雙眉巧畫遠山蒼。粉白鉛紅翠袖長。日照榴裙明六幅。雲橫螺髻侈全粧。嬌容綠水秋蓮秀。艶態藍田美玉香。何事漢宮高一尺。不施髢也亦云芳。</text>
<title>角觝</title>,<text>此有奇謀彼不知。相機應變力兼隨。交頭幷脚逞能處。覆雨翻雲决勝時。初則爭持掎角勢。忽然驚倒出人思。少年豪氣眞堪羡。來歲朱明又好期。</text>
<title>丹楓</title>,<text>閒來隨處駐行車。風拂烏巾一任斜。滿谷紅霞明石逕。半山丹壁暎人家。淸霜染盡千林葉。寒日粧成萬樹花。當歲赤城如是否。九秋幽賞更淸華。</text>
<title>龜</title>,<text>從用明堂每稽疑。卜于邦國及于私。體兼玄武先天象。形備純文太極姿。獨脉延年能耳息。靈心不老幾頤期。如何琢石三分肖。峴首穹碑墮淚宜。</text>
<title>蠅</title>,<text>蟋蟀吟秋却有能。爾羣當夏最淫朋。長時黑白從何競。盡日營求此可憎。止棘詩多諷世遠。匪雞聲或警晨興。其雖困我牕前睡。將奈寒天十月氷。</text>
<title>霜</title>,<text>淅瀝西風撼樹端。秋園物色政凋殘。初飛屋上餘痕白。數下林間萬葉丹。禾陌收藏連日急。蓬牕紡績徹宵寒。靑燈又讀歐陽賦。歲暮幽懷此際難。</text>
<title>鷹</title>,<text>行獵秋原放遠飛。將軍意氣醉方歸。寒霄雪片飄颻影。絶壑風聲攫取威。雉兎屛蹤如許疾。弓刀無色爲誰圍。錦毛皎潔身輕快。閃爍雙眸耀日暉。</text>
<title>次千君善 壽慶 草堂韻 二首</title>,<text>白山之下一茅廬。明月淸風樂有餘。好學千君眞可愛。家貧猶不賣詩書。蕭酒衡門上下廬。塤箎相和奉親餘。顔回陋巷樂無改。謝眺靑山詩可書。</text>
<title>白時晦 景炫 晬日小集。次唐人韻。</title>,<text>人間耳順過。何必道長生。遶閣南山秀。當簷老檜聲。黃花開晬酌。華髮感時情。親友留詩賀。爭思報聖明。</text>
<title>十月旬九。集涵翠園。次唐人韻。</title>,<text>老菊猶餘色。前秋幾展眉。林寒生雨後。梅信入冬時。病不詩情倦。衰多步屧遲。一牕樽酒會。城日暫看移。</text>
<title>春盡日。獨酌餞春。</title>,<text>落日如將別意忙。倚欄惆悵獨斟觴。春風本是多情緖。留着殘紅樹底香。</text>
<title>次山谷主人立廛觀燈韻</title>,<text>奇巧能成七曜開。母燈胸抱子燈恢。靑玄赤白隨方出。南北東西逐隊來。高並竹藤臨紫陌。彩連星月照瑤臺。分門立戶終歸一。環索相牽替往廻。</text>
<title>官齋夜宿 宣惠平倉</title>,<text>却喜今辰會。蒼顔盡舊朋。官樓初卜夜。暝戶稍懸燈。細路穿林遠。疎星帶水澄。寺鐘來不已。應起上方僧。</text>
<title>洗劒亭口呼</title>,<text>倚杖翛然望遠空。水亭人語夕陽中。千章綠樹溪邊寺。鐘磬聲來谷口風。</text>
<title>贈次兒沁都之行</title>,<text>王事靡盬肯說艱。有書猶可慰離顔。帆過楊子澄江裏。路指三郞古堞間。浩渺煙波迷白日。蒼茫雲靄滿靑山。依依不捨倚門待。魂夢中宵幾往還。</text>
<title>次涵翠園。咏葡萄韻。</title>,<text>張騫星槎辛苦移。甘泉細瀉武皇池。蒼龍宛轉長枝遶。碧玉團圓老顆垂。架下定無三伏熱。樓頭能作半簷帷。嘗來異味宜消渴。瑤海蟠桃更後期。</text>
<title>唐谷崔同知晦之 潤昌 挽</title>,<text>傳家孝友著名人。玉樹雙枝並照鄰。散秩曾躋樞府貴。瓊華旋入續篇新。沉潛德業詩書裏。沐浴恩波七十春。九老會中今少一。空山梅月倍傷神。</text>
<title>馬同知景羲 成麟 挽</title>,<text>太息吾儕已白頭。今年又哭老朋儔。花開洛社春如昨。日暮眉山水自流。地下深憐塵骨朽。人間惟有筆名留。安和堂裏諸君帖。盡道平生所學優。</text>
<title>春盡日小雨。奉呈山谷。戊午</title>,<text>南山秀色遶牕欞。風入疎簾酒易醒。今日餞春春不住。滿庭芳草雨零零。</text>
<title>燈夕後三日。小集拈韻。</title>,<text>閒來無事憇藤床。病後猶嫌四月凉。髮白倍憐吾輩老。樓高剩受遠山長。尋香晩蝶穿芳樹。暎水新荷點小塘。散步不妨西日下。微吟思入篆煙蒼。</text>
<title>仲夏集涵翠園</title>,<text>庭園物色日相催。照眼榴花蝶又媒。松笋酒從隣舍買。杏洲魚上午盤來。潺湲小澗通籬細。點綴流雲度郭回。社裏諸君同避暑。凉風多在洗心臺。</text>
<title>回甲晬日有感强題</title>,<text>父母劬勞日。餘生感淚垂。無窮卯歲痛。難抑甲筵悲。至德何由報。萊衣不復期。膝前諸子祝。山壽獻吾巵。</text>
<title>回甲晬日有感。强賦長律一首。敬呈香社諸公座下。</title>,<text>人間周甲不曾期。今日興懷倍有思。生及崇禎重戊歲。躬瞻英廟太平時。六男獻酌斑衣舞。九老參筵皓髮垂。先世德音綿遠報。華堂多受十篇詩。</text>
<title>黃僉知士正 德諄 挽</title>,<text>儒雅風儀世所稱。翠園諸老有良朋。君恩祖子孫偏荷。家訓詩書禮以承。秋水傷心徒極目。空山揮淚已沾膺。重泉一訣奄千古。落月虗樓獨夜澄。</text>
<title>涵翠園。別東厓金晦章。</title>,<text>茱萸紅實滿墻頭。嗟我微官昨已休。亭午薄陰生雨意。山園細酌送君愁。尋常一會頻相憶。五百長程幾上樓。耿耿臨分還不語。白雲蓮社阻同遊。</text>
<title>出郭 九月初三日漢北之遊</title>,<text>蕩滌塵間慮。遙尋郭外遊。新霜征鴈背。寒露野蟲秋。九寺楓應好。前宵雨已收。蓮燈今夜會。茶熟上方頭。</text>
<title>山映樓</title>,<text>樓閣新成勢翼然。流泉百道畫欄前。將軍敗堞空山裏。圓證穹碑古寺巓。白髮携樽黃葉路。秋城聽鴈暮雲天。東林細月如期上。今夜論文亦勝緣。</text>
<title>重興寺 昔稱華巖寺</title>,<text>禪扉終夜靜。諸老共論心。流水無冬夏。靑山閱古今。洞虗雲起塔。天曙露收林。誰識華巖裏。來遊興轉深。</text>
<title>夜夢忽作金剛之遊。歷覽萬二千峰。覺來燈光未滅。天色欲曙。盖有宿願故也。聊賦長律。以叙其事。</title>,<text>望眼森森老未能。蓬壺一念夢中登。爐香石榻開眞界。梵語繩床悟大乘。高下塔光雲共聚。萬千峰色月俱澄。覺來偃卧書軒上。牕外葉聲吹曉燈。</text>
<title>送人赴燕 代人作○五首</title>,<text>京洛尋常酒席同。送君今日意無窮。燕南渺濶三千里。驛路逶迤古塞中。長亭斜日照徘徊。別語離情共把杯。驛樹寒梅開早晩。開時能寄數枝來。統軍亭上暮雲凝。一帶灣河始合氷。此地送君歌出塞。朔風寒雪別愁增。松杏堡荒古戰塲。黃沙白草月如霜。年年使節經過處。吊古行人幾斷膓。淸聖遺祠倣首山。煌煌圭冕宋朝頒。庭前翠竹凌霜雪。歲暮寒天不變顔。</text>
<title>山谷主人晬日小集。得尋字。</title>,<text>巷陌疎砧不斷音。歸雲城上故多陰。林風憀慄秋高意。籬菊離披歲暮心。老子登樓山日晩。主人開席酒杯深。弧辰况是逢佳節。吾輩何辭自遠尋。</text>
<title>白同知時晦挽</title>,<text>襟期冲澹美風姿。如水交情滚滚隨。少日銀臺賢別駕。晩年樞府老同知。天恩浹洽終身感。詩韻淸新各體奇。香社凋零君又逝。白頭哀淚不禁垂。</text>
<title>五月八日小集。得霞字同賦。己未</title>,<text>容易塵間鬢髮華。長生無術餐瓊霞。朱櫻爽口時新果。紅蘂明眸月季花。堦靜草香侵酒席。園深鳥語似山家。主人剩有逍遙興。摩詰輞川豈獨誇。</text>
<title>送喜姪之楊州郡齋</title>,<text>維楊客路靑山裏。遊子吟鞭綠樹間。行到郡齋何所事。投壺散帙有餘閒。</text>
<title>一碧亭得陽字</title>,<text>駙馬名亭湖水陽。山光輸入一樓長。沙鷗晩集汀洲白。秋樹晴搖島嶼蒼。焉得眼前瀟灑地。能超身外是非塲。吾今老矣無他事。對酒偏憐野菊香。</text>
<title>夜</title>,<text>黃菊元非笑白頭。花前端合酒杯酬。寒潮夜落臨江戶。霜月秋高抱石樓。我欲題詩無夢寐。君今多暇足風流。從知信宿塵緣少。明日相思亦勝遊。</text>
<title>又題贈主人</title>,<text>圖書景物可怡顔。從此塵機也不關。魚蠏多生麻浦市。雲霞常起果州山。江湖滿地樓臺好。松菊盈庭杖屨閒。愛爾主人淸福在。百年身老水雲間。</text>
<title>三月卄九日。會西園得花字。庚申</title>,<text>憶昔登臨園路斜。重來留戀此山家。韶光屈指春無幾。樂事掀髯酒更賖。輕靄漸生深巷柳。夕陽偏照滿城花。諸公莫忘玆辰會。俱是浮生鬢髮華。</text>
