<title>曉寢</title>,<text>曉寢凝寒思。捋鬚氷入懷。童言昨夜雪。牕外小松埋。</text>
<title>新栽小紅桃。漫成一詩。要與諸君子共之。</title>,<text>仙源不可到。小樹且論襟。未破風霜意。猶含蓓蕾心。龍香藏處密。猩血覔來深。滿眼非花事。開時但一簪。</text>
<title>和竹塢春雪韻二首</title>,<text>漠漠深村雪。蕭蕭居士家。漫空能作絮。到地不成花。臘月雷非瑞。今年閏或差。陽春且低唱。和水煎新茶。白郭風塵外。高寒自一家。雲陰濃作雪。春意懶歸花。趁絮期還早。爭梅節已差。今宵應有客。理屐且尋茶。</text>
<title>踏靑後日。知足堂聯句。愼龜重元瑞堂</title>,<text>春雨不來花信遲。善應。 白門留醉故人巵。壽甫。 一年佳節三三後。元瑞。 九陌垂楊萬萬枝。質卿。 牋縷徑將芳草細。思卿。 碁聲且入夕陽宜。子淳。 社中淸事天應餉。士恢。 暇日遨遊莫漫辭。善應。</text>
<title>春寒。和昨席聯句韻。</title>,<text>慵來還厭日遲遲。書冊鄰家絶借䲭。幽鳥至今生澁語。小桃依舊寂寥枝。新醪欲進薰方好。旹服纔成着未宜。老抱無心酬物態。偶然題作上春辭。</text>
<title>畏窩失別業。與蕙君詩以慰之。移長陵于宣城。故元瑞失業。</title>,<text>西望雲山疊翠加。平湖依隱白扉斜。玄龜氣動開仙寢。木角聲來有好家。風月自歸無別券。園林交割籍羣花。悠悠得喪渾如夢。重感先休爲一嗟。</text>
<title>戱寫新買牋。酬蕙圃。</title>,<text>乞鄰買市何嫌勞。翻去翻來雪作濤。短詠分番如剖竹。大篇全幅不容刀。春蠶噉葉心還細。俊鶻橫雲氣自高。未必上頭繁着盡。天然終是合詩豪。</text>
<title>申和買牋韻</title>,<text>買時猶勝乞時勞。滿眼春㙜碧玉濤。疊雪展來詩作畵。屯雲揮去筆如刀。溪藤可是因人夭。市價多應爲子高。又有中書頗不中。中山誰復拔其豪。</text>
<title>疊題牋紙。奉還蕙圃。</title>,<text>詞垣新策楮公勞。灧灧衢樽溢翠濤。一丈靑天五峯筆。半江春水幷州刀。重加九錫名章在。兼領諸番意氣高。黃紙除書非我事。只堪隨爾作吟豪。</text>
<title>和蕙子小寒食舟中作</title>,<text>興發出京口。詩成在渡頭。東風百四日。細雨一孤舟。有樹皆鳴鳥。尋村忽得樓。蘭華幽可採。怊悵望中洲。</text>
<title>寒食</title>,<text>粥寒餳白晩盤姸。三月長安春可憐。是日宮槐初改火。暖風溪柳自生烟。芳原馬細嘶紅勒。古郭鴉荒闘紙錢。看屋老人無事卧。一庭山色雨餘天。</text>
<title>酬蕙圃種麥</title>,<text>白門貧學士。春日意如何。今雨宜埋麥。前年不食禾。䂓庭纔數畒。芟草幸餘花。小圃吾將老。東陵有賣瓜。</text>
<title>和竹塢接梨</title>,<text>沉酸伐故梨。甜美接新枝。枝揷三丫似。株分十字爲。刻膚承穎密。封罅撤皮資。𥯃厚朝曦避。竅通夜露滋。衛亡還自樂。邢徙詎能衰。犂子騂宜用。螟兒質亦移。氣酣隨暖棘。味和失全淄。換化人惟甚。明賢訓所垂。反身推物理。與道叶襟期。他夕溶溶月。此心方始知。</text>
<title>知足堂有質兄遺跡。覽之一涕。</title>,<text>廣宵日宜冥。魂氣流何之。山阿亦已託。遺影曠繐帷。虛無自相延。親戚但餘悲。豈不有夢寐。冥漠非所思。秋吟滿寒空。感君前日詩。娟娟陌上柳。芳耀能幾時。時物難久停。霜雪棼中逵。棄捐勿復道。悲辛竟何爲。</text>
<title>試筆</title>,<text>未覺秋光晩。端居不賦詩。開門成一笑。撩眼菊花枝。</text>
<title>秋日卧病。蕙子示弼雲詩。</title>,<text>白嶽登登遠。終南忽在前。秋懷因菊病。野屐爲詩顚。天時有榮悴。山氣本光鮮。何限雲㙜勝。吾孤壬子年。</text>
<title>八角亭得明字</title>,<text>繁陰落盡四山明。紅樹依依隔歲情。爲報西風吹不急。只留深葉作新聲。</text>
<title>畏窩會酬蕙君</title>,<text>詩成偶在愼君家。此曲秋來第一歌。荒社今年稀酒席。主人前夜拜燈花。蒼杉歲暮風流遠。老屋天寒雪意多。可是諸公嫌寂寞。坐間嘯吹忽騰挐。</text>
<title>又用明字。演成一律遣閒。</title>,<text>心眼朝朝硯北明。閒居生理小軒淸。閉門寂寞黃花意。對客艱難濁酒情。鳥度蒼茫增暮色。鴈來天地盡秋聲。蕭條老屋東江上。日夜漁梁白露生。</text>
<title>和蕙圃至日詩</title>,<text>小健非君酒。今朝春意生。微添一線氣。暗與小梅淸。景轉簷容改。風殘鳥語成。無心看新曆。多是惜年情。</text>
<title>寒甚伐木燖之。聞蕙君亦有此事。爲賦。二首</title>,<text>養木爲人用。用時還不情。抖枝殘雪白。繞屋濕烟靑。一席纔春氣。全牕可月明。蕙君寒似我。隔㙩又丁丁。園華日以瘁。山木雪方深。氿漬騰如桂。焦餘妄擬琴。材不元物性。剪伐豈吾心。夕鳥歸何晩。寒猋滿舊林。</text>
<title>伐木三疊。和蕙子。</title>,<text>伐木非無伴。詩來意一般。人間有寒島。市上多樵山。澹澹雲將去。蕭蕭鳥不還。斜陽愁獨立。烟火出柴關。</text>
<title>苦寒。用春詩軸中盃字。</title>,<text>朔吹乘凌打雪回。卯醺無力兩三盃。老奴請伐園中木。稚子能藏檻外梅。病檜沉沉還氣色。飢禽漠漠不歸來。侯家獸炭羔兒暖。帳裏笙歌入夜催。</text>
<title>吟贈蕙君。君有行色。</title>,<text>一笑幽軒坐自淸。閒時不作出門行。㐫年里社歡顔少。荒雪郊原別意生。明日弱梅憐不折。寒天小酌強爲情。君歸且話楊江勝。魚鳥猶能記我名。</text>
<title>臘日漫吟</title>,<text>小陵人去後。臘日更無詩。寂寂梅花在。悠悠歲暮思。寒吟窘氷雪。小醉適天時。卧聽兒童閙。抨來凍雀羸。</text>
<title>蕙子東歸。示南漢八絶。演成雜歌十四疊奉答。</title>,<text>人道我城難。儂道我城易。羸胡但三千。大踏如平地。先時望氣人。蠶頭看雲物。金光颺如絲。掩映山城日。西郊一壺酒。羣醜語騰嗔。灣灣水口路。已戒屬車塵。虜馬能飛渡。三辰已合圍。林公有奇策。我馬亦應飛。纍纍城下繫。哀爾沁州人。爾寇非龍馬。爾奴有徵紳。落日隨州道。芒芒數胡還。明朝捷書奏。一膊光交山。荒荒險川日。蕭蕭雙嶺風。同時兩節度。摧敗亦爲功。虜在汗兒峰。指顧生風壒。紅耳一聲雷。碎斷雙龍施。欽賜舊板章。撞破如玉斗。龍胡按劒怒。陪臣皆稽首。東窓與同傳。淸士喜高論。古來圍城中。自有新垣衍。澹庵昔流遷。千載義士怒。豈如我三臣。生縛以畀虜。都人日流涕。銅籞隔金微。今朝消息至。侍講魂先歸。含悲不能言。石闕臨荒岸。惜哉二大夫。所愛惟一腕。桐翁釰有眸。不令桐翁死。某里一卧床。終是大明地。</text>
<title>有懷崔處士。和蕙圃。二首。</title>,<text>思鳥多悲吟。歲暮寒山深。山深不可到。緬焉懷所欽。感君垂淸眄。賁然慰我心。君馬皎如雪。鳴我早梅林。歡言罄今夕。幽思間鳴琴。流波赴曾曲。惠風吹我襟。朱露滴夜床。冥懷抱沉吟。猗靡覿靈性。感激承徽音。重風遇貞吉。妙用充玄襟。拘儒多陋觀。幷路或異尋。悟物思遠託。離鳥返故林。願君崇令德。此道無古今。</text>
<title>閣夜</title>,<text>悠悠吾事了三餘。衮衮天行又一初。每到玆辰偏往悔。却看來歲復何如。家貧有婦能藏酒。朝禁無人遠寄魚。斯道百年寬濶處。小城花雨隱茅廬。</text>
<title>元朝紀俗二十絶</title>,<text>聖主行春第九年。月正元日玉音宣。端門獻賀仍權免。隔五朝參卽視前。進箋遙賀八州同。細細蠅頭筆畫工。上面別粘紅錦段。恭惟殿下字當中。延祥帖子進三宮。多少文官在選中。大殿壯元恩稍別。番番欽賜上弦弓。候班肅肅引雙行。手裏長單各自將。都尉貂裘猶怕冷。殿前別作問安房。紅帕瑤凾出畵署。九門齊貼欝金花。內中別搨蟠桃會。勑賜新昏貴主家。鍾馗守闕百神平。侲子衣靴不復呈。向夕三通三穴砲。上林棲鳥一時驚。幼長分曹擲柶筵。中堂數火夜娟娟。明朝相見還相拜。爲是人情重隔年。松栢交原士女多。老人晨起祭於家。俗風大抵同重五。或用牲牢或薦茶。記來謠俗驗年豊。雲日霒陰雪水融。向晩䧺鷄長尾動。鷄翁自起看南風。伻傳口贈德譚長。壽富多男福履將。最是一生貧漢子。單單只祝獲錢粮。兒曹無事浪驚嚇。入夜牕扉不遣開。急掛麤篩收履屐。齊言有鬼自天來。街頭幼女笑徘徊。兩臉桃花一㨾開。憐渠不是屠蘓醉。新自姨家踏板來。扇餠便便權餠長。氷砂果品滿盤香。客來有酒無多醉。今日偏嫌面發光。髹盤鎭石置門扉。舊要相將擲刺歸。細字題來餘數疊。兒童剪作紙鳶飛。鄰舍炮烹不見招。晩來殘飯壓靑蒿。閒收脫髮隨人燒。一點烟光始得臊。豪家結束闘新粧。刀尺燈前數夜忙。阿娘喜着松花錦。細縷縐文十五行。九街垣闠一幷收。三日人家賣買休。惟有往來泥醉漢。時時橫卧假家頭。沿道高呼乞米僧。十家難得一家應。直過三朝齊上寺。鉢囊殘粒劣盈升。白晝椎牛當道周。三司連日禁牌收。大家分去留皮角。拚與才工手直酬。朱門大闢簇金鞍。紅㓒栴瓢絡繹看。日出玲瓏煙氣合。香爐添爇辟瘟丹。</text>
<title>上元紀俗十四絶</title>,<text>東方大月上天時。西嶺人人手眼馳。看得分明形色際。無人不誦小車詩。五山詩。看月占豊歉。街樓鍾定沸笙歌。一夜圓光幾萬家。十二橋頭人似月。廣通前路特繁華。西三門外不寥寥。第一名橋新石橋。直到盤松人擾擾。宴㙜南畔更招搖。細果甜香白粒均。甑籠炊蜜爛生津。當時與作神烏食。近俗遺烏只飼人。糯飯。自新羅炤智王始。乾瓢細蕨簇如絲。拂拂烟煤幷粒炊。芽蔬藥食豪家物。眞味人間我獨知。酒老常嫌婦有言。辛勤撿得古方文。今朝始許開懷飮。鵲噪猿鳴仔細聞。賣暑遺風同賣癡。無心相應有心喚。終然賣去賣非眞。更向人家乞藥飯。𥠡茇乍看如笠翁。朝來植立屋庭中。都民末技皆遊食。猶爲農人祝歲豊。園木交柯丫㨾長。團團鵝卵着中央。芳華晩節偏宜子。好是新春嫁石郞。面面軒窓始放春。箱籠几席打鋪新。稚兒仰箒承蛛網。老婢低頭掃糓塵。鐘閣街衢蚓竅深。布簾門巷蟻封添。千年朽壤金銀氣。願借餘光作米塩。裁筠刻楮巧成形。一縷乘風入紫冥。點點星流看滅沒。兒童爭道送災星。拋甎飛石亂山坡。惡少騰呼口作螺。兩局出禁禁不得。年年賭勝殺人多。喳喳聲若唱阿郞。暖日輕風助擧梁。貧人到底謀生拙。繞樹千回望眼張。風人之語。雜以俚俗。其義則取石湖放翁。其法則用宮詞竹枝歌云。</text>
<title>送人赴燕</title>,<text>戚戚西歸路。悠悠東海波。恩分非寶玉。使節少光華。今古山河在。存亡歲月賖。燕歌勞遠別。秋氣動黃花。</text>
<title>夏日在石田。和李爾久 柱恒 雨中之作。</title>,<text>澹坐成淸聽。霏微雨一村。田荒艱出色。岸濶少移痕。向夕孤筇望。冲烟遠木屯。詩家新物態。榴火欲燒垣。</text>
<title>雨餘同諸君游無直巖。明日爾久以詩來。</title>,<text>違村以里卽山門。五十年來始屐痕。流水聲喧心自靜。崇阿境寂應猶煩。𥠧兒翔武先雲到。病脚危登共石蹲。遠色微茫高柳變。夕陽歸路數鴉昏。</text>
<title>和奉爾久</title>,<text>繁厓杖策歎荒途。今古虛生幾丈夫。洛下衣冠無態度。山南家世盛文儒。珠華欲結三危露。秋色先歸一葉梧。笑罷田間擡篛笠。故人能識我爲吾。蹋蹋悲歌傍暮途。頭邊紗帽笑非夫。江山有主誰閒者。天地無情子老儒。一自鵷雛歸碧落。幾年巖谷鎖靑梧。門前䆉稏饒新翠。秔稻秋成可養吾。</text>
<title>續奉爾久</title>,<text>李白歌吟悲蜀途。拾遺流落賦狂夫。明時台閣無知己。今日朝廷固重儒。江左風流足名勝。浣亭孫子極魁梧。爲君辛苦移家意。山水中間可着吾。墟烟漠漠小溪途。獨立蒼然一老夫。半畒纔能容漏屋。千間猶欲庇寒儒。歸雲擺勢朝依樹。急雨留聲夜入梧。𪆽下漁梁終日在。秪應閒趣不如吾。自笑凌兢來遠途。天將魚稻餉饞夫。林居物色多憎俗。野老衣巾或僭儒。盡日鳴蟬高選樹。涼宵滴露暗驚梧。閒時寂寞同園叟。相對忘言便得吾。</text>
<title>漫成奉石田諸君子</title>,<text>鷓鴣山下白𩿨波。𩿨外盈盈繫釣槎。㐫歲村容多麥氣。荒秋院落有麻華。悲歌宇宙無窮事。晩跡江湖着處家。鴻鴈來時菰米熟。行人明發飯平沙。</text>
<title>發石田。同洪上庠際明 曙 宿玉山驛。詰朝分路有贈。</title>,<text>平生偃蹇臂。不揖無詩人。可愛洪厓子。相逢洛水濱。秋吟動佳菊。夜宿接寒茵。柳外雙丫路。明朝別意新。</text>
<title>路中與權忠甫 夏彦 分路。悵然有贈。</title>,<text>霏微佛嶺雨。三日達川濱。歸路差先燕。羇愁又別人。秋原惟落木。吾道竟流塵。漸覺蓴羹晩。湖亭白露新。</text>
<title>秋夕前二日。宿安保驛。夜坐聽雨。</title>,<text>世事傷心水逝波。西來無處問仙槎。天時冉冉悲秋夕。夜雨蕭蕭濕歲華。遠客經旬行入峽。幾人看月坐於家。依俙望客峰前路。巖際幽泉咽晩沙。</text>
<title>陣村店舍遇雨。拈靑字。</title>,<text>八月湖田旅稷靑。雨中滮水共堤平。簷流去作何溪響。岸木多於昨夜聽。虫語有心分衆籟。𪆽飛無處寄孤淸。相思一曲江南弄。人在栽松十里亭。</text>
<title>到家見叢菊離披。殘花孤澹。</title>,<text>下坂蘭飈歇。前墀菊露垂。叢殘馬齕後。花發燕歸時。晩節寒如許。孤芳爾自知。徘徊歎歲暮。攬結寄天涯。</text>
<title>病卧次蕙君八角亭韻</title>,<text>秋香庭樹夜偏聞。明月前臯忽見君。林瘦最憐無故葉。山寒猶有不歸雲。衰懷暫倚黃花健。世故聊憑濁酒分。回首洛江烟水晩。全家已入白𩿨羣。</text>
<title>用百祥樓舊韻。寄呈西伯權子定台丈。</title>,<text>王藩官秩重都巡。絳節觀風又振貧。時論同歸度支使。天心猶惠樂浪人。浮雲漠漠西邊雨。旅鴈依依北地春。回首繽紛塵世事。頹波一柱着公身。</text>
<title>除日會蕙圃。賦得金字。</title>,<text>晴雪薰爐坐自深。小窓終日有鳴禽。梅花一宿經年別。蘓酒高吟少日心。門闕桃符同野戶。盤無鷄臛似僧斟。夜來歸夢先春得。嶺外家書字抵金。</text>
<title>春雨</title>,<text>連日雲陰暖。今朝雨氣新。暫隨羣動合。先與小梅親。江漢孤舟遠。田園一老貧。幽懷滿平陸。默坐對山春。</text>
<title>酬蕙子</title>,<text>九陌風光冉冉開。鳳城雲物好樓㙜。一年佳節淸明後。萬樹濃華小雨餘。鸎啼滿意方飛去。花落依人却倒回。更欲揮毫洒靈壁。知君獨有惠連才。冠童笑語聽琅琅。八角峯晴花事長。幽徑從容便步履。軟衫飄拂入垂楊。藥山春酒三分熟。漢水河豚一椀香。到晩君家更軟脚。葡萄架下小桃傍。</text>
<title>蕙君宅賦小松</title>,<text>小翠潭光內。可憐新養松。稍能親客土。未敢敵勁風。占地纔方寸。垂陰不數重。儂家稚梅樹。同爾作脩容。</text>
<title>蕙君宅。拈韻得凝字。</title>,<text>小睡瞢騰氣自凝。一庭梧柳翠層層。淸池暖漾魚遊得。深樹幽喧鳥語能。窮歲米薪皆屋券。晩年書史足漁燈。花時擬喫重興飯。尺牘先期報嶽僧。</text>
<title>久雨和蕙子</title>,<text>濈濈蝸涎滿地腥。小牕幽夢動淸泠。羣山積氣勢相掩。亂木隨風吟不停。早識安榴來日老。晩移甘菊幾時馨。爐香細細添新炷。遮眼從容一部經。</text>
<title>同蕙君遣懷。用李相國韻。</title>,<text>晩飯靑黃嚼菜根。心齋寂寂坐忘言。桐華滿局憐鋪子。山色盈庭惜掩門。深樹鳥歸寧有約。暮林蟬去遂無喧。憑君欲話西州勝。釣罷虛舟鶴踏翻。</text>
<title>同諸君遊冷泉林亭</title>,<text>樂處非關絲竹鳴。希音自發靜中淸。松陰繞席仍高坐。澗水流盃時一傾。向夕林巒回秀色。前宵梧葉報新晴。芳時冉冉瓊華老。今古荒途悄獨行。</text>
<title>追步蕙獻諸君角峰聯句韻</title>,<text>天地搔頭萬葉飛。小詩殘酒雨霏微。孤雲去處山長在。旅鴈來時人未歸。古木蕭蕭澄夜露。寒花脉脉憺秋暉。丘琴寂歷盈懷抱。明發高岡欲振衣。</text>
<title>雨後發藤園。立馬口占。留贈峀月堂主人。</title>,<text>不辨雲㙜色。三朝菊雨垂。忽然山吐日。政是客歸時。醆酒秋相得。襟懷老更知。田居何所樂。魚稻足生涯。</text>
<title>挽吳佐郞 大觀○六首</title>,<text>如來眞玩世。見像自空中。此路同歸化。慈天竟不窮。人情紛賀吊。吾道看衰隆。終是無憂者。東門有一翁。詞源漢魏大。道脉洛閩長。妙眼空千古。迷塗問二郞。遙遙寄孤躅。闇闇覩幽光。寂寞玄溪集。芳春麝草香。澹坐惟眞境。虛明似有神。幾分烟火氣。全體玉氷人。曾是千金箒。居然萬事塵。西廊風雨夕。彷彿聽吟呻。阿爺氷蘗操。名行聖主知。矯厲干時諱。從容訪爾私。窮通誰是主。可否各相資。二紀靑陽歲。猶多有此兒。流俗看溫飽。榮途上首科。巷喧傳吉語。窓寂聽長哦。志業端明重。聲名賈誼多。小詩曾作賀。三載便虞歌。婉㜻阿翁側。吾嘗小友呼。昂霄有異質。留眼看前途。夜雨庭花歇。秋陰嶺月孤。悲歌天地晏。世事一黃壚。</text>
<title>族祖僉樞公 碩齊 重牢宴韻</title>,<text>木公金母共良姻。河漢星期又六旬。在霤仍將弧宿耀。有蕡重結海桃新。家傳宗衮曾行禮。座滿芳塘不老春。晉水遙遙分一派。毓靈多處産靈春。傍木</text>
<title>古意三絶。答藥山子。</title>,<text>籬邊有嘉卉。歲晩金花開。金黃恐銷歇。𥠧子不歸來。悠悠別所歡。憂思出門去。此意便忘言。古琴手自語。儂道秋山好。秋山新月明。月明猶可愛。歲暮難爲情。</text>
<title>別冬至副价洪大而 景輔</title>,<text>土門寒雨夜冥冥。東海無心志士生。使价莫辭金闕字。玄壇咫尺儼皇靈。</text>
<title>忠原道中。次晉兒韻。</title>,<text>北斗闌干南斗平。遠鷄初動第三聲。林光掩暎看渾黑。水氣空濛近覺明。人跡夜來山雪在。鳥途天際嶺雲橫。巖壑有期婚嫁早。向禽從此了餘生。</text>
<title>病中聞林烏反哺聲有感</title>,<text>慈烏無食哺烏悲。度壑穿林不倦飛。百年風樹餘生恨。羡爾猶能有母遺。</text>
<title>立春日漫吟 此下寓石田時作</title>,<text>苜蓿闌干朝日鮮。先生高卧洛川邊。靑㙜玉笈無消息。落盡寒梅不記年。雪水通籬細决渠。野田平綠長春蔬。半窓新旭遲遲下。客到怡然我讀書。南國山河春復還。美人顔色隔年看。東風是日猶料峭。却恐瓊樓玉宇寒。</text>
<title>挽李博士 權中○三首</title>,<text>惻惻病中思。天南落照垂。丹窠新血破。朱草古方微。使仕非料死。爲翁豈不慈。形容變宿昔。夢見亦依俙。姆抱小兒立。哀啼吊客前。免懷纔數歲。含恤遽終天。刻柱身踰尺。扶床字學千。閨人持作命。門戶事悽然。南道君爲主。東華我有賓。逢迎同旅跡。披豁各天眞。歲月無窮事。風波見在身。自憐臨老日。又哭少年人。</text>
<title>元日曉坐。得簡齋詩盡情燈火向人明之明字。</title>,<text>庭際荒煙枯竹鳴。天星零亂曉鷄淸。梅花隔歲依依色。燈焰通宵黯黯情。強飮屠蘓慚後輩。追懷少壯若前生。夢中尙記西園路。此夜藤陰白露明。</text>
<title>喜南兄桐巢翁至。賦四首。</title>,<text>雪中君馬白。繫我澗邊籬。笑語惟殘酒。寒暄便一詩。悲歡今世界。流落此生涯。小屋燈淸夜。猶疑巷社時。數聲驚剝啄。旣夜不虞賓。視屐燈垂地。開門月照人。烏餘分宿飯。獺祭乞殘鱗。簷雪溶溶下。相看卉木春。可愛桐巢子。踈狂遂至今。寒穿融雪水。醉下落梅林。未坐先看鬂。將言已會心。有懷淸洛遠。愁聽老龍吟。幽居叢桂樹。別業木蘭柴。厭事多言病。觀心或秉齋。一生渾得醉。千古不盈懷。夢裏伽倻色。期君躑躅崖。</text>
<title>奉贈桐巢</title>,<text>瘦騎凌兢踏雪埃。扶桑若木路邅回。新春偶與梅花約。今夜還隨月影來。坐取深熏偏讓席。酒分殘漉劣盈盃。明朝怊悵停雲字。川陸微茫路不開。夢斷康衢三尺埃。洛川雲月伴人回。荒田古木春還得。小閤寒梅雪送來。美惡從他須得句。淺深隨量不論盃。歸鴻無繫東西影。流水靑山面面開。未信人間有厚埃。小窓孤睡晩初回。泉聲野老籬邊得。山色鄰家樹上來。月塢晨風獵朱鳥。玉山秋露滴金盃。丘中寂寂塵琴在。古調逢君爲一開。</text>
<title>宮詞。效王陜州體。</title>,<text>卯初三刻問安時。宣政門深遠望微。向晩中官傳諺札。史臣繙寫筆如飛。厨官色色具兼珍。雉熟魚蒸各別陳。內圃進來黃芥子。今朝御膳特時新。</text>
<title>田居雜謠八絶</title>,<text>賣馬爲買牛。牛直高於馬。置牛還買粟。食粟是食馬。主人有羸㹀。老骨寒叉牙。爾田亦不給。吾圃當奈何。有田如狗革。有井如牛睛。圓瓢白木柄。終日刮水聲。荒蒭馬牛踐。用以糞吾田。廐空自生草。雨濕自生烟。劉劉岸邊沙。殷殷種牟麥。去年霧後黃。今年旱餘白。嗿嗿午坂饁。椀椀靑葵滑。不聞山有花。但念彌陀佛。農人一勺水。視若一椀血。下田將揷秧。上田防偸决。小睡嗔蛙鳴。悠然開竹牖。霏霏石榴烟。澹澹梨花露。</text>
<title>六月旣望。諸君泛舟前江。時余病未能焉。翌日爾久以詩來。卛題和之。</title>,<text>開遍苽花滿地金。病來觀圃亦無心。仙舟一夜風吹去。月落窓明耐獨吟。</text>
<title>偶吟</title>,<text>野水籬邊到。孤村霧氣中。開門成悵望。不見壯元峯。</text>
<title>三三節。憶巷社舊遊。</title>,<text>長安士女愛芳馨。處處春遊白玉甁。鞋底草香終日在。東風無限野田靑。</text>
<title>立春</title>,<text>去歲已知伯玉非。今年不作達夫詩。一春家計須料理。梅橘松篁次第移。洛下先生窮活計。破牕無紙屋無茅。簷頭卧聽喳喳鵲。愧爾新春補舊巢。小閤薰爐坐自深。傍簷終日有鳴禽。何限東皇新雨露。一庭花木亦生心。</text>
<title>立春日。奉題寄軒叔父窓壁。</title>,<text>墻角偎扉半面開。小僮持札過溪苔。報道藥山春酒熟。隔林催喚仲容來。窓暉冉冉讀聲遲。讀到先生興到時。試看活潑鳶魚處。雲在靑天月在池。手掬淸泉灌小梅。數花依隱隔年開。氷壺澈底寒如許。那得春心快到來。淸和時節萬花紅。長日幽軒酒不空。醉後阿咸齊起舞。阿咸亦是白頭翁。</text>
<title>戱題壁莊</title>,<text>朝暮烟光內。房櫳黯黯中。尖風忽邂逅。小竇遂穹窿。</text>
<title>寄軒前小池白蓮。自錢塘來種者。感而賦之。</title>,<text>抱潔吾誰與。含情獨爾憐。泥塗同旅跡。心事各華顚。初日光於水。微風泛似船。徘徊歲暮思。姣服濯淸漣。</text>
<title>上元夜孤坐。晉兒偶誦蕙君詩句。卽余在洛時甲寅上元夜。與蕙君酬詠者也。感歎良久。遂步其韻。却寄蕙君。</title>,<text>殘盃零落不禁寒。隱几蕭條白㲲冠。秦樹遠分孤影斷。嶺梅仍作冷膓看。千林有喜春容得。大地生明月宇寬。巷社詩篇今寂寞。老年吟興未全闌。</text>
<title>錄別詩。和奉蕙子。</title>,<text>去歲移家住洛濱。期君共作弄淸人。山中桂樹今如霰。世外桃花別有春。草鄙敢言天下事。風波自在㥘前身。盈盈一夜相思夢。月落鷄鳴但欠伸。古木蕭蕭未管春。殘星錯落已侵晨。謀身自笑無能子。視影終爲不愧人。遠岸藏燈欺宿羽。誰家擊鼓擾潛鱗。悠悠此理君應識。莫向風波更問津。</text>
<title>見老妻結網。戱贈。</title>,<text>葵田久荒穢。內子意何如。擧案慚無肉。臨淵羡有魚。治絲手仍熟。貪雋目偏踈。與作安人侈。終隨漁父居。</text>
<title>和蕙子別詩寄贈</title>,<text>他鄕生白髮。悽坐看雲歸。農理因人得。方言任俗爲。年芳隨日改。春意似秋悲。踈懶仍淹病。君詩和較遲。</text>
<title>挽申正郞 滌</title>,<text>雲衢一跡是前塵。桑海冥冥歲月新。西第繁華金印大。東家物色竹園貧。窮泉始有安身地。眞宰多生薄祿人。君去應尋宗衮處。夜凾光怪引尻輪。湖雲嶺樹夢依依。暮道徘徊鬢髮微。東陌風塵迷處所。上淸官府有光輝。桃花水咽銘旌濕。杜宇聲殘旅魄歸。天地悲歌餘老淚。十年人事掩孤扉。</text>
<title>答寄曺生 漢儒</title>,<text>鷓鴣山上杜鵑開。花裏枯筇兀兀來。忽見伽倻天半出。孤雲去處鳥飛回。深樹餘花開復開。武陵橋水泛紅來。蒲團午睡矇矓意。萬壑千峰夢一回。流水籠山不肯開。此間那復俗人來。期君九月丹楓後。宛在巖前走百回。掛壁風琴佛殿開。僧雛續續報花來。行裝料理尋眞事。可是休粮十日回。白𩿨波動夕陽開。江上漁翁罷釣來。臨到柴門聞剝啄。曺家奴子覔詩回。</text>
<title>立春偶題</title>,<text>殘樽寂歷小燈娟。博塞梟盧不肯眠。未到子分猶舊歲。鷄聲今夜最堪憐。春風吹夢度江關。新石橋南屋數間。墻角小桃花自發。回頭不見鷓鴣山。</text>
<title>立春日。奉題寄軒叔父牕欞。</title>,<text>兒童課罷閙墻東。打雪敲氷各獻功。甁君次第來消息。按譜先勘鶴頂紅。健步移梅歲月賖。至今春事半枯槎。更與阿咸裁遠札。覔來冬栢一枝花。</text>
<title>泛舟洛江。示同遊諸君。</title>,<text>一笑惟吾曹。寬閒有此舠。晩烟侵𪆽細。春水泛花高。石隱探魚密。村荒得酒勞。鄕關愁日暮。悄悵倚蘭臯。</text>
<title>醉和權忠甫</title>,<text>江花不及醉顔紅。十里烟波一睡中。起來忘却維舟處。笑問鄰居碧繼翁。</text>
<title>龍頭杖歌。和贈權忠甫。幷小序</title>,<text>居士入主屹山。得古羊躑躅一本九節。其形蜿蟺屈曲如龍。好事者刻之。安頭角鬚胡。宛然龍也。居士愛之。出入未嘗廢焉。友人權忠甫作詩以美之。噫忠甫其知我者歟。古之人有縛茅爲龍。駕而升天者。吾安得騎此龍。周流八極。追逐安期羡門之徒。學長生度世之術。看今世界如何出塲也耶。老子手中拐龍杖。仙人之賜何其侈。逝將騎入祝融峯。讀破玉箱金簡史。</text>
<title>病筆</title>,<text>二月江南草樹暄。病人擡首試開門。春愁偶與詩情得。夜夢多因世故煩。時雨欲來山氣活。早花初動鳥音繁。眼前依舊東風面。憶在西城數頃園。</text>
<title>對雨</title>,<text>我懷川陸日悠哉。寒食東風雨未開。莫是泥昏妨麥眼。秪應根活養花胎。重茅舊黑緣簷落。曠野新靑入戶來。一夜羇人皆北向。愁雲不散望鄕㙜。</text>
<title>立春日偶題</title>,<text>小牕臨路短墻斜。盡日人行見䯻多。最是前山新雨後。牧童吹笛數聲過。商顔洛口夢相牽。春色東涯亦可憐。萬事不須詹尹卜。此身行止任高天。舍北蒼松伐作籬。碧蘿橫帶翠垂垂。傍邊留與黃花地。新雨來時約略移。</text>
