<title>正陽寺</title>,<text>月隱靑蓮外。雲生古㙮西。淸簫擬一弄。秪恐鶴驚栖。</text>
<title>題閔肅夫江閣</title>,<text>鵬程早輟屠龍業。象外幽棲樂考槃。孤鶴斂翎松露凈。神龜藏六水雲閑。多情風月千杯酒。有契江湖一釣竿。消盡世機門獨掩。渚𩿨無數近雕欄。</text>
<title>憶四郡山川</title>,<text>曾上丹丘一訪仙。東風輟棹玉溪前。天開三島龜潭上。雲捲千峯鳥嶺邊。繞洞烟花春未老。滿舡簫皷月初圓。至今飄泊干戈際。回首淸遊已十年。</text>
<title>寒碧樓</title>,<text>江涵秋影鴈驚寒。活畫屛山錦繡斑。綠桂春風曾駐馬。黃花秋月更憑欄。流光衮衮頭渾白。世事茫茫淚未乾。忍向故園回遠矚。二湖兵火接天端。</text>
<title>水回村避兵</title>,<text>三月荒村天氣寒。殊方節序已春闌。輕嵐一抹松藏逕。好鳥千聲柳掩關。昨夜草間曾露宿。今朝沙際又風餐。可憐十口逃兵地。始信人間行路難。</text>
<title>次玉山喚仙亭韻</title>,<text>約束幽人載酒行。澄江閑濯舊塵纓。鶯啼綠樹花全老。霧罷滄溟月欲生。半世浮名曾折臂。三春行樂足娛情。扁舟又截平波去。擬向高㙜一笛橫。</text>
<title>懷鏡湖堂。簡寄玉山道丈。起忘前約。</title>,<text>無數鳴𩿨繞竹籬。釣船維纜海棠枝。碧林微雨寒烟合。朱閣薰風麗景遅。橋影似虹浮竹嶼。湖光如練接松陂。聯衾勝約君休負。共拓軒窓日出時。</text>
<title>鏡湖堂</title>,<text>偶隨仙侶訪淸都。朱閣靑林當畫圖。門掩萬株烟浦樹。窓臨千頃夕陽湖。海雲亭畔褰蒼靄。杜若洲邊集彩鳧。珍重故人留我飮。應憐飄泊一酸儒。</text>
<title>雨中述懷寄玉山</title>,<text>百口飄零類轉蓬。千般酸苦語難容。溪蔬剪了和塩煑。壠麥收來帶雨舂。經卷藥爐供淡薄。松床蒲薦稱踈慵。平生志氣消磨盡。還趁村翁學晩農。</text>
<title>旅寓中述懷。錄呈玉山。</title>,<text>臨危效死愧前賢。避地偸安亦靦然。千里隻身靑海上。一春孤夢紫宸邊。殘村毁郭傷今日。明月梨花記昔年。竹外小亭成獨坐。擬邀詞客瀉幽悁。</text>
<title>喚仙亭曉吟</title>,<text>白頭於世斷經營。一卧滄湖夢亦淸。夜久海山羣動息。月明洲渚數禽鳴。五更枕簟新凉逼。千頃玻瓈淡霧生。咫尺蓬山仙可喚。依依笙鶴度雲瀛。</text>
<title>題橫溪驛卒家 驛在大關嶺上</title>,<text>七月繁霜八月雪。數畦瘦壤失耕耘。鶉衣倒掛經寒暑。蛙竈時炊度夕昕。澗虎窺牛林未暝。山魑明火夜將分。自憐飄泊長爲客。耕鑿生涯羡爾羣。</text>
<title>宿求杜微村金老應長家</title>,<text>征驢遙駐碧溪濆。錦繡千林一逕分。十載宦遊餘悔吝。一宵情話幸慇懃。寒霜古驛人無寐。淡月長空鴈叫羣。筭了世間無好况。不如歸去故山雲。</text>
<title>踰毛老峙</title>,<text>關河迢遆客魂危。雙鬂無端入鏡衰。雨浥黃花香糝逕。霜酣楓葉錦粧陂。奔川沒岸僮偏惧。卧樹當蹊馬亦疑。松上老鼯機尙在。避人忙着最高枝。</text>
<title>酒泉縣</title>,<text>百年蹤迹愧汀𩿨。晩歲行藏獨倚樓。白髮無情人換鬂。黃花有信客驚秋。山粧錦繡楓千匝。江動金波月一鉤。欹枕未成鄕國夢。灘聲徹夜枕邊流。</text>
<title>忠州道中</title>,<text>孤劒頻年客海東。百年憂樂信天公。齊門可笑吹竽者。塞上須看失馬翁。數點晴鬟秋靄裡。一條寒玉暮烟中。淸霜夜染千林葉。錦繡漫山路欲窮。</text>
<title>錄奉釣徒案下 二首</title>,<text>醞藉風烟稱晦藏。幽莊蕭洒碧林傍。閑中契活唯詩卷。物外生涯但釣航。隔岸湖光明菊檻。半空松翠濕琴牀。淸談亹亹忘歸去。不覺林端夜色蒼。高閣玲瓏碧水涯。一條松逕入雲斜。風流東海神仙窟。彷彿西湖處士家。梅暖鶴庭春信早。夜凉筠檻月光多。收身蚤晩同𩿨社。閑向扁舟理釣蓑。</text>
<title>立春日。錄奉釣徒。二首</title>,<text>雪擁松筠斷往來。客窓無日好懷開。流年衮衮吟邊盡。華髮蕭蕭鬂上催。剡水幾時浮短艇。灞橋何處訪寒梅。愁來痛飮仍成倒。夢落西湖舊釣㙜。積縞郊原一逕開。幽居蕭灑絶塵埃。尋梅正好吟詩去。訪友何須輟棹回。萬朶晴峯明似玉。一泓春水凈於苔。隔林詩老佳期在。會待蟾光映小㙜。海雲小㙜</text>
<title>船巖。與宋瑞元，姜信仲小酌。仍向泉水庵。</title>,<text>溪水滔滔日夜流。流年如水鬂霜稠。筭來世事堪垂涕。老去春悰轉作愁。孤店亂山殘照外。落花芳草小橋頭。餘歡未艾樽無底。竹院仍成李遠遊。</text>
<title>病中偶吟</title>,<text>柴門茅屋絶紛譁。無限閑愁對月華。衰疾侵尋頭已白。年光流轉感偏多。荒庭露冷亂蛩泣。碧落秋淸孤鴈過。回首昔年行樂地。滿城禾黍動悲歌。</text>
<title>次聽竹環碧堂韻</title>,<text>靑衫白首夢湖山。虗走風塵卅載間。新築數椽成晩計。聊專一壑占淸閑。縱橫瓊峀連天碧。爛熳琪花滿地斑。繞屋松濤聞未厭。誅茅不必近潺湲。</text>
<title>示㣧輩勸學 二首</title>,<text>干戈飄泊久離羣。華髮千莖兩鬂痕。少日繁華疑夢寐。殘年契活屬耕耘。摧頹自幸全𨈬命。憂喜還須仗弟昆。成立顯親希爾輩。詩書宜做十分勤。荒村歲暮掩柴荊。白首猶依爾弟兄。敦厚朴忠須着力。聲華浮競莫留情。且從心地鋤榛莾。要使胸襟炳日星。千古聖狂昭竹簡。讀書奚但爲科名。</text>
<title>環碧堂</title>,<text>琪樹千重一逕通。壑雲松靄映房櫳。川光隱見踈林外。山勢縱橫落照中。入戶寒蟾金婀娜。滿林晴雪玉玲瓏。朱門白屋元相隔。從古閑忙本不同。</text>
<title>次梅溪主人鄭愼元韻</title>,<text>同心同德又同鄰。文酒團圓秋復春。瞥眼繁華輸夢。賞心㙜榭已荊榛。漁樵晦迹烏村路。袍笏無情紫陌塵。蘭室盍簪知幾日。可憐天末未歸人。</text>
<title>寄李古阜玉山</title>,<text>牧民寸調世稱高。丘壑風流我亦豪。浮世宦情頭已白。故園歸思夢徒勞。孤山春日梅邊鶴。鏡浦秋風月下舠。無計一樽重摻手。暮雲天末思忉忉。</text>
<title>錄奉竹溪 二首</title>,<text>洛水鷄山久別離。相逢猶幸舊容姿。聯騘烏府空陳迹。握手龍頭是好期。丹鼎碧烟花謝後。淸江白石月明時。莫將奇勝誇仙分。直恐徵書下玉。亂峯環擁一茅茨。凉入郊墟七月時。蕙帳有期尋舊隱。錦囊無底富新詩。鷄山雲氣連松檻。荊水波聲遶竹籬。何日一樽溪上石。穩輸肝膽俯淸漪。</text>
<title>題韓景逸月浦亭</title>,<text>洒落幽庄碧水潯。菊㙜松逕轉蕭森。數聲𩿨鷺半江月。一室琴書萬樹陰。正欲借君三逕地。可能容我百年吟。湖光拖練山如畫。此地應從夢裡尋。</text>
<title>偶吟 二首</title>,<text>天末多年避甲兵。林丘初返養殘生。繁華寂寞風烟散。歲月崢嶸鬂雪明。一室圖書窮萬古。滿庭松月坐三更。淸愁和病孤村裡。露草寒螿獨掩荊。一枝棲息水雲鄕。經卷茶爐閱幾霜。淸曉開窓迎灝氣。荒庭扶杖步蟾光。烟濃翠竹當簷凈。露浥殘荷滿沼香。萬死一生甘寂寞。亂蛩聲裡掩茅堂。</text>
<title>奉贈春湖</title>,<text>丘園風雪滯行㫌。久輟論思白玉京。桂籍芳名聯七代。儒林淸望冠羣英。數行珍重瓊琚句。一慇懃石决明。惆悵雲泥永相隔。謾題荒語瀉離情。</text>
<title>寄鄭黃澗君澤</title>,<text>重興仙洞舊相隨。江渭迢迢歲屢移。十載干戈那忍說。一樽談笑亦無期。我離香土尋丘壑。君向滄波理釣絲。一帶荊江連赤水。秋風搖棹遡淸漪。</text>
<title>次月浦主人韻</title>,<text>山擁花欄水映堂。身猶叔季志羲皇。琴牀明月非無分。竹牖淸風有底忙。蕙路雲深跫響絶。江波春暖釣絲長。名區物色勞魂夢。日陟東臯望夕陽。</text>
<title>聞吳上舍江亭。有七夕之約。先寄拙語。</title>,<text>收身山海占幽閑。韻士風襟不可攀。天上鵲橋今夕會。人間馬浦此時歡。松侵琴閣聞淸籟。江抱漁磯拖凈紈。老子亦承登眺約。一樽何日做團欒。</text>
<title>滄丘吊冲庵先生</title>,<text>荒山片土埋孤憤。遠客斜陽意萬重。人似風燈唯有宅。事如春夢却無蹤。窪樽尙照千年月。絶壑空摧萬丈松。凜凜英靈猶未死。依依芝盖度前峯。</text>
<title>送宋福汝還朝</title>,<text>簪盍鄕園能幾時。君今捨此欲何之。不堪荊樹存亡慟。况耐秋風去住思。行客自應忘別恨。老翁猶復問前期。此生相對知無日。莫恠臨分淚滿頤。</text>
<title>謾題</title>,<text>山村寥落客過稀。竹外衡門掩夕暉。萬樹陰濃蟬嘒嘒。一溪烟暝雨霏霏。壺中自有寬天地。名下應多謾是非。一味漁樵甘澹泊。閑來飮氷亦應肥。</text>
<title>送宋仁叔遊俗離 三首</title>,<text>吟筇遙指白雲陂。正値黃花赤葉時。玉立晴空山萬朶。碧鋪秋壑水千支。商顔韻士留佳約。白達閑人趁好期。此去應探千古勝。華陽水石最淸奇。憶曾丙子之陽月。約束雙溪辦勝遊。晴雪樓中留釋飮。天王峯下植筇休。懸燈古寺三更雨。吹笛寒山萬木秋。卅載存亡人事改。蝸廬卧病淚空流。昔我乘雲訪俗離。秋風行色一筇枝。生員宅裡尋黃菊。處士堂中閱古詩。南嶽白雲玄話靜。東㙜明月夜吟遅。舊遊歷歷輸閑夢。烏兔空添鬂上絲。</text>
<title>戊申除夕</title>,<text>雙淸風月舊田園。歲晏荒村獨掩門。丘壑興專神自泰。簪纓情薄悔猶存。霜侵密篠長含翠。臘近寒梅尙有魂。三百六旬如去箭。鬂邊空着雪霜痕。</text>
<title>書院錄呈諸章甫</title>,<text>松檜沉沉瑞霧低。靈宮迢遆碧林西。高風振古人咸仰。後輩從今學不迷。匡嶽白雲晴繞石。濂溪芳草翠連堤。荒郊變作絃歌地。佇見文星更聚奎。</text>
<title>偶吟</title>,<text>䨥耳全聾眼隔紗。白頭無復舊繁華。收身正似蛙投井。脫俗還如僧出家。幾樹老梅當檻亞。萬竿新竹出簷斜。草堂晴晝眠初起。閑看春風掃落花。</text>
<title>謝贈朴仁健來訪</title>,<text>征車日暮訪幽棲。邀入中堂設黍鷄。孤崦雨晴新月上。小橋人斷暝禽啼。主人高興千盃足。客子新詩幾首題。忽漫相逢還作別。夢魂均惱嶺東西。</text>
<title>次東湖韻</title>,<text>壽木蒼烟洞府寬。衡茅新葺小溪灣。生涯秪是經千卷。節友唯憐竹數竿。三逕風流成晩計。一枝棲息保餘閑。阿誰贈我瓊琚句。欲報荒辭意萬端。</text>
<title>送宋福汝還朝 進退格</title>,<text>親知凋喪幾人存。雅量淸芬獨有君。京洛風塵勞遠夢。故山松竹對芳樽。層氷千里關河遠。積雪孤村歲序分。忽謾相逢還惜別。白頭衰淚滿巾痕。</text>
<title>題齋舍壁上</title>,<text>小築初成石馬傍。窮山歲暮感偏長。白楊舊壠堪垂涕。宿草新阡更斷膓。八十光陰同隙駟。半生榮落等亡羊。翻思壬子居廬日。手植松高百尺強。</text>
<title>錄奉朴斯文仲悅</title>,<text>抱病窮村歲又殘。羇懷脉脉自難寬。十年世事空流涕。半日淸談暫解顔。林雨乍晴雲度壑。松濤初息月山。茶爐經卷無餘事。誰識烟霞一味閑。</text>
<title>題風詠樓</title>,<text>風詠樓高百尺強。踈簾面面納微凉。山排釰戟擎天立。川拖羅紈繞檻長。半世浮名輸夢寐。一樽淸話瀉心膓。浴沂高趣無今昔。滿座冠童捴俊良。</text>
<title>次春崖五道山舍韻</title>,<text>沙山南畔小溪湄。新葺茅茨事事宜。野鹿入門眠曲砌。澗流穿竹注方池。神淸慣作烟霞夢。興逸長吟陶杜詩。珍重故人來問我。百年交道捨君誰。</text>
<title>許直卿挽</title>,<text>平生朋舊盡成塵。屈指人間幾箇存。杖屨有時來問我。簡書無日不懷君。每携歌管尋佳境。閑瀉心膓對綠樽。人事忽從朝露變。丹㫌空向故山雲。</text>
<title>一旬內。三孫兒疫化。怛然疚懷。彈淚而題。</title>,<text>𥚟殃稠疊一旬間。哭送三兒淚未乾。笑語琅琅耳邊在。容顔歷歷眼中看。人間此別膓堪裂。泉下重逢理或難。搔盡白頭仍不寐。五更風雨撲窓寒。</text>
<title>登野亭。示主人。二首</title>,<text>荒村歲暮思紛紛。約束幽人訪石門。啼鳥落花曾把酒。白雲紅樹又逢君。巖流激石飛寒沫。嶺月臨潭動錦紋。勝地團圓寧易得。任他終日醉醺醺。名亭美景擅三韓。岳霧溪風六月寒。素練盈盈知甲水。靑螺點點是龍山。網收錦鯽翻銀尺。樽凸流霞斂碧瀾。多謝主人珍重意。爲留終日罄餘歡。</text>
<title>夜坐述懷 二首</title>,<text>鳳城行樂夢依然。白首天涯歲屢遷。獨鳥亂蛩山寂寂。竹扉松逕月姸姸。風塵往事成孤憤。耕釣閑情屬暮年。料理世間無好况。莫如隨分老林泉。高構玲瓏俯碧流。松雲漠漠藕塘幽。半林踈雨千山夕。一枕淸風六月秋。華紱妨身宜野服。山蔬悅口當珍羞。紛紛冠盖東華路。誰記山村一白頭。</text>
<title>䨥淸堂舊基感懷</title>,<text>鄕心迢遆宦情踈。琴鶴蕭然返舊居。霽月光風天宇凈。小梅新竹野壇虗。浮沉半世丹心老。憂喜平生白髮餘。可惜靑氊終莫保。荒墟蔓草足唏歔。</text>
<title>板橋途中</title>,<text>萬事人間不可期。殘年行役夢耶非。吳山楚水天空濶。積雪玄氷路轉危。鴈陣驚寒鳴遠浦。霜華如雪滿征衣。久知城市無佳况。何事南還復北歸。</text>
<title>次贈尹姪稚圭</title>,<text>干戈飄泊錦江邊。千里看雲白日眠。半世風塵心已折。暮年丘壑病相纏。兩家奇禍那堪說。萬死餘生㝡可憐。握手悲歡仍不寐。曙星初轉月流天。</text>
<title>漢江船上留別諸君子</title>,<text>脉脉相携思不平。可憐離合等浮萍。胸中悃愊憑誰說。座上驪駒爲我聽。檣鷰有情鳴落日。岸花無賴落寒汀。明朝別恨知多少。漢水鷄山杳幾程。</text>
<title>松潭謾吟 二首</title>,<text>烟霞穩處送殘齡。閑向松潭縛數楹。早歲紛華輸一夢。暮年丘壑養幽情。檻迷雲影蘿陰合。枕繞泉聲客夢淸。人斷蓽門山更靜。獨臨秋水濯塵纓。千峯影裏注寒溪。淸曠偏宜野老棲。滿地白雲無客到。半林殘月有鵑啼。追惟夙昔膓空斷。筭了平生意轉迷。睡起衡茅無箇事。浪吟時復步松堤。</text>
<title>山人一見住于雪峯之石室。神骨秀美。有澹雅之趣。其軸中。有退休，河西，駱峯諸君子所贈。眞絶代奇玩。師常愛之。師臨亡。囑于沙彌曰。吾將死矣。爾其袖此軸。奉獻于宋某云云而逝。非久。沙彌袖軸而來。余感其情。珍藏書簏中有年。今到于此。石室頹廢。寒烟蔓草。鹿跡遍踏。愴咽題。三首</title>,<text>歲暮空山百感生。憑欄不語坐深更。當時秀骨元無敵。滿軸瓊章更有聲。丈室偶成三夜夢。窮途偏覺百年情。存亡四十年間事。唯見荒墟鹿子行。翠壁蒼藤深復深。緣崖一逕接楓林。溪雲乍起千峯夕。嶺月初沈萬壑陰。耽勝每穿靈運屐。賞音誰奏伯牙琴。不堪俛仰成陳迹。禪榻寥寥草色侵。踏遍烟霞興已闌。蒼苔巖下卸吟鞍。僧從古峽雲邊去。月向空潭鏡裡看。繞屋晴峯呈紫翠。縈林綠水瀉淸寒。風光如許人何處。獨立荒㙜淚欲潸。</text>
<title>漫題</title>,<text>多年猿鳥日相親。丘壑閑情老轉新。塵土幾傷迷路客。水雲今作賞心人。丹楓影落杯中物。明月光侵畫裡身。醉卧石床扶不起。滿山風露濕綸巾。</text>
<title>重遊鷄龍山 二首</title>,<text>一杖行尋舊洞天。白雲紅樹尙依然。吟情浩蕩風兼月。樽酒淋漓聖且賢。簪笏已拋身上累。水雲今作飮中屳。丹丘玄圃遊蹤遍。三洞眞人導我先。天邊螺黛亂山稠。山外靑羅錦水流。澗月溪風挑晩興。白雲紅樹媚淸秋。盈樽美酒澆詩肺。揷帽黃花愧白頭。向夕嵐光看更好。不妨携笛月中遊。</text>
<title>錦江樓船。與慶廵察暹，洪牧使思斅，鄭安城惟醇，池察訪達海，石陽正做會。二首</title>,<text>結束行裝訪玉人。鹿車烏杖白綸巾。天邊列峀濃新黛。葉底殘紅殿晩春。塵土半生曾失脚。水雲今日穩收身。良辰會趁佳期去。却望仙舟興有神。崎嶇出峽到雄州。碧水東頭彩鷁浮。錦纜牙檣新制作。輕裘緩帶舊風流。熊江暝色迷烟樹。鷄岳晴光落玉舟。老興易顚樽不盡。斜陽搖棹下滄洲。</text>
<title>寄題三嘉宋德馨新堂次韻</title>,<text>棲成物外斷經營。閑伴筠梅作弟兄。咏月吟風神自泰。登山臨水眼偏明。漁樵已足供閑興。榮辱何能動雅情。凈盡心機無箇事。滄浪不必濯塵纓。</text>
<title>雪後。步尋宋福汝。路上口占。</title>,<text>強起踈慵策杖行。雪晴墟里夕陽明。一條寒玉穿林轉。千挺蒼松挾路生。南北巷分人樂業。朱陳村久世知名。冠童三兩能隨我。共訪徵君話舊情。</text>
<title>寄題宋福汝挹灝亭 二首</title>,<text>物外棲成俗事稀。靑衫換了綠蘿衣。壑雲松靄重重掩。列峀長川面面圍。萬古名亭還作主。一區淸景足忘機。林僧野老來相問。閑把村醪上翠微。幽人初罷南柯夢。旋向名區縛數楹。檻外長波連錦水。天邊列峀擁儒城。盈筐山蕨林僧薦。蘸甲春杯野老呈。回首風塵爭奪地。不知誰辱又誰榮。</text>
<title>荊江上流獵魚</title>,<text>阿誰邀我到滄洲。秘境風烟豁病眸。湖舫野橋明活畫。水風松靄當淸秋。盈盤錦鯽跳銀尺。潑綠流霞瀉玉舟。歸去莫愁山路黑。天衢雲散桂光流。</text>
<title>次湖西伯李君遊四郡韻</title>,<text>珠潭三島褰蒼靄。妓巘龜峯面面遮。簪笏縻身魂獨往。林泉入手興如何。淸江白石留丹字。風穴屛山漲彩霞。隔浦群仙期不至。鶴笙迢遆霱雲賖。江邊石面。刻朱丹丘洞門四大字。</text>
<title>踏靑日。約會于飛羅洞。以風雨未果成。</title>,<text>比來人事劇紛紛。幾向名區費夢魂。正愛淸淙流石罅。擬尋幽壑坐雲根。顚風折木春猶冷。積雨渾山晝亦昏。怊悵良辰違勝賞。滿庭花落掩柴門。</text>
<title>水落洞</title>,<text>正是山中三月天。一樽靑眼集群仙。花含淑氣初經雨。柳洩春光淡着烟。象外烟霞元有分。眼中風月浩無邊。邇來久絶東華夢。榮辱那驚白首年。</text>
<title>次光州風詠亭韵</title>,<text>未老得休眞是休。主翁心上絶浮愁。早拋簪紱紅塵窟。閑占菟裘白鷺洲。鎭伴漁郞磯上坐。時邀琴侶月中留。鱸魚正美蓴絲滑。霜落江東一鴈秋。</text>
<title>病懷無悰。步登七級㙜上。高秋蘓爽。林園淸曠。頗有雅趣。口占拙句。錄呈東鄰諸君子。求和。</title>,<text>朱陳村號古來傳。全盛繁華問幾年。處處園林依翠巘。家家門巷帶長川。黃花赤葉粧秋壑。老樹寒烟秘洞天。脉脉閑情誰與語。東鄰只有老詩仙。</text>
<title>猪洞山齋。與朴景行朴大而做會。</title>,<text>風埃顚倒費年華。䨥耳全聾兩鬂皤。袍笏前身疑夢寐。漁樵新興落烟霞。凍雲翳壑林初暝。遠水連天野更賖。隔浦羣仙佳約在。強驅羸馬渡長波。</text>
<title>宋弘甫龍山江舍。次一松老爺韻。</title>,<text>玉署銀臺一夢間。江湖浪跡鬂毛斑。蕭條門巷臨寒渚。洒落軒窓面碧山。湖舫客歸林月上。棠沙春暖渚𩿨閑。風光正好供淸興。典盡朝衣換酒還。</text>
<title>錄奉宋正弘甫三昆季</title>,<text>晩落名途百計乖。一丘棲息興悠哉。江湖豈合閑奇士。廊廟應須展俊才。經卷藥爐消歲月。水光山色護樓臺。鹿車何日欣相訪。共把春風竹葉杯。</text>
<title>咏雪。錄奉福汝聖兪。求和。</title>,<text>頑雲醞雪朔風吹。萬片飄飄入弊帷。灝氣滿林珠錯落。晴光奪目玉參差。剡溪歸棹三更月。灞水蹇驢幾首詩。老子㥘寒深掩戶。一樽誰與賞淸奇。</text>
<title>閑居漫興</title>,<text>土牀蒲薦卧袁安。雪積千林正釀寒。世念已隨雲共散。宦情偏與歲俱闌。一庭春信梅千朶。三逕淸風竹萬竿。晴旭滿窓人不到。擁爐閑對篆烟殘。</text>
<title>李聖兪遊嶺南。以伽倻山圖示之。玆山乃老人願遊而不得者。一味艶羡。慨然書呈。</title>,<text>才子風懷不自裁。伽倻行色被春催。吟筇乍憇圓音閣。芳躅先尋學士臺。萬瀑聲中幽鳥語。千峯影裡異花開。多君領略烟霞勝。描寫溪山滿袖來。</text>
<title>淸堂偶吟 二首</title>,<text>林花落盡雨濛濛。獨掩松扉思不窮。乾雪滿頭心已折。昏花翳眼耳全聾。丘園風物孤吟裡。京國繁華一夢中。飽了世間榮辱事。不妨來作釣魚翁。投紱歸來萬念虗。殘年契活屬耕漁。雲林允合閑人跡。陋巷全無長者車。雨浥花叢當檻嫰。月移松影透簷踈。良辰骨肉參商久。悵望天涯獨倚閭。二子赴擧未還。末句及之。</text>
<title>挽成佐郞士悅</title>,<text>徵君儒雅逈超羣。邂逅他鄕分益敦。湖舫烟波曾倚棹。江樓花月更携樽。天涯幾結思賢夢。篋裡猶藏贈我文。凋盡平生舊相識。哭君今日最銷魂。</text>
<title>臨淸堂</title>,<text>鞭羸來訪故人家。水檻玲瓏暎碧霞。翠峀千重嵐欲滴。淸潭一曲鏡新磨。輕暄未放寒梅眼。暖律纔抽宿草芽。珍重主翁留我飮。麓林烟雨已藏鴉。</text>
<title>病中感懷。錄呈東鄰諸君子。求和。</title>,<text>浮世悲歡一夢間。年光流轉似跳丸。雨荒崖菊香猶在。霜冽巖楓葉盡乾。平昔壯遊思嶺海。老年淸想寄湖山。孤村寂寞門長掩。欹枕三旬首不冠。</text>
<title>謝金有初，金邦良見訪。二首</title>,<text>三山仙侶共聯翩。正値荒村歲暮天。玉貌霜髭瑞石老。溫姿雅量月城賢。園林景物三秋後。樽酒逢迎十載前。惆悵明朝一爲別。鹿車相訪定何年。綺陌繁華夢一塲。白頭蕭瑟卧山庄。雀門人斷苔侵逕。蝸舍秋晴月滿床。鶴貌癯仙來自遠。龍鍾老子感偏長。喜心翻倒仍怊悵。強進斜陽泛菊觴。</text>
<title>過龍頭憶宋雲叟</title>,<text>鞭羸斜日渡長川。澹蕩風光鳥語姸。一帶平沙眠白鷺。千章喬木宿蒼烟。荒凉故宅悲今日。跌宕淸遊憶去年。泥雪鴻蹤無覔處。老夫和淚寫新篇。</text>
<title>病中偶吟</title>,<text>碧檜陰中千澗水。靑山影裏一茅茨。歸田正似陶彭澤。飄泊還同杜拾遺。少日繁華雲共散。殘年契活病相隨。可憐憂患傷豪氣。落盡春花不賦詩。</text>
<title>記夢</title>,<text>千峯競拔水爭流。一杖行尋古寺幽。蒼靄滿林山欲暝。白雲平壑雨新收。鍾鳴寶殿僧初定。月滿空臺客自愁。回首碧天雲萬里。直隨笙鶴上丹丘。</text>
<title>述懷 二首</title>,<text>踈慵無術佐明時。三黜名塲分所宜。四壁圖書存至樂。一庭花竹稱幽期。佳山好水心長往。踏石攀林脚不衰。莫道巖居生事薄。滿園芋栗足忘飢。行年九十渾如夢。往事亡羊不掛心。繞屋溪山明活畫。擁簷松竹産淸陰。慵來未奏齊門瑟。老去長携靖節琴。欹枕偶成湖海夢。水雲深處伴沙禽。</text>
<title>滄丘懷古</title>,<text>靑山矗矗水深深。往迹凄凉何處尋。古塔閑雲朝復暮。窪樽明月古猶今。可憐濁世醫民手。忍見當年絶命吟。宇宙空留孤憤在。長敎志士淚盈襟。</text>
<title>贈子賢子宜二妙</title>,<text>巖下荊扉溪上田。問君逃世幾多年。英名一代稱雙鳳。誠孝千秋邁二連。繞壑寒泉喧夜月。近簷嘉樹帶春烟。心灰軒冕身無事。閑伴林僧共醉眠。</text>
<title>船巖秋日小集</title>,<text>萬古船巖勝。人言水石鄕。拖紈一川白。列戟萬峯蒼。莎岸收殘暑。蘋風送晩凉。烟霞供翰墨。樽酒瀉心膓。跌蕩詩情逸。顚冥醉興長。簪裾餘悔吝。耕釣任淸狂。瓊果堆雕案。銀鱗薦葦筐。重來有佳約。壠月正揚光。</text>
<title>排悶</title>,<text>百戰殘城在。荒墟不見村。巢林憐社燕。塡壑吊飢魂。雪塞行蹤滅。沙寒鬼哭煩。山川殊氣候。風壤異凉溫。局束同投井。顚連類觸藩。嶺高星襯樹。天近月臨軒。骨肉湖中遠。烟塵塞上昏。南圖終斂翮。脉脉坐忘言。</text>
<title>述懷。錄呈仁叔諸公。求和。</title>,<text>紫陌靑袍興已闌。白頭歸去掩松關。思量進退吾差熟。取捨熊魚古亦難。藜藿始知甘鼎肉。衣纓未必勝黃冠。淸堂肯搆䨥溪水。精舍新成五道山。孤鶴斂翎松露凈。神龜藏六水雲閑。淸霜已着巖楓爛。小雨仍催砌菊斑。節序忩忩大化裏。榮枯忽忽百年間。繁華銷落心機息。靜對山窓竹萬竿。</text>
<title>感懷</title>,<text>山雨不滿簑。汀雲薄爲霧。濤聲隱白沙。鴈影低紅樹。蕭條嶺海外。擧目無親舊。來時凍雪深。荏苒秋螢度。方言吾已慣。海響兒偏懼。尫羸日衰遅。策藜艱行步。兵戈浩未息。望鄕迷去路。哀哀弟與妹。飄泊欲誰訴。無夢寄歸魂。有懷疇處討。何時鶴峯廬。送此齒髮暮。</text>
<title>松潭雜詠</title>,<text>雅性愛林泉。萬鍾非所欲。行身多齟齬。一宦終三黜。龜藏水石鄕。琴書自娛悅。湖邊數頃田。潭上三椽屋。溪翁進琴高。林僧薦香蕨。一枝棲息穩。簞瓢有餘樂。有時發淸興。步出溪邊石。杜宇啼白晝。山杏花初落。回頭爭奪地。紛紛榮與辱。閑忙不同調。何處較得失。沙村舊時人。往往來爭席。壯者已云沒。襁褓頭盡白。庭前手植松。于今已千尺。流光疾於羽。行年八十六。百感集胸中。恍惚淚盈掬。</text>
