<title>往拜枕澗亭壺谷先生。拈韻命賦。己巳</title>,<text>雨霽梧桐葉。風輕楊柳枝。此間有眞趣。只應知道知。</text>
<title>病滯仙塘十餘日。李謹休寄古風五首。意寄深遠。三復爽然。謹步其韻。以謝厚意。己亥</title>,<text>愛君巖下屋。圖書滿四壁。端居何所樂。閉戶守涔寂。我欲從之遊。遙望靑山隔。坐想柴門靜。寒溪繞白石。相思不相見。沉吟山日夕。病客滯東里。茅廬寄山側。山高不可越。荒途生荊棘。豈敢憚險艱。無勞以病力。歲暮風雪集。空峽愁雲黑。沉淹卧牀席。悵望靑山北。我屋鳳山中。牢落守陽阿。閒庭列松竹。翠影交傞傞。古人若有契。自樂還自歌。興到成獨遊。佳友時相過。願與同心子。及時勤修姱。驚看鬢上霜。晼晩將柰何。皎皎巖居子。芳歲承家學。制行精專。立心要誠愨。外累若浮雲。一意效先覺。自顧懵愚甚。生質賦偏駁。於世百無用。拙尙寄泉岳。問子何所槩。拳拳憐愚樸。先哲去已遠。嗟歎復何爲。遺書垂至訓。聲響猶可追。道理只在玆。硏竆更有誰。末路多分歧。冥行迷所之。勉子崇令德。培根而達枝。鹵莽猶能變。况是聰明資。及時起高翔。英妙自童兒。願言資麗澤。皓首以爲期。百歲傳家學。眞訣應已知。</text>
<title>東麓李丈 庭淳 寄詩。次韻奉呈。二首</title>,<text>白雪滿竆山。病卧滯東里。忽承瓊韻至。蹶然推枕起。良箴勝藥石。眞工要近裏。何以謝厚貺。感佩情未已。仰止霞塢翁。家學承遺風。明時謝徵辟。抱道溪山中。邈哉不可作。緬憶悲吾衷。幸有聯牀老。依然典刑同。</text>
<title>次信庵李丈</title>,<text>濃淡山容雨氣深。葱瓏樹色滿東林。竆居自有風流事。眉上霞生月在襟。半世居山不厭深。百年幽趣寄寒林。詎將寂寞妨吾興。生怕紅塵撲素襟。</text>
<title>養浩樓看月</title>,<text>層巒矗矗聳雲端。溶漾湖光一道寒。無限江天明月夜。東風人倚碧欄干。澄江回抱一樓明。水月交輝夜氣淸。忽憶東齋風雪夜。挑燈相對讀心經。辛卯至月。與族兄伯孝。共讀心經于求仁齋。今伯孝兄歿。追憶舊事。不勝愴淚。</text>
<title>懷南士源 魯洙</title>,<text>相逢斗嶺日。宵語到鷄鳴。次第論經傳。縱橫說性情。幸吾資博識。勖子更專誠。一別西雲隔。潮泉夢裏淸。</text>
<title>輓壽靜齋</title>,<text>正學承遺緖。六經專一家。超詣出天賦。淬磨更無瑕。瀅澈若寒水。良玉比溫潤。藹然見天眞。惻怛更淸峻。大爺承湖學。授受十六言。淵源垂百世。紹述至今存。道理竆本支。敬義爲輪翼。閩洛與洙泗。誦言由心得。義理爲骨髓。文章爲藻繪。古雅世誰比。汪洋無滯礙。蒼然鍾鼎銘。杳若咸池奏。常期承下風。一洗塵埃陋。道義襲家庭。磊落連四世。累朝禮徵賢。百年逢盛際。辟書到林下。公已卧淸漳。怡然看不厭。白雲媚東岡。濯濯南澗柳。亭亭孔明栢。移敎植東林。欲看凌雲碧。常思希古人。自慚忘淺愚。平生期勉意。手訂敬義圖。芳香黃菊觴。深遠白雲詠。塊然一朽木。玉雪空照映。飛泉瀉梅壑。水天明海嶼。勝地留千載。人世遽如許。幾日復胚胎。何處寓精神。寒梅與瘦竹。彷彿如寫眞。</text>
<title>庚子八月初七日。向漱石亭。</title>,<text>倚馬秋林外。行裝趁小晴。映空餘雨灑。吹袂晩風輕。矗矗芝山碧。盈盈洛水淸。宣城遙入望。今夜宿霞亭。</text>
<title>漱石亭。校廣瀨遺集。</title>,<text>溪山家學更誰傳。無恙雲霞舊洞天。夜靜淸風來石榭。秋晴明月滿江船。庸姿愧廁羣賢後。芳躅難追百世前。敬閱遺篇懷往事。一回吟咏一凄然。</text>
<title>呈李信庵，琴梅村兩丈。</title>,<text>百年吾道寄林疇。披讀遺篇響戛球。蕭灑孤亭臨九曲。微茫往蹟隔千秋。平生苦有烟霞癖。此日還陪杖屨遊。無價明珠應自在。願從諸老更探求。</text>
<title>留漱亭時。茶山權丈 載綸，梅村琴丈將共遊淸凉。致皜有疾不得追躡。以詩奉呈。</title>,<text>林亭蕭瑟聽秋風。遙對羣峯碧揷空。明日茶山冰玉老。遊筇將入白雲中。古壑梅花一樹風。孤山淸逈俗塵空。紺瞳鶴骨神仙貌。遊屐飄然絶壁中。</text>
<title>是時方恨不能追躡勝遊。緣歸事差池。疾勢亦愈。遂决意入山。到孤山亭。敬次板上韻。</title>,<text>仙遊閒共晩雲歸。珍約諸公幸不違。夜靜孤亭人坐語。烟橫危壁鶴盤飛。千巖樹老明霜錦。一榻更深夢羽衣。歎息百年芳躅在。寒潭秋月尙餘輝。</text>
<title>入淸凉洞口口占</title>,<text>盡日尋山去。楓林鎖幾重。烟霞供客眼。筇舃動仙風。秀石遙天外。飛泉絶壑中。淸凉知已到。高詠興何竆。</text>
<title>夜到文殊庵。又用風字韻。</title>,<text>飄然遊屐趁秋風。來宿精廬世慮空。自愧林居吟病客。十年重到此山中。</text>
<title>敬次退溪先生韻</title>,<text>危骨巉巉萬丈剛。神功千古更誰償。雲晴絶峀巖姿露。秋老陰崖石髮香。勝日遐觀風引路。良宵淸坐月留光。茫茫宇宙吾生晩。百歲懷人淚點裳。</text>
<title>宿精舍。次先生沉字韻。</title>,<text>千載瑤琴舊響沉。一篇眞訣尙傳心。欣看小築披榛莽。來聽寒泉奏玉金。敢望吾儕窺閫奧。久知斯道寄山林。中宵獨向虛牕坐。如見當年灑落襟。須知斯學潛沉。博約眞傳百聖心。誰向淵中探寶玉。莫從爐外掇零金。俗塵消處雲藏壑。夜氣淸時月滿林。願把遺編明旨訣。靜中持敬只端襟。</text>
<title>夜坐看月</title>,<text>千巖月出更嵯峩。松桂陰森映彩霞。遙夜山堂淸不寐。碧天秋色澹星河。</text>
<title>出山口占</title>,<text>千峯回首白雲幽。哀壑聲中意更悠。瑤草琪花應不老。春風攜伴約重遊。朱詩步出哀壑底。</text>
<title>過博石。復宿孤山亭。</title>,<text>秋雲留壑若依然。風袂翩翩渡石川。遙想夜寒猿鶴睡。峯頭惟有月娟娟。</text>
<title>又次板上韻</title>,<text>憶昔東溪拜廟歸。當年傳習敬無違。更因南嶽層雲興。來見西湖報鶴飛。蒼蘚尙痕垂釣石。丹霞已染入山衣。瑞巖稊稗何須論。看取中宵水月輝。</text>
<title>輓族祖瓢巷公 洛休○二首</title>,<text>詎忍攀和淚。常思拔萃姿。出天慈孝友。承學父兄師。儼毅人皆畏。溫良世莫疵。當年蒙庇敎。風義賴扶持。懿行閨門正。賢名父子同。餘風長寄慕。芳躅已成空。地吉雙塋祔。墳遷四尺崇。應如人世樂。昭穆九原中。</text>
<title>輓蒼軒趙丈 友愨</title>,<text>落落蒼軒老。江湖白髮生。仙蹤遊海嶽。師敎謹規程。隱隱憂時意。嘐嘐慕古情。畸竆衰更甚。風節益崢嶸。</text>
<title>靑松使君金聖觀 鎭華 贈一張琴。詩以謝之。</title>,<text>孤桐千歲卧龍陽。鐵榦虬枝老許長。巖瀑松風相噴薄。常聞金石響空膓。卧龍山名靑松仙吏玉爲襟。揀致良工斲作琴。不待六絃調律呂。寥寥如聽老龍吟。東風筵幕俯蒼灣。共聽飛泉絶壁間。高賞詎徒松石意。疑從方子到蓬山。時與聖觀。共遊月溪泉石。臨江高逈石門亭。水月澄輝在古屛。安得凄淸風露夜。憑欄揮弄與君聽。玄鶴翩蹮碧海東。何時儀鳳下遙空。汾亭獨有漁舟聽。一曲難賡解慍風。</text>
<title>至族弟仲思 致儼 書室。讀大山手帖及蘆厓諸詩。歸得滴字韻七絶以寄之。</title>,<text>漠漠山雲起。濛濛山雨滴。翛然對一榻。不覺孤村夕。此學在傳習。滴水要凍滴。水月滿淸湖。迢迢望大夕。遺書在几案。墨色新如滴。願將主敬旨。乾惕日復夕。寂寞靜齋空。再拜雙涕滴。百川何時歸。人世眞朝夕。歸來閉林居。松篁寒露滴。默想古人心。千秋在今夕。遠望巖棲處。蘆峯靑欲滴。何時攜古書。對榻竆晨夕。幽懷誰與語。凝塵棲硯滴。獨坐小堂空。林烟曖向夕。</text>
<title>雪川亭。次板上韻。</title>,<text>精廬孤絶俗塵稀。十世粧修翠石扉。往蹟當軒芳樹老。遐情極目野雲歸。林居自有詩書樂。家業只將孝義肥。靜對遺篇消外累。一川鷗鷺共忘機。</text>
<title>送李成彦 在韶 赴京</title>,<text>關河千里杳炎雲。旅館匆匆客袂分。叵耐東江明月夜。萬松亭畔獨思君。</text>
<title>輓族曾祖林隱公 光濂○辛丑</title>,<text>樸老承名祖。停鸞復在庭。鳶魚感至孝。圖說學竆經。錦水傳餘響。山林想舊刑。商亭芳躅歇。幽澗不堪聽。公至孝。親病嘗糞斷指。有飛鳶啣尺鱗投之。甚鮮美。膾進病尋愈。</text>
<title>輓李所庵</title>,<text>湖山夫子後。遺範又先生。瑞彩儀麟鳳。精光映玉珩。一心扶道脈。三世繼家聲。磊落聯師友。芳華共弟兄。襟懷長照澈。標致仰崢嶸。髫齔聞精奧。晨宵勖邁征。磨礱去岸角。微密著工程。輪翼何曾廢。矩規自不更。躳行惟孝友。體驗是明誠。此道門無貳。諸經刃若迎。異言揮駁雜。俗習去纏縈。穎邁才疇匹。精英稟本淸。居家敦舊業。頫世薄浮榮。處事糾紛整。摛文韻折鏗。緖餘猶俗範。材美是王楨。嶠嶺推高躅。簪紳講盛名。楓宸方側席。林塢下招旌。出處只看義。尊卑詎係情。絃歌聞下邑。芻牧救疲氓。縱慮淮陽卧。那知木稼驚。壎音凄獨唱。琴韻杳誰賡。士論何時畢。全書尙未成。百年方倚重。萬事棄經營。旅路丹㫌返。遺亭綠草平。邑人紛墮淚。士類盡霑纓。更憶遊閒樸。還疑望丈瀛。德星光復聚。君子道方亨。存歿飜桑海。離違隔楚城。重泉埋玉樹。一世罷棋枰。廓落餘吾黨。空凉舊學黌。幾年承敎誨。隨處奉儀刑。林屋春風暖。江齋夜雪晴。雅言皆學訣。宗旨卽心貞。久阻函筵拜。長緣漳疾嬰。常思陪寂寞。那意隔幽明。皎皎鸞停表。深深馬鬣塋。病跧違執紼。遙望淚縱橫。</text>
<title>次族弟仲章 致相 咏雪韻</title>,<text>滿天飛灑玉龍鱗。千里瑤田一色新。潤入百花根裏去。陽和已動地中春。</text>
<title>與諸友會上仙庵。講近思錄。臨罷聯句。</title>,<text>縹緲雲山裏。聯翩集好朋。泰叟。 古庵憐閴靜。危壁共攀登。濯叟。 躡跡筇餘印。連襟坐欲稜。孟實。 煖仍丹竈火。明借佛龕燈。泰。 積雪通宵白。寒巖對戶層。濯。 尋眞無俗客。識字有高僧。實。 茶鉢分枯淡。竿泉替汲升。泰。 同棲曾有約。幽興自難勝。濯。 冰炭胷中抱。芝蘭席上凝。實。 譚虛嗤衍晏。玩物陋泓藤。泰。 幸得同人助。常思往哲承。濯。 千年閩洛訣。四子階梯仍。實。 輪翼兼修攘。丹靑著戰兢。泰。 析理君先到。硏幾我未能。濯。 妙言迎似刃。微緖貫如繩。實。 往往生怡悅。循循戒躐凌。泰。 絲毛抽古袠。箋註溢行簦。濯。 好聽初平說。要除上蔡矜。實。 奉持龜璧似。臨質鬼神應。泰。 實地須牢腳。要言服膺。濯。 衡山勝事古。興國甚人曾。實。 佳境依俙見。幽懷感慨增。磨礱如不繼。鄙吝易相乘。泰。 春晩陶川瀉。秋深鳳嶽嶒。頻成一榻會。何待尺書憑。濯。 歲暮心期遠。林居信息恒。臨分珍重意。瓊什滿書㬺。實。</text>
<title>仙庵次山人應照律韻留別</title>,<text>寒林疊石鎖仙房。一榻閒披貝葉章。金地夜深風鐸語。諸天雲散雨花芳。烟霞入骨形容凈。甁鉢無塵氣味長。十日淸遊浮世勝。依然臨別意還傷。</text>
<title>用前韻呈金泰叟</title>,<text>一旬攜卷借禪房。愧我徒能擿句章。幸賴前修留簡冊。更從賢友襲蘭芳。千巖月照塵心凈。一榻宵深道氣長。歎息壽翁那復見。摩挲遺躅爲心傷。時同看壽靜齋近思集解增刪。</text>
<title>新塘路上。遇申伯翰 弼欽 赴試。口呼贈別。</title>,<text>江天二月雨。洲渚草色新。東風吹花柳。長道不生塵。相逢塘曲路。一笑開心神。旅館酒味薄。歡樂難具陳。臨分更惆悵。一語贈征人。丈夫竆六籍。行看售奇珍。願言崇令德。貞白無緇磷。</text>
<title>次韻呈霽谷李丈 亨秀</title>,<text>官柳空濛暗烟雨。江郊磔磔春禽語。遙憶東城坐上客。閒攜橘叟斟芳醑。博識淸文霽谷翁。錦膓玉貌神仙侶。老去詩書盈斐几。春來花鳥愁江墅。邇來雙鬢轉蕭颯。人生百年多辛楚。山間隔世音信稀。龎床一拜悲久阻。忽得佳篇到林扃。晴牕展讀開心緖。春風擬訪江上居。登臨勝景天應許。</text>
<title>梅一根送李可一 相敬。用東坡韻奉呈。</title>,<text>寒梅一樹林居村。白玉爲骨冰爲魂。滿天霜月碧山靜。獨有吟病思黃昬。忽憶星湖湖水上。江柳海棠粧幽園。綠水淸淺沙如雪。春烟漠漠春風溫。江山幽夐世豈有。恨無玉蘂明朝暾。一根泥封寄歸使。扶病強出疎籬門。廢書呻吟十日卧。今朝試筆哦七言。他日開花花正好。一笑共歡花下樽。</text>
<title>追次蓬萊禊詩 幷序</title>,<text>蓬萊之山。靈秀奇絶聞天下。吾輩遊屐尙未一到。每夢想神馳。族弟仲車 致任。與其弟仲思，族姪傅立 巖鎭。收聚如干糓苞。以備異日東遊之資。名之曰蓬萊禊。吾輩旣不能驂鸞駕鶴服六氣。與南石安詳之類。遊戲於海山之間。必有車馬之備糗糧之裹然後可至。此禊之所以設也。其從兄上舍仲敎爲歌詩以記之。余亦追送一苞稻共其事。思欲與諸君攜手聯袂。共躡烟霞之表。不幸今年仲敎歿。仙姿雅韻。不可復作。不知已乘雲氣御冷風。先到於海山亭上耶。仲思寄示仲敎歌詩一篇。屬余追和。摩挲陳迹。涕淚橫逬。謹步其韻。以抒存歿悲感之懷云爾。蓬萊出天半。聞道棲羣仙。白髮生兩鬢。無由躡層巓。却羡喜遊客。常掛杖頭錢。遙遙隔雲霞。靑壁難因緣。憶昔吾家老。淸遊迭後先。而我老龍鍾。疾病恒苦纏。怊似荒園鶴。悵望滄海堧。往往淸夢中。玉峯森萬千。諸君有奇尙。意欲竆東埏。仙遊自有術。何必呑汞鉛。輕驂伴鶴飛。片艇凌龍蜒。繼修山陰事。擬躡層雲邊。傷心上舍君。墓草已芊芊。何年訪四仙。與我叩玄鍵。人間二三子。懷戀長懸懸。勸君脂車軸。復爲編馬韉。宿願恐未償。歲月空推遷。區區守一隅。碌碌眞可憐。莫作籠中鳥。絛繫長拘攣。何當脫塵臼。飄飄如蛻蟬。但憶九原人。涕淚長潸然。情懷留簡牘。英爽遊山川。百年托契深。良覿重無便。何心海山路。獨擧雲遊鞭。第幸寄此世。三友俱英賢。願言若絲羅。永與喬松連。</text>
<title>與族姪京老 箕鎭，殷老。奉信庵翁留瓢谷。校壺谷遺集。</title>,<text>追思當日侍函筵。玉色金聲已杳然。猶幸百年餘敎在。古人門路此遺篇。</text>
<title>謹次金雲谷寄贈韻</title>,<text>仙人應授紫河車。一帙堆床養性書。白髮長逾看古氣。紅塵飄不到閒居。江頭樹老先賢里。松下雲深隱士廬。抉石奔泉詩筆壯。衰齡風致更何如。</text>
<title>族曾祖蘆厓先生輓 改葬時</title>,<text>作述門庭大。聯床道義尊。雅言皆典禮。微緖㴑溪源。奬拔天恩重。歸來素履敦。百年承敎化。家塾約規存。</text>
<title>讀好古窩遺稿。次集中蘿隱亭韻。</title>,<text>座上春風十載前。回頭人事若飛烟。因循愧負平生志。水閣秋聲又一年。</text>
<title>次墨洞精舍韻</title>,<text>皓皓平沙逈。澄澄碧水來。江山千古在。人世百年催。舊色看孫竹。餘芳寄老梅。圖書盈一架。重見小亭開。徵君紹正學。餘範及晜來。自樂詩書業。寧憂歲月催。寒聲霜後樹。疎韻雪中梅。努力承餘敎。將看舊緖開。</text>
<title>蔚珍崔君龍壽贈雙竹 壬寅</title>,<text>客從東海來。贈我雙琅玕。遙憶海上山。擢出層雲端。上枝拂銀漢。下枝棲鴛鸞。贈我欲何爲。悠悠歷千巒。一室含淸飈。几席生晝寒。虛中張大樂。觸手聲珊珊。願作鳳鳴簫。一奏神人歡。伶倫去不返。寂寞芳歲闌。</text>
<title>九九衫歌 幷序</title>,<text>丹海申君儒伯 相贇 好學家甚貧。其妻安氏製一衫。悶其陋不敢進。儒伯取見之。片片斑斑。凡八十二片。儒伯欣然服之曰美哉。古有百結先生。吾近之矣。間嘗造壽靜翁。披示而言其事。翁爲作贊以贈之。以其數爲八十二片。閣其一。取九九八十一。命之曰九九衫。儒伯復貽書於余要一言。爲作歌詩一篇。九九衫何人衣。東海申君容貌頎。九九八十有一數。斑斑片片生光輝。或帛或綿或苧或絺。或白或緋黃且緇。方者若矩圓若規。雙或作耦隻成奇。精麤疎密巧補綴。長短廣狹相和比。如雲如霞成雜錯。如花如葉承空虧。又如山水互重疊。又如星宿相拘持。縱橫羅絡渺不竆。交縷等待班陸離。問誰製此申君妻。家貧未嘗憂寒飢。敬恭夫子曾無違。但恨無布製君衣。手把刀尺空歔欷。竆搜箱篋集小片。裁縫不避鄰婦譏。還恐不稱夫子服。製訖未敢懸柂楎。申君取見試提挈。欣然一笑慰愁惙。豈願世人誇文纈。堪比先生衣百結。萬孔千疊備寒燠。不儉不奢兼工拙。美哉此衫眞稱我。但願經年無破裂。嘗造吾家壽靜翁。披衿笑眎仔細說。壽翁忻然爲賞激。呼爲九九嘉名錫。作贊贈君增光彩。君不見龍鱗八十一。願君淵珍養陽德。又不見龜紋成九類。願君因數竆無極。子路不恥狐與貉。長有令名留今昔。願君勉勵堅素節。山中歲暮服無斁。</text>
<title>輓西林金丈 川進</title>,<text>湖學相傳正路明。信同齋下集羣英。家庭自有裘箕善。先進如公尙舊程。蕭然庭院凈莓苔。伴枕盆梅一朶開。塵俗紛紛渾不管。西湖時有故人來。慈良德宇自生春。一拜床前更幾年。惟有西林依舊色。碧桃冬栢悄含烟。</text>
<title>輓俛齋李公 秉運</title>,<text>夫子家中有此孫。宏姿正學接淵源。稟來天地英華氣。生被門庭敎育恩。善類如今瞻泰斗。德音那意斷篪壎。何年更侍春風座。南士儀刑永不存。</text>
<title>雪竹李丈 秉殷 臨訪。將還。用隱矦韻以道別懷。謹次以謝。癸卯</title>,<text>吾生何太癡。妄與古人期。君子有常道。隱顯隨時。天眞懼或喪。戰兢聊自持。床頭書卷在。慰我千歲思。</text>
<title>次金舅氏白雲亭雜詠</title>,<text>嶷嶷羣巒萬古容。淸川一帶自融通。誰知動靜無竆理。只在吾人一寸衷。仁智堂朝旭初升海上山。紅光先射碧闌干。晴牕坐對岐岡翠。鳴鳥如聞縹緲間。朝陽門端方遺蹟照千年。模出銀鉤二字懸。點畫如看存一妙。更知斯學有眞傳。模出退陶先生筆三字揭之。○二樂門洪獻高臺號望雲。古亭臨水亦名云。黃山一枺橫朝雨。和淚霑顔更憶君。洪獻洪原別號。藥峯先生宰洪原時所陟臺。亦名望雲。外王考進士府君墓在黃山。鶴峯先生在此亭。曉起看雲詩。江風吹急雨。和淚更霑顔。○望雲臺雲峯孤峭若飛來。出水芙蓉欲半開。長使烟嵐長畫罨。林亭迢遞已寒厓。芙蓉峯一潭風月浩無邊。光霽胷襟隔幾年。山水名同還可愛。泗川淸與洛波連。風月潭琮琤幽壑瀉寒泉。一鑑澄明更可憐。萬斛塵埃如洗盡。觀書深意似當年。洗心塘古篆奇文鐵索連。蛇龍蟉活映寒淵。長敎正氣留山水。魑魅無由近屋椽。許文正公所書白雲亭三字。○篆額</text>
<title>夜坐溪亭 三首</title>,<text>山月照虛碧。夜凉松露凄。幽軒孤夢罷。淅瀝聽寒溪。宵卧聽羣籟。水閣已秋風。隔水人語靜。明月萬山空。虛亭臨澗曲。四時多佳景。同志二三子。相期共幽境。</text>
<title>與李慕亭。遊廬江夜坐。癸卯</title>,<text>江樓凝雪月。萬境自淸虛。寒水眞心在。廬山往躅餘。幸承三夜話。剛勝十年書。一榻論襟處。芝蘭氣馥如。</text>
<title>梅一根呈上閒郊 甲辰</title>,<text>移送東林一樹梅。千巖留雪已春回。憐渠㓗白馨香德。端合先生宅裏栽。</text>
<title>奉呈族兄叔久 致喬</title>,<text>紛紛塵事欲裒如。自愛孤淸水木居。獨喜溪亭深閉戶。忍飢猶讀紫陽書。</text>
<title>林間早起卽事</title>,<text>叢林滴曉露。淸冷一花明。萬縷朝暉射。枝枝綴水晶。獨坐開竹牖。澹然塵外情。</text>
<title>次伴鶴庵韻。呈友于亭李丈 海鷹。</title>,<text>參差樹色蘸澄潭。伴鶴峯高碧似藍。却愛山名淸不俗。高人於此寄茅庵。秋光迢遞滿江城。碧空凉露澹新晴。寥亮忽得中宵響。兩岸蘆花月正明。雲水千重隔俗緣。翩躚弄影鏡中天。疎梅瘦竹添高格。江上幽棲共老仙。</text>
<title>次信庵丈於山山居十六對 乙巳</title>,<text>門外蒼然百仞岡。鴻濛舊物自羲皇。誰知壽樂無竆理。更驗吾心靜有常。對山山下潺湲一水殘。寒聲日夜繞柴關。到頭自有歸宗處。去作波濤碧海灣。對水天邊相合忽相離。隴上怡吾復在玆。雨散風飄那可恃。靑山惟有不能移。對雲東風吹送晩霏微。花落空山春已歸。一洗枝柯鮮更好。翠篁蒼栢凈相依。對雨金錯貂裘不可求。樵兒熨病更無憂。肩寒未妨如山聳。思在銀空浩莫收。對雪閒把瑤琴理舊音。中宵明月若相尋。淸輝不隔遙天末。坐到參橫費獨吟。對月山園開遍白兼紅。秀色幽香問幾叢。造化精英宜靜玩。簪頭癡走笑兒童。對花露葉烟枝三月時。和飈麗景最相宜。願攜陶邵同吟賞。千載風流倘不衰。對柳直榦凌空老更蒼。淸標六月凜冰霜。坐看百卉俱腓日。虐雪嚴風獨自當。對松歲暮心期有此君。淸風琤戛一牕聞。何年逬地抽新笋。滿眼檀槍簇萬羣。對竹日日逢迎蓽戶開。家貧常歎酒空杯。相從每誦先賢語。更喜山翁杖屨來。對客村童數輩太憨生。挾冊朝來作一行。莫以愚憃弛敎導。猶看愛敬露眞情。對蒙風詠襟懷恨莫傳。步隨流水玩淸漣。不如坐讀經書訓。更把遺篇送暮年。對書虛堂閒坐夜沉沉。挑盡寒燈一炷心。常恨眼花難照字。靜中無語獨端襟。對檠勸客酬朋詎可無。看花賞月助歡娛。麴生獨與貧交絶。坐上枯禪自笑吾。對酒高低剛脆任從便。睡穩宵深卧自堅。但得心神歸宿好。何須夢入十洲天。對枕</text>
<title>廬院齋居。謹次朱夫子白鹿洞韻。</title>,<text>窈窕廬山舍。何年闢道塲。古稱魯多賢。靑衿斐然章。宮墻旣肅淸。絃誦亦恢張。先師儼在上。草樹猶昭光。江樓浩氣中。陟降常洋洋。淸晨奉牲幣。攝齊升黌堂。宇宙如不隔。俛仰何慨慷。遺書示周行。服膺未敢忘。</text>
<title>暮春同諸賢泛舟廬江。遊三笑庵遺址。呼韻共賦。待屋就爲庵中故事。</title>,<text>五老峯前水。扁舟五老同。春波正浩渺。怳若隔鴻濛。倚櫂南岸躋。巖間細逕通。低平一小丘。乃在峯之東。廬阜名最好。曾有釋子宮。我思古之人。陶翁與遠公。三笑風流伴。千秋畫圖中。荒墟猿鳥愁。往蹟雲水空。誰哉更起廢。曠世追高風。張皇修禊事。主盟雲谷翁。詩成屋未就。寂寞山花紅。寓語吾黨士。毋虧一簣功。</text>
<title>八月初吉。會廬院。再次白鹿洞韻。示金泰叟，李元叔 相聖。</title>,<text>士生鄒魯國。從容禮法塲。斤斤二君子。好古能文章。黌樓成邂逅。亦足吾軍張。芰荷子衣姱。璆琳子佩光。抵掌天雲際。千頃波汪洋。把杯忽激昂。歲月何堂堂。肯學燕趙客。悲歌空慨慷。老我賢益友。江湖莫相忘。</text>
<title>正月十九日大雪</title>,<text>白攢遙空千萬峯。野平橋壓斷人蹤。黃昬忽發尋梅興。瑤樹琪林沓幾重。五夜森嚴靜不風。積素凝華萬木中。更待東峯明月上。玲瓏如在水晶宮。</text>
<title>次族弟國輔 致楨 寄韻</title>,<text>眼病昏昏一月餘。新年悲歎守竆廬。欣看霽雪三宵好。更待韶華一氣舒。貧病使君堅志節。林樊容我樂詩書。吾儕閉戶工夫在。不必吟肩聳灞橋。</text>
<title>輓族弟士行 致輅</title>,<text>天道付萬物。夭壽固有命。禍福苦不均。誰復任其柄。嗟嗟我士行。賦質得淸勁。坡翁篤倫義。陰理當福慶。那知秀不實。寃慘弟兄幷。方君遭險艱。萬事日困橫。事親及持家。衆務克擋摒。氣節不摧沮。鋩刃益淬鋥。方直抑人過。衆畏危言諍。孤貧無怙恃。孑孑自峭硬。加布更有室。艱屯獲稍平。遺經討舊業。銳意讀論孟。寒暑不爐扇。宵晝獨誦詠。箋註襍今古。兀兀勤講評。喜從朋友問。亟就有道正。一室有賢師。循循趨謹敬。剖析事理精。宿儒袖手瞠。用工太刻苦。浹洽漸游泳。期君前道闊。百年學賢聖。餘力拾靑紫。庶可鳴國晟。承襲父祖庥。福善理如鏡。愚鈍病不力。常期藉提擎。芳年嬰二豎。使我憂心怲。狂風拂崇蘭。遐期遽竆竟。何處訴悲懟。欲言淚先逬。</text>
<title>渡漢江詠白鳥</title>,<text>白鳥海上來。飛鳴漢江洲。朝泛澄波闊。夕宿芳渚幽。日日津上人。怱怱何所求。伊軋雙櫓聲。往來無停舟。皓皓霜雪羽。翺翔戲中流。旣無稻梁謀。寧有網羅憂。凌風忽一擧。杳杳薄天遊。</text>
<title>賦雲</title>,<text>苒苒孤飛雲。太陽照餘暉。新秋積雨霽。飄颻到王畿。淸晨入九門。宮闕何巍巍。願上白日傍。五色生光輝。願從龍變化。沛澤滋九圍。不願朝市間。須臾幻狗衣。卷舒自隨時。悠然任天機。微風一披拂。還向靑山歸。</text>
<title>訪宗人君獻 萬珪</title>,<text>路入山腰芳草斜。孤村遙在小溪涯。茅簷晝靜書堪讀。稻壠秋深酒易賖。懶使園丁收棗栗。閒邀社伴管烟霞。霜風忽助林間興。楓葉酣紅菊吐華。</text>
<title>康陵參奉李禮叟 儒膺 來訪</title>,<text>淸秋抱疾守空齋。十日沉吟意不開。賴有鄰官人似玉。時時林外小車來。</text>
<title>直中病卧</title>,<text>萬樹蘆原裏。三更一枕高。開牕迎桂魄。隱几聽松濤。病久身心懶。鄕遙夢想勞。平生忠孝願。鬢上已霜毛。</text>
<title>直中鄕思</title>,<text>蘆原山色鬱岧嶤。十日淸齋鎖寂寥。路繞七陵紅樹合。峯高三角白雲遙。西風鴈去秋橫塞。東郭人歸月滿橋。叵耐家鄕千里隔。愁思日夜鬢蕭蕭。</text>
<title>詠庭前殘菊</title>,<text>爲問庭前隱逸花。如何憔悴傍寒査。殘叢尙耐風霜重。苦節淸芬詎有瑕。</text>
<title>夜坐</title>,<text>歸鴻嘹嘎下天端。落木蕭蕭暮色寒。鄕思撩人眠不得。深宵隨月倚欄干。</text>
<title>約李禮叟同遊佛巖。値雨停行。以二詩送呈。</title>,<text>仙僚曾約佛山遊。雲壁巖泉夢想悠。無端昨夜寒天雨。千古風流一笑休。更約良辰辦勝遊。碧巖回首意悠悠。病慵尙有層雲興。不到峯頭未擬休。</text>
<title>泮村卽事</title>,<text>閉戶深坊遠市聲。東山秋色澹初晴。輪蹄暫歇靑門靜。几席新排白室淸。半世優游安素履。明時徵辟愧虛名。只愁舊學還成怠。隨處存心勉一誠。</text>
