<title>詠月 壬子</title>,<text>月出扶桑東。淸光四海同。長風吹不盡。頃刻到天中。</text>
<title>同稚五和金侍郞散人歌</title>,<text>三日無官稱散人。龍湖學士非散人。漫將物外閑放名。蹔綰淸朝宰相身。松湖學士自道眞散人。寄跡林臯混樵薪。彼湖之曲佳可棲。其水淸漪山嶙峋。有時罷釣仍高枕。樹影滿衣花覆巾。行藏却似雲卷舒。一朝于于渡漢津。龍湖散人紫綬何若若。松湖散人朱轂何轔轔。若問散人同不同。十日元來是一旬。來時金帶玉陛趍。去卽葛巾茅簷廵。譬如八珍羅方丈。淸味欲兼千里蓴。故人撫掌笑散人。胡爲屑屑於風塵。咸關刺史遠莫聞。錦茵銀燭方酣淪。侍郞淸詩獨自解。解道在野多在闉。我有一段和事語。散人非假亦非眞。但論其心勿論跡。何殊達官與閑民。佩玉猶存枯木心。散樗非關桃李春。第五驃騎不須辨。巿朝山林隨處可怡神。但恐兩公未必然。強以豪富誇淸貧。愧我初無散人號。歸夢漫繞淸潁濱。</text>
<title>和金侍郞會元倦牛歌</title>,<text>君不見巢父之牛閑不鞿。放在箕岑春草之芳菲。又不見老農之牛勞不休。日耕十畒田膏肥。彼何牛兮松湖濆。一日在閑三日卧雲。牧人麾肱倦不應。重如景升之犍逾千斤。鳴鳩拂羽杏花白。上田下田蓻黍稷。暫欲服箱還謝軛。不肯盡力耕澤澤。主人恩重不施鞭。豢養不惜日千錢。芻粟以飽腹。優游以終年。黃金絡其鼻。白玉粧其轡。牛乎爾胡怠其事。不念主人之厚飼。祗應服力禾稼塲。終不放爾桃林鄕。鳴呼倦牛之歌歌有思。看君何以答聖王。</text>
<title>次稚五韻。寄三陟李使君伯訥 敏輔。</title>,<text>一盞遙飛賀峽川。竹樓今得主人賢。歸裝不用欝林石。自有新詩三百篇。</text>
<title>臘月夜大風雪。以牎外正風雪擁爐開酒缸。爲韻賦詩。</title>,<text>冬律偸春暖。層冰渙大江。却疑靑帝令。早受玄冥降。同雲忽陰霏。朔風金石摐。斯須六出飄。寒意逼軒牎。三冬始一白。幾欲吠村狵。年豊喜有兆。差可慰憂邦。其二掩戶政癡坐。寒宵靜萬籟。壁暈踈燈耿。爐裊殘香馤。空庭知雪下。暗響生簷外。應嫌九陌塵。故將瓊屑盖。寒沁酒肺醒。淸與詩魂會。煎茶評古今。勝事果誰最。其三朝端積憂畏。動息多機穽。浮沉困木石。勞苦損情性。流光倐已暮。素髮生明鏡。歸田計難諧。求外力不競。低頭類被縛。有懷蹙靡騁。何由齊古人。出處皆得正。其四少小讀古書。耿介希高風。欲追天民軌。羞爲詭遇功。風期坐晼晩。鳳棲老梧桐。十載長安陌。擾擾如夢中。北風撼庭樹。歲律已云窮。孤燈集百慮。漫搔雙鬢蓬。其五夜氣自虗明。雪色元皎潔。平塡岸谷合。孰云世界缺。依然子會前。玄黃混太一。對之六根凈。廓然纖埃絶。方知本體明。胡爲塵慮汨。莫遣春草生。更侵未消雪。其六神仙諒難遇。瑤草豈有種。功名亦在天。靑雲力難捧。流年不可繫。外物不足重。五十愧無聞。樗櫟徒散冗。狂瀾力未回。急流退宜勇。茅屋故山在。歸歟殘書擁。其七朱門五侯家。獸炭煖金爐。美人朱顔酡。歌舞花𣰽毺。誰念咫尺地。凍骨橫道途。杜陵老布衣。破屋風雨呼。廣廈千萬間。猶思庇寒儒。安得起此人。共講憂民謨。其八何處見天心。微陽寄芳梅。深宵小閤裡。一枝已早開。積雪漫天白。莫遏春意回。有開必有先。此理何妙哉。龍門啓唐治。金華培明才。東君倘策功。素萼應爲魁。其九余本未解飮。杯觴不到手。獨宿書齋夜。風雪滿虛牖。重衾冷似鐵。起坐強斟酒。陽和片時回。寒威復何有。仍思同胞類。得無凍餒否。那將此樽醪。八域霑黎首。其十孤琴寄幽韻。泠泠多古腔。一彈松風寒。再彈流水淙。世人好俗樂。桑濮方喧哤。希音識者誰。抱歸獨掩窓。窮陰逼歲除。風力凍酒缸。欲作陽春曲。恨無筆如杠。</text>
<title>寓居豆湖。次兒輩韻。辛卯</title>,<text>多少樓㙜帶夕暉。水光山色捴依依。迷途擿埴眞無策。江曲棲遅不是歸。別浦春深雲氣暖。孤村月上樹陰稀。苔庭客去柴門靜。數卷殘書一枕圍。</text>
<title>次主人趙寅瑞  所示詩韻</title>,<text>漫成詩句漫評之。得失如今不問其。醉後狂吟聊自樂。苦思何用賦之而。其二行藏隨分且安之。毁譽紛紛任彼其。高卧東湖無一事。紅塵消息孰聞而。</text>
<title>楊根道中</title>,<text>江水江雲送客長。龍門回首隔迷茫。車霑豆葉垂垂雨。衣濕蕎花漠漠香。漸近峽來多亂石。稍知秋近聽寒螿。堪憐遠樹踈烟外。隱隱茅茨幾處藏。</text>
<title>蓬萊閣。次板上韻。</title>,<text>踈林淸水辟輕埃。飛閣依然畫裡開。瑤草烟深迷碧島。彩舟風定見銀㙜。雲霞落日光浮檻。星月三更影倒盃。若使眞仙看此境。應驚鰲背失蓬萊。其二圓沼空明不受埃。小舟過處綠萍開。佳人挾瑟花圍席。客子吹簫月滿㙜。藥塢秋生凉入枕。柳橋風動碧侵盃。仙區更覺君恩重。愧乏神丹濟草萊。</text>
<title>擁衾聽春雨。孤燈一點靑。吾兒行漸近。何處宿長亭。放翁待子詩也。金剛道中。送仲兒觀叢石。曉枕聽雨。思此詩。步韻以寄。</title>,<text>暮壁雲生白。晨峰雨洗靑。吾兒行漸遠。何日看名亭。</text>
<title>十月十九日夜風雪。和放翁韻。</title>,<text>發發風鳴樹。瀌瀌雪覆廬。寒天十月半。孤燭二更餘。文武仙方遠。唐虞素計虛。兒曹滯京邸。遙念欲愁余。</text>
<title>夜坐</title>,<text>畫角殊方感。高樓故國心。更殘惟短燭。月落且孤斟。蠻觸無時靖。江湖有夢尋。簷鷄同不寐。咿喔伴寒吟。</text>
<title>步三陟舊倅李伯訥前贈韻。仍以爲贐。</title>,<text>相逢歲暮共殊鄕。誰料君先返洛陽。三逕聊尋彭澤駕。千詩堪富欝林裝。高樓飛雪仙緣冷。大嶺歸雲客夢長。携手丘園存晩約。一眠吾已寤黃粱。其二仙吏初辭山水鄕。竹樓無主自斜陽。惟餘彩舫風流躅。剩伴梅花冷淡裝。靑眼相看官燭短。淸歌不斷夜籌長。翩然歸袖渾無累。堪羡冥鴻謝稻粱。</text>
<title>卽席。又次伯訥寄贈韻。</title>,<text>雪棧歸程是別茵。醉中無復長官嗔。辭來珠館仍衡宇。解去銅章自故人。絃管調高霜氣逼。盃樽影錯月華繽。武陵山水猶餘戀。定把新詩詑衆賓。其二蓬萊仙館不愁寒。秉燭淸宵盡意歡。末路逢人知己少。異鄕爲客送君難。霏微雪色侵歌席。依約梅花傍舞欄。去後風流何處見。凌波一曲寄雲鬟。</text>
<title>更次六言韻</title>,<text>同來異鄕爲客。今日翻成送人。難耐離亭分手。莫辭盃酒入唇。其二竹樓幾年傲吏。蓬閣今日歸人。輕裝惟伴素鶴。離情應繫朱唇。</text>
<title>又次六言</title>,<text>借問雪嶺歸客。曾是仙樓主人。緇塵不染衣袂。丹霞尙帶頰唇。其二紛紛絲竹留客。依依雲樹別人。新詩難敵應口。細酌不妨霑唇。其三漸遠嶺路如夢。好還春色伴人。且看溪花澗柳。何似舞腰歌唇。其四冥擿已過半世。行藏敢擬古人。惟有吾心信道。一任時輩饒唇。</text>
<title>梅花</title>,<text>蓬萊歲晏旅愁新。賴有寒梅似許親。澗卧幽人雲滿袖。巖棲仙子雪渾身。淸霜洗出踈踈影。落月傳來淡淡神。詞客紛紛休品藻。恐君筆下着纖塵。其二瓊霞爲佩玉爲裳。獨立西廂冷澹粧。客去踈簾纔有影。夢回孤枕始聞香。燈前一笑襟相照。月底無言意更長。憑仗先天眞氣在。韶華詎肎借東皇。其三蘂珠宮裡剪瑤英。便作南枝雪後榮。玉貌向人如有恨。氷魂立月若爲情。孤標逼硯詩應瘦。寒影橫窓夢亦淸。徙倚欄干看未足。莫敎羗笛弄三聲。其四琴書一室凈無塵。惹得梅香數朶新。氣味溫如知己士。精神淸對洗心人。關山暮雪猶爲客。天地窮陰獨有春。酌酒酹花仍自飮。陶然渾與太初隣。其五嚴風急雪氣方驕。破臘梅花不寂寥。剪取月華粧玉蘂。勾回春色上瓊條。長生仙骨無寒暑。太極玄機有長消。香界芳盟應爾主。滿園桃李合來朝。</text>
<title>梅花用東坡韻 壬辰</title>,<text>凍雲朔雪迷江村。誰遣瑤宮喚月魂。縞衣芬馥排玄律。玉佩的歷回黃昏。苦節肎爲桃李顔。天寒獨立荒山園。絶俗孤標元冷澹。飮人和氣猶淸溫。雪艶偏含上界香。氷心不干春陽暾。歲暮愁與病相仍。殊方寂寂空關門。爲憐仙葩不世情。永夜相對渾忘言。酒醒人散成幽獨。惟有淸香襲空樽。</text>
<title>次放翁梅花絶句</title>,<text>淸晨相對雪霜顔。仙子疑從姑射山。若箇高標堪比傡。巢由猶是世人間。其二長安走馬憶春遊。花壓朱欄柳暎樓。今日江村梅數樹。淡雲微月爲誰愁。其三瘦杖扶吾向小㙜。爲憐孤月伴寒梅。國香獨擅無花界。從道如今却晩開。程子曰。世以梅花爲早實。則花之最晩者。直到如今始開尒。</text>
<title>和伯訥 癸巳</title>,<text>公齋懷友月侵除。臈盡東城未見書。孤夢初回殘角後。淸詩忽到落梅餘。烟霞仙窟應多戀。波浪西江久未紓。遙贈一壺元有意。時時莫遣酒杯踈。</text>
<title>仙遊潭</title>,<text>翛然魚鳥便相親。咫尺郵程不染塵。恰似洛陽車馬地。閉門深巷有高人。</text>
<title>遆職後。須代久未歸。見薔薇花開。戱賦一絶。</title>,<text>好趁東城柳絮飛。到家應始換春衣。蓬萊仙子偏相惱。開盡薔薇未遣歸。</text>
<title>金原州 魯 挽</title>,<text>蓬閣三年始得公。蔚然才識古人風。鯤鵬未借扶搖力。杞梓虗拋廈屋功。淸士襟期朱墨裡。大州治化笑談中。高車駟馬多傾覆。吏隱平生詎是窮。其二仙區淸賞每相隨。江漢風流亦一時。別浦觀魚春水暖。高樓對酌夕陽遅。如雲乍散心猶結。似露俄晞夢豈知。伏枕三庚人事絶。白門㫌翣望中悲。</text>
<title>受暇作楸行。途中作。甲午</title>,<text>昨夜微風綻小桃。上城初旭照征袍。靑山雨洗精神出。春水舟行氣勢高。倚杖已非前日健。揷花猶作少年豪。石田茅屋眞吾分。驅犢何時度晩臯。</text>
<title>長生殿裡作屛風 御題應製</title>,<text>玉陛風雲動。金屛列宿明。開邊天子意。生面將臣榮。尙識橫戈氣。應深聽皷情。麒麟數幅畫。褒鄂幾人名。訪閣鑾輿返。傳神錦障成。七分摸颯爽。八疊儼豪英。舒卷神威動。開張塞氛晴。瓊樓增氣色。環列捴干城。榮邁旂常錄。勳酬海岱淸。封狼多少思。時向畫中生。</text>
<title>途中重陽</title>,<text>千林染盡夜來霜。松嶽秋雲馬首長。黃菊向人如有意。始知今日是重陽。</text>
<title>海西途中</title>,<text>古驛臨官道。時秋景物佳。楓光上客衣。樹影帶人家。牛輸石田粟。馬啣山菊花。昔我年弱冠。匹馬趨西衙。秋熟黃州野。禾黍茫無涯。欣然與神會。奇意欲凌霞。歲月水流急。哀樂鬢已皤。宿志竟無成。浮榮安足誇。山川欝滿目。往事感物華。旅夢雲片遠。秋思月明多。何當歸故林。偃仰叢桂阿。</text>
<title>宿練光亭</title>,<text>東明故國半斜暉。浿水秋波綠染衣。粉堞不禁孤鴈度。朱樓欲共暮雲飛。千年事往灘聲在。九月霜寒葉影稀。三宿練亭成十載。滿汀烟樹捴依依。</text>
<title>月波樓</title>,<text>西土無奇勝。黃埃厭客遊。若無今夜月。應失此高樓。寒水光相亂。危簷影共流。何須較浮碧。隨興且遅留。</text>
<title>淸凉寓中。謝金穉五，申子壽大䄵。聯訪。乙未</title>,<text>忽有聯騎訪。眞成倒屣迎。入簾池色凈。參坐樹陰淸。閑處慙眞隱。窮時見故情。西隣問舍計。無負白蓮盟。</text>
<title>英宗大王挽章 丙申○遭艱未及呈</title>,<text>休明一德協堯仁。立極初年傡甲辰。氣轉東方新厥命。天生聖主爲斯民。八埏化洽康衢月。五紀治融瑞莢春。窮谷深山皆若喪。人情可見古今均。其二於戱至德永難諼。萬化皆從百行源。至養東朝誠不匱。明禋太室事如存。追先褕翟溫陵復。溯本銀潢慶廟尊。誕節年年蓼莪誦。山龍常帶淚沾痕。其三文謨武烈並光前。赫怒洪恩兩不偏。掃祲神戈寰宇廓。昭奸寶鑑日星懸。弛張霜露無非敎。品物陶甄捴是天。反側潛消皇極化。泰盤洪業永千年。其四春秋家法感宸忱。左海彜倫免陸沈。敬閣新擎恩誥逈。報壇增築禁園深。天雲地水三皇眷。北極東流萬世心。碩果生陽徵至理。他時復雪定由今。其五風雨尋常亦管情。廈氊恒若對蒼生。貧丁蔀屋蠲庸役。寒女村機罷縷征。玉食旰來如保子。彩眉嚬處爲呼庚。須看宸翰連箱篋。半是溫綸泣寡㷀。其六勤儉皆從學問來。暮年經幄憶叨陪。鷄人未唱龍袍整。晝對纔回夜講催。三澣遠過唐帝服。百金寧擬漢文㙜。共嗟集慶堂中席。弊盡年年自起埃。其七西樓盛事繼先休。寶曆相承百載周。乾健神功孚紫極。月恒休頌溢靑丘。文王受命添三籥。孔聖從心過十籌。指日公堂斟北斗。誰知仙馭奄眞遊。其八天眷吾東錫類長。四方齊頌日重光。無憂丙枕貽謨遠。代務春宮繼運昌。授受寧資承弼力。孝慈交致洽熙祥。揚音玉几羣情晏。益仰宏猷出百王。其九臣祖曾紆特達知。元年異渥禮招時。榮深篋藁劖文梓。寵荷宸章錫酹巵。延世空慙恩海岳。許身曾未效毫絲。此生餘日長齎恨。忍抱遺弓泣九疑。</text>
<title>鄕居卽事 己亥</title>,<text>老不耕耘懶廢書。漫餘雙鬢雪紛如。苔磯偶動投竿興。水漲前溪欲上魚。其二田園物色雨餘嘉。秫葉離離菊葉多。兒女相呼傳喜報。階前新發鳳仙花。其三密葉飜風疑虎過。踈星穿樹似螢火。小軒夜久生微凉。卧聽梧桐淸露墮。其四學飛雛燕茅簷外。得意流鸎柳影中。午睡醒來無客到。薔薇香滿一簾風。其五數叢踈菊傍東籬。一任空庭百草欺。直待秋風搖落後。主人方識傲霜枝。其六曳杖荒庭細雨晴。讀書深院晩風輕。溪翁已去山僮睡。惟有蟬聲滿樹淸。</text>
<title>庭前銀杏樹 辛丑</title>,<text>童童靑盖擁衡門。十畒濃陰午未分。楚樹大年傳一脉。孔壇千載襲遺芬。雲歸不蔽凌霄氣。鳳宿應知滿腹文。先澤今踰三世久。來孫敢忘角弓云。</text>
<title>春日卽事</title>,<text>數掩踈籬小澗陰。倦筇徐步綠苔深。林端花葉形天意。寂裡圖書發道心。千嶂自迷雲雨態。衆禽相和短長吟。荊公枉費驚猜念。一壑元無車馬音。王荊公詩。我亦晩來專一壑。每逢車馬便驚猜。</text>
<title>春晝 壬寅</title>,<text>茅齋春晝正遅遅。物色空庭日日奇。苦竹頻抽含露笋。薔薇先發向陽枝。入簾山氣朝醒得。遶枕泉聲曉夢知。拋却殘書仍獨卧。綠楊影裡聽黃鸝。</text>
<title>偶成</title>,<text>生成至理各因材。造化何曾物物裁。一㨾薔薇一夜雨。已開花落未開開。</text>
<title>夏日</title>,<text>半嶺晴雲媚晝暉。石榴花影透踈幃。靑蒲水暖魚知樂。垂柳樓高燕習飛。靜覺天機元滾滾。閒看物態捴依依。瑤琴欲奏仍藏匣。古調峩洋識者希。其二老樹空庭綠蔭重。起看簾外月溶溶。風來峽口初疑雨。星湧峰頭乍似烽。身在深山方友鹿。心如舊水尙藏龍。高齋盡日無塵事。惟有禽聲答暮舂。</text>
<title>卽事</title>,<text>麥穗微黃桐葉舒。荒庭無客草侵除。簷前燕子頻來語。似與幽人和讀書。其二鵲乳鳩鳴村晝長。栗花開盡尙愆陽。隣童昏黑相呼喚。去汲前泉共灌秧。農家以栗花盛開。爲移秧之候。其三荷花荷葉傡氛氳。池水無風不起紋。苦熱方知今夜最。蟬聲處處月中聞。日熱甚則蟬夜鳴。</text>
<title>驟雨行</title>,<text>樹影曈曈近亭午。火傘當空烈熖吐。乍聞踈林微有響。遽見疾飈來撼戶。輕烟先走亂雲馳。百草紛紛拜且舞。屛翳一陣從天降。小點如箭大如斧。鉅鹿聲酣楚伯戰。虎豹股栗昆陽鼓。逐却炎官誅旱魃。四野狂流汨平土。無乃卧龍初放起。上控瑤皇决銀浦。霹靂一聲揮電斧。擊碎水南千尺樹。須臾雨霽還太虗。斂却神功如不雨。但見雙虹繞雲際。新闢天門絢采五。四顧百里澄如洗。山川草木渾改覩。吁嗟造化之用神怪眞莫測。但願五穀穰穰汚邪與甌窶。</text>
<title>初秋夜</title>,<text>露下空庭梧葉垂。踈螢明滅度書帷。東峰一氣澄如水。知是氷輪欲上時。</text>
<title>秋思</title>,<text>梧几蒲團一病翁。藥爐經卷伴西東。雲鴻過去靑春樂。蕉鹿依俙白首工。籬菊不知曉霜重。岸楓偏領夕陽紅。憑軒忽覺微吟發。詩在踈林淡靄中。</text>
<title>秋日</title>,<text>隣童摘栗紅盈袖。村女戴禾黃滿頭。睡起幽人無箇事。爲看楓葉更登樓。其二山色和烟蔭半樓。一竿斜日上簾鉤。秋深萬樹皆成錦。猶勝浮生雪滿頭。</text>
<title>雪</title>,<text>春蘂濃粧秋葉醺。一番天意厭繁文。渾然太素籠三界。綠樹靑山了不分。</text>
<title>秋懷 癸卯</title>,<text>伊來衰與懶俱增。數墨抽黃捴未能。半夜秋聲生遠樹。十年身計伴孤燈。追思往事皆成錯。欲理新工正鏤冰。堪笑壯心猶不盡。中宵一夢自飛騰。</text>
<title>秋暮偶吟</title>,<text>楓林隱隱兩三家。半縷輕烟隔水斜。霜染秋光裁錦葉。月分淸影與黃花。峩洋舊契靑山在。致澤初心白髮多。案有書經朝暮讀。唐虞世界未云遐。</text>
<title>寄隣居正陽再從叔季達 致和 氏</title>,<text>茶鐺藥笈鎭隨傍。水竹幽居隔莽蒼。遙認小牎殘雪夜。梅花閑落讀書床。</text>
<title>季達叔疊次床字韻。詠梅以示。玆又和呈。甲辰</title>,<text>半夜幽香在枕傍。月斜踈影共蒼蒼。氷霜標格無人擬。豈但元龍上下床。</text>
<title>次三從弟公翊 鍾翼 所示床字韻</title>,<text>數曲踈籬老樹傍。不禁山色一簾蒼。年來漸長花溪懶。閒却窓間點易床。其二嶺月迢迢照屋傍。竹陰如畫向人蒼。春回氷澤魚龍動。昨夜風雷撼一床。</text>
<title>和季達叔期字韻</title>,<text>隔林雲影正披離。霜竹風松動曉思。石徑休辭携短策。淸宵已與月輪期。</text>
<title>和季達叔上元韻</title>,<text>人間春色至。天上月輪開。猶有少年興。喜看佳節來。和風稍動柳。殘雪半疑梅。淸夜眞堪惜。晨鷄莫遽催。昨日是立春故首句云</text>
<title>和季達叔詠春韻</title>,<text>簷角條風已報春。元宵物色一番新。冰霜氣轉星將鳥。河漢天淸月近人。自有芳隣同樂意。好憑詩句答佳辰。端居獨抱蒼生念。願借陽和八域均。</text>
<title>和季達叔春雨韻</title>,<text>霡霂連宵雨。潛催百草生。雪厓纔變色。冰澗已新聲。膏澤欣蘇槁。來年佇受明。行看花事遍。雲錦爛成城。</text>
<title>又和季達叔覆示春雨韻</title>,<text>霏霏暎空細。點點喚春生。遠峀迷茫色。虛簷滴瀝聲。乍和晨霧闇。旋放夕陽明。霽後猶淸景。餘霞碧作城。</text>
<title>又和季達叔追示上元韻</title>,<text>老樹柴門忽報春。春光更與月華新。已知萬物同欣意。且作淸時自在人。文史一床消永日。絃歌幾處樂名辰。宵來好雨占豊兆。佇見黃雲四野均。</text>
<title>來詩以春雨韻。作春寒詩。依意和呈。</title>,<text>忽作大冬候。那知春意生。艶陽正佳節。觱發復寒聲。雪壓遙山色。花遅獨樹明。東隣尙淸興。排凍有詩城。</text>
<title>反前詩意更呈</title>,<text>詎容一寒久。自有三陽生。積雪雖含凍。條風已奏聲。苔庭梅欲動。竹牖日舒明。且蓄錦囊興。共看花滿城。</text>
<title>昨夜風雨大作。達宵不能寐。朝來隣叔惠詩忽至。甚慰我思。忘拙步呈。</title>,<text>政待陽和徧。飜看風雨生。東君行夏令。正月發雷聲。老樹喧終夜。虛簷注到明。天機杳難測。獨立望春城。其二天氣連朝變。詩情並日生。雪餘飜雨色。氷底忽溪聲。節序春將半。行藏鬢已明。中宵瞻北斗。何處五雲城。</text>
<title>漫題梅花上元詩軸末。更呈正陽。</title>,<text>花開殘臘月圓春。月色花香相與新。山閣全踈索笑客。洛橋無限玩輝人。誰憐玉雪橫斜影。競醉笙歌爛漫辰。塵俗自分濃淡態。不知淸意一般均。</text>
<title>又和正陽韻</title>,<text>不負正陽號。朝輝滿小園。雲霞生戶砌。梅柳半籬藩。已覺塵心凈。猶餘詩興繁。庭花行欲發。留約共淸樽。</text>
<title>次白雲寺韻。奉呈正陽。</title>,<text>相看不厭是靑山。叢桂淸陰耐可攀。壯志妄期姚姒際。晩緣聊寄簡篇間。松杉曉壑雲霞滿。杞菊春畦日月閑。最喜東鄰情話處。一筇時與暮禽還。</text>
<title>春寒不解。花事杳然。忽見庭畔茱萸花欲半開。喜甚詩以識之。仍呈正陽。</title>,<text>未信天時是艶陽。漫餘冰雪鎖羣芳。茱萸忽報春消息。點綴踈英透半黃。</text>
<title>茱萸旣欲花。溪上楊柳想亦生色。詩以問之。</title>,<text>寂裡潛回草木心。不關風雪滿前林。應知南澗垂垂柳。萬縷烟絲半帶金。</text>
<title>夕間孤坐。漫成一律。奉呈正陽。</title>,<text>林雪初消後。沙村薄暮時。長風驅壑遠。孤月上樓遅。倦興猶藜杖。詩情更柳絲。無人共閑境。淸露滿庭垂。</text>
<title>又和季達叔</title>,<text>千花消息杳靑陽。一樹茱萸占早芳。積雪埋春埋不得。春光已着數枝黃。其二新詩爲問柳生心。報道輕黃不染林。無乃關西楊伯起。淸標辭却夜來金。</text>
<title>追和正陽踏靑日送示韻</title>,<text>短短庭梅欲發時。芳洲草嫩日遅遅。佳辰不覺閒中過。春意偏從靜處知。窺戶山禽頻好語。向人堤柳捴輕枝。洛濱勝事今難繼。漫咏香山十韻詩。白香山有上巳洛濱勝遊十二韻詩故云。</text>
<title>和正陽子待糶闕食詩韻</title>,<text>林居物色晩春占。山杏花殘澗柳纖。官糶遅來僮倚戶。厨烟不起鳥喧簷。飢猶子美長貧任。詩爲淵明乞食添。裡良金人莫識。帝城榮祿果誰霑。</text>
<title>走次正陽喜雨詩</title>,<text>東菑方苦暵。甘澍乃知時。田祖祈何待。湯師來不遅。雷喧纔注玉。風散忽飛絲。密霧看猶濕。虛簷佇更垂。</text>
<title>和正陽韻</title>,<text>春光偏在傍山家。雲樹仙源也不過。布穀纔休聞谷鳥。杜鵑初謝見桃花。天機滾滾閒中覺。物態紛紛變處多。漫興翛然成散步。平林如畫暮烟斜。其二山色相隨野老家。白雲流水互經過。因聽鸎語頻依樹。爲惜春光不掃花。本謂詩成消日易。更緣思苦惱人多。緩携藜杖出門去。垂柳新陰一字斜。</text>
<title>春晩偶興</title>,<text>小院深深樹影淸。一簾微颺夕風輕。侵階草長看春暮。繞屋花開覺夜明。狂興不隨霜鬢减。詩情猶逐月華生。書窓乍撼瞢騰睡。知是溪聲是雨聲。</text>
<title>邇來頗負詩債。午枕睡餘。隨意拈韻。或步來詩。得近體五首。呈正陽。</title>,<text>送客松扉曳杖行。遙村隔水暮烟生。孤花樹密殘星點。圓沼庭空片月明。閒事自忙緣種藥。詩情乍動爲聞鸎。春歸景物猶無盡。麥穗新抽杏子成。其二林居物色幾年更。澗樹山雲識我情。經籍自娛甘忘老。漁樵相混好藏名。閒窓竹影如人瘦。曉枕鸎聲和夢淸。落盡庭花詩亦廢。海棠枝下忽吟成。其三流水柴門一逕斜。遠山如畫白雲多。林深鳥語和微雨。院靜書聲度落花。半世行藏迷霽潦。暮年蹤跡寄桑麻。閒中漫續靑春詠。句裡光陰問幾過。頷聯是少時所得。居然爲數十年前事矣。其四忘機鷗鷺自無猜。野服翛然日陟㙜。鸎語似能留客久。薇花直欲挽春回。踈簾不動知風定。遠峀微生識霧開。惟有閒中一事閙。東隣詩債每相催。其五柴門倚杖望遙天。五老峰前一帶烟。綠樹孤村渾寂寂。夕陽飛鷺更翩翩。人歸草色溪聲外。詩在花殘麥秀邊。賴有淸談超俗累。能令終日破昏眠。</text>
<title>雨餘漫吟</title>,<text>雨過溪庭半水聲。竹風槐露作新晴。鳶魚上下同流意。簾几湖山自得情。晩趣惟存無說法。閒吟非爲不平鳴。畦丁解報芳蔬信。土潤宵來長綠莖。</text>
<title>夏景</title>,<text>柴扉半掩綠苔深。水色山光揔不禁。燕子樓高風細細。栗花村靜樹陰陰。荷池蕩漾催花意。雲峽冥濛欲雨心。爲愛微凉仍久坐。一輪明月湧靑岑。</text>
<title>閒居</title>,<text>野蔓懸籬草擁廬。澹沱天氣麥秋初。踈烟半樹鳥和語。微雨一簾人讀書。松菊自成元亮趣。寂寥誰比子雲居。年來養得心源靜。不逐閒雲漫卷舒。</text>
<title>大雨</title>,<text>媧皇石破漏天驚。撼屋獰雷劃一聲。四野全沈雲似㓒。千林不動雨如傾。依微淸濁渾淪際。怳惚魚龍變化情。乍覺胷中吐壯氣。起來醉筆自縱橫。</text>
<title>雨晴</title>,<text>積雨頑雲迷四坰。神機闔闢使人驚。茫茫后土無乾日。肅肅朝陽放夬晴。出霧脩眉山競秀。牽風綠綺稻初平。暎階樹色林蟬響。共作詩家一段淸。其二忽有凉風天際生。林禽相與賀晨晴。捲簾古峽猶雲氣。倚枕虛堂半水聲。小釀初開蓮葉凈。新詩欲就竹陰淸。江湖憂樂休相問。長對靑山百慮輕。</text>
<title>深春 乙巳</title>,<text>雨歇平林破宿陰。滿簾山翠滴衣襟。春深萬樹皆花意。風暖千禽盡好音。峽裡自消塵世累。卷中時見古人心。閒情欲瀉無絃曲。澗水松聲是我琴。</text>
<title>庭前一萱草。歷夏及秋。花事相續。至九月望間。又新開一朶。尤可奇也。詩以記之。</title>,<text>豔質偏乘九月凉。嫣然一朶照高堂。朱明去後留和氣。靑女來時發晩香。自詑韶華元不老。却羞叢菊始開黃。若非天借忘憂物。那得孤芳耐許長。萱草一名忘憂。</text>
<title>冬至前一日大雪。入夜乃止。曉赴問安班。聖上興感亞歲。展拜璿源殿及景慕宮。在班者皆祗迎於仁政門外。罷退後。以詩記之。</title>,<text>昕庭雪後問安纔。院吏傳呼侍衛催。玉殿雲開鑾駕出。瓊林花繞大旗回。羹墻聖慕良辰切。天地潛陽七日來。滿袖香烟歸去晩。馬蹄多少撒銀杯。</text>
<title>次衡菴申有道韻 丙辰</title>,<text>茅齋殊靜閴。朝晝問何爲。秘鍵窺羲易。沈工下董帷。英華終遜子。長大未閑詩。拙詠被牽率。心慚強不知。其二日有山居事。未爲無所爲。瞑松寒作籟。曉雪白生帷。几靜心遊古。神淸夢得詩。聊將箇中趣。說與故人知。</text>
<title>又次</title>,<text>讀書南牖下。此外更何爲。雪壯長埋嶽。雲輕故撲帷幽閑誰與語。景物自成詩。昨夜陽生意。寒梅已暗知。</text>
<title>寄衡菴</title>,<text>離索西河恨。寥寥掩蓽門。休耽詩句癖。且味聖賢言。雪嶽寒容屹。風林晩響繁。懷人坐惆悵。巖月上黃昏。其二暮聲生古木。山影入紫門。過麝聞香韻。雕虫強拙言。牙籤一室富。霰雪季冬繁。安得奉良晤。快祛鄙吝昏。</text>
<title>次衡菴扉字韻 丁巳</title>,<text>夜色掛寒樹。天河宿竹扉。孤琴春共語。雙鴈月同歸。漸覺詩篇細。還驚景物肥。老槐誰種植。今直大三圍。宿一作入</text>
