<title>曉坐次屛上韻 十四歲作○戊子</title>,<text>鷄聲處處起。曉色分遠樹。片月半銜城。春雲忽欲雨。</text>
<title>金菱溪錫汝示詠物近體三十首。要余和之。而韻用自東至咸。每首句押本韻。又不用題字以爲令。遂於久廢之餘。强步以塞勤索之意。</title>,<text>春光莫惜過城東。霜落千林一夜紅。肯伴綠楊爭裊娜。晩隣黃菊作玲瓏。勝花佳色誇靑女。剪綵神功擅化翁。妝得山容無限好。幽人偏愛九秋風。右楓蒼然正色度玄冬。特立偏依萬仞峰。好傲嚴霜懷晩節。寧隨蟠木露先容。烟霞自護來棲鶴。雷雨時疑化作龍。下有靈苓千歲伏。誰能採得上丹供。右松子美再逢淹錦江。淵明獨愛泛甆缸。霜天高節元無上。春樹穠華不敢雙。餐似靈丹仙骨換。對如良友我心降。偏憐佳色宜明月。風動淸香滿八窓。右菊一歲爲農一歲支。收功南畝正今時。民誠惟在供調稅。王政先從制產資。順雨和風承聖澤。養親哺子樂吾私。千夫齊力鎌歌發。宛似周郊挃挃詩。右觀穫遠聽樵歌出翠微。秋陽落木露初晞。松根月斧丁丁響。草葉霜鎌閃閃飛。憩坐樹陰筇拄擔。負來巖逕汗沾衣。還憐爾屋寒如銕。盡爇重房煖室歸。右觀柴農家獵取澤中魚。釣笱罛叉術又餘。挈盡汪汪隨仰俯。驅來潑潑困泥淤。漢陰翁獨忘機耳。江上人誰取適歟。一擧無遺非得計。民生鮮食日看疎。右桔槹打魚澤國秋高備不虞。橫行介士猛容殊。無腸異號仙書載。撥棹嘉名越俗呼。庭上燒來烟集鼠。草頭走處影疑蛛。霜芒輸盡成佳味。黃滿團臍酒滿壺。右蟹名高七絶更誰齊。萬顆玲瓏日照西。火棗絳桃光欲奪。雪梨黃橘品還低。嫩枝不許羣禽宿。肥葉堪供小筆題。香液最能喉渴解。回憐未種茂陵蹊。右柿山果無如燕覆佳。攀藤手摘到巓涯。霜皮縫坼懸危樹。露蔓絲垂繞古崖。爽口還同林邑貢。醒脾甘勝陸郞懷。淸凉莫笑偏吾嗜。芰棗何曾五味諧。右木通實髮白童心猶未灰。毛毬初坼拾枚枚。髫孩爭食朝朝剝。翁媼無眠夜夜煨。責子柴桑癡覓苦。憐貧錦里晩收催。咸山皮荻甘如蜜。何用白鵶谷口栽。右栗滿地黃金佛力眞。廢興還賴住持人。尼珠浩劫含靈氣。慧日浮圖護法身。不二門中徵後果。大雄殿上問前塵。空山夜靜鐘聲遠。忽憶同安怳悟晨。右寺不載神農嘗百文。味香性烈氣氤氳。金筒萊府銀花鏤。楮帒箕城縠縐紋。爇處政宜消日了。吸來端合破痰云。新方異種傳何自。二百年間四海聞。右烟茶快呑百斛太和元。不遣紅潮着面痕。方朔好偸千日釀。莊生善用大瓠樽。獻酬相接成嘉禮。酣酗羣爭出禍言。我有性靈還可養。何須酩酊綠帘村。右酒扶桑曉色一聲寒。喚起塵寰枕夢安。學士聽忙趨劒佩。行人聞促理鞭鞍。鬬時怒攫蒼鷹距。鳴處高昂赤鳳冠。金鼎丹成啄餘粒。千年腷膊白雲摶。右鷄千篇百幅筆還刪。雅頌歌謠古道關。好與遣懷吟月下。羞將誇興鬧花間。揮毫珠轉聲依律。點墨星連圈似環。持贈世人難悅目。主翁時自卷舒閒。右詩軸萬樹花開六出先。催春不待赭鞭鞭。騷人授簡吟新賦。寒士無燈映古編。月黑單于逃塞野。夜深元帥入淮天。同雲一色農夫慶。厥占豐年在昔然。右雪羽毛憔悴氣蕭蕭。混跡雞鵝共作擾。幽夢應圓三島月。長鳴自放九臯宵。天緣前定箭留蜀。人事今非柱立遼。知爾終非籠裏物。何時高擧上雲霄。右鶴良宵有酒豈無肴。且得雲間露桂梢。金餠老仙捧盤出。銀鉤素女捲簾拋。蟾輪九萬長天轉。兎圈三千大地包。時共淸風參席上。相看莫逆會心交。右月四友之間爾最豪。中書權勢莫相高。文垣聲價歐公荻。相府勳名沛吏刀。神力時能扛大鼎。細心還自析纖毫。右軍手裏縱橫狀。怳若蒼龍弄海濤。右筆東坡之說簡齋歌。佳品爭推李氏多。良質煤經千杵搗。淸輝石吐百年磨。丹靑神妙還無賴。金碧煒煌不敢過。萬古圖書眞跡在。燭天光焰竟如何。右墨竹簡寥寥代楮麻。題詩獨數薛濤花。六經載道垂千古。諸子傳心達百家。造幣能通衣食利。燒錢足感鬼神遐。堂堂寫出胡銓疏。市價臨安十倍如。右紙良工賞石採端陽。鵒眼團圓金線方。陰鑑潛噓玄霧氣。玉靈新潑紫雲光。萬毫弊盡神機用。一片留傳靜體藏。更有千年銅雀瓦。黃金價重璧爲房。右硯九鍊丹砂按震庚。火煎文武學長生。爇檀華屋烏銅古。燒榾村家赭土成。月下撥廻烹苦茗。梅前擁坐聽寒更。蒸炎拋棄塵泥滿。時去時來見世情。右爐蘭膏金釭一炷靑。瑞花丹暈照窓欞。挑來客館誇錢陌。篝上都門說劒經。書舍親時凉氣入。梵宮明處慧心醒。孤光耿耿疎籬透。林外行人錯認星。右燈石頭松下滌煩蒸。七寶遊仙不足憑。圓以警慵懷涑水。長於篤友憶姜肱。醉來天地空山夜。春逼芙蓉守歲燈。支臥北窓魂夢靜。三更穩睡到晨興。右枕天自炎凉莫怨尤。用於長夏捨於秋。五明古制傳便面。一握淸風喚聚頭。白羽功高開虎帳。靑羅力薄撲螢流。蘇州佳句庭堅筆。底事奇珍水府留。右扇寒風十月壁帷侵。枕畔床前圍繞深。諫疏列題唐帝德。抑詩書警衛公心。歌筵掩翠芙蓉繡。內屋生輝孔雀金。空使嬴兒超八尺。可憐壯士不知音。右屛暘谷幽都帝化覃。羲和分職敬推參。鴻來燕至均宵晝。兎走烏飛極北南。日至分明世致百。王正寂寞甲回三。軒堯舊法人時重。星値神臨摠曲談。右曆老仙負局拭晶鹽。鑑盡媸姸兼巨纖。心膽照來能洞見。衣冠整得自尊瞻。窺紅少女千嬌詫。歎白英雄百感添。楊子盤龍神物有。終看雲霧起宮簾。右鏡鷄鳴掃布盥梳咸。請向床頭舞彩衫。邦禮春官辨五用。學儀西序列三函。虛前竟負洛陽策。割後獨浮遼海帆。一半華山不許借。人分其奈逈仙凡。右席</text>
<title>旣次金菱溪見寄詠物詩自東至咸韻三十首。而廢餘强吟。實多艱澀。訖成遂作長篇一首。韻用順押東咸體。還寄以求和。亦古禮酬酢之遺意也。</title>,<text>漢陽城西菱溪翁。白首文章當世雄。九經百家胷裏貯。詞源滚滚老不窮。大筆如椽心手從。少年已許騷壇宗。渾渾奔流千頃河。嶄嶄特立百尺峰。神力雄健九鼎扛。古聲舂容大呂撞。男兒富貴詩千首。騷人風流酒一缸。獨立不求時人知。左馬右韓相追隨。上窺鮑謝下蘇陸。紛紛啓禎皺雙眉。詩道漸衰文氣微。浮靡輕噍半世非。露草百蟲聒促促。野逕雜花亂依依。鴻儒寂寥空石渠。兒曹顚倒走公車。可憐齷齪渾沌死。誰復窮廬誦詩書。從此風氣日下趍。民生困苦眞堪吁。灝噩綺麗問厥世。文體治道知相須。聖主思欲三五躋。天放瑞彩繞壁奎。陽德咸若遂庶物。堯化時雍被羣黎。日看淳風吹泰階。文敎大布放淫哇。太陽高出羣邪伏。範圍一世大道偕。是時翁獨抱瓊瑰。沈屈下僚久低徊。宏詞鉅文無人識。誰能達之九天開。杜門草玄六十春。久與世違不緇磷。已喜卷帙箱篋富。不憂衣食家室貧。十載相親情慇懃。幸得忘年定交分。我本冗散如樗櫟。重之多病而寡聞。讀書未達性命源。講易不入乾坤門。迂志闊談被人笑。唐虞二字寤寐存。紙上方井畫三韓。癡想自擬壽民丹。澆俗一掃回殷質。古禮三物復周官。更抱麟經感筆刪。玉帛書劒泣燕山。中州衣冠盡左衽。紅帽彌盈天地間。萬事凄凉餘百年。不忍經過煤山前。皇極文華開穹廬。腥穢掩鼻怨荒天。憶在少壯厭塵囂。湖海溪山多逍遙。山頂雲動月出石。海頭地盡南塘潮。頭流寶刹排巖嶅。高僧濟師方外交。湖南千里筇屐遍。仰攀虎豹俯鯨蛟。弱冠壯觀蓬海濤。萬二千峰霄漢高。削玉堆雪開別天。萬樹丹楓映靑袍。三日浦頭仙筆摩。六稜石面鬼斧劘。直望扶桑紅日出。海雲萬道騰赤波。一旬遵海踏鳴沙。觀音古窟空谽谺。回舟鏡浦登五臺。石室秘書擁紫霞。歸來僊僊興未央。更向淸風入丹陽。三仙巖瀑天下奇。玉筍峰高峽江長。故鄕豐山尙傳名。千年遺躅多感情。浮石淸凉盡歷覽。曉趍退溪拜先生。西看松嶽只麽靑。滿月臺前樵歌聽。殷師舊國問遺俗。古田井字餘典型。直渡鴨綠一鞭憑。遼風薊雪空馳騰。瓌觀壯遊二十年。子長筆力還不能。丈夫心期無處酬。兩鬢蕭蕭忽驚秋。閉戶自放南山下。更於此世何所求。有詩時時還自吟。獨坐不復懷知音。此翁靑眼忽晩遇。與我論文復論心。薄酒三杯倚半酣。下上千古縱豪談。相對不覺日色窮。乍別已知吝萌慚。罷官閒居老興添。三十新詩律令嚴。珍重示我復索和。荒詞拙語翁不嫌。我詩出口愧三緘。走筆長歌情思凡。投瓜深望瓊琚報。願翁莫嗔詩中饞。</text>
<title>有感 辛酉</title>,<text>六月蒸炎莫敢侵。北窓高臥夜沈沈。浮雲何意來天地。明月無情照古今。童穉迷藏看亦厭。漁樵浪跡夢頻尋。不須更作歸來賦。好向江湖訪素心。</text>
<title>無事</title>,<text>高軒無事淡襟期。但許平生我自知。稚女有時啼索果。老妻終日笑圍棋。白頭忘暑仍忘世。靑眼看雲又看詩。從此優游諧宿願。文章宦業付羣兒。</text>
<title>憶故人</title>,<text>故人何處在。苦憶不能休。明月容光照。白雲途道脩。誰知當日喜。翻作此時愁。杳杳三千里。君心似我不。</text>
<title>天上</title>,<text>天上有明月。照我中心曲。百年託深契。良以慰幽獨。矯首觀宇內。耳目不足屬。蟲聲聒階庭。狗吠狺衢谷。匠園森枳棘。珠市耀魚目。出門何所適。晝掩終南屋。不唱接輿歌。寧作楊朱哭。胷中本坦蕩。俯仰無慚恧。一飯復一眠。門巷絶塵俗。營營誰復求。萬事已自足。</text>
<title>感懷 次屛上六先生畵像贊韻</title>,<text>捷逕千歧。正路荒湮。飄然獨立。睠言昔人。嚴釣遺風。點瑟餘意。百世寥寥。園松晩翠。室中春意。牕外風聲。無思無爲。無毁無成。履不汚泥。衣不霑雨。敢慕夫子。轍環率普。惡風不作。方塘水平。無求者全。有志者成。閒中妙趣。靜裏至味。知止知足。迺富迺貴。上有千載。下有百世。人生其間。瞬吸之際。維昔聖賢。濬源培根。身去道在。參彼乾坤。俄然少壯。倏焉衰老。恐負初心。竚見古道。巷無車馬。案有詩書。風月自在。優游以居。松不變色。竹不改節。無悶無懼。風雪烈烈。特立獨行。惟義之趍。三者不能。是謂丈夫。</text>
<title>夙夢亭感懷 二首○壬戌</title>,<text>長洲朝日一帆開。好逐東風上釣臺。獨有江聲如舊在。忍看春色又新回。滄桑劫淚紅紗濕。風樹悲情白髮來。眠鷺泛鷗皆素識。機心相忘莫相猜。宸章金字尙煌煌。萬事滄桑已五霜。殘生不盡君親淚。添作江波滚滚長。</text>
<title>潭路口號。誦示兒輩。</title>,<text>山行春欲晩。天氣正晴佳。古木圍村屋。殘花覆石崖。三峰先入眼。半路已開懷。漸望泉聲近。高吟百慮排。</text>
<title>潭上示兒輩 拈韋蘇州韻</title>,<text>洞府幽且邃。石門中自闢。日月非城市。烟霞自朝夕。歸來悲白髮。還同遠遊客。逝水爭危石。新花綴古壁。事事絶塵雜。悠悠復寂寂。故人惟孱顔。相對兩脉脉。坐石憐空白。臨泉愛寒碧。回首多怊悵。不復爲形役。</text>
<title>樓夜</title>,<text>待月山樓月上遲。三更孤燭坐論詩。星河皎潔峰頭見。風雨奔騰枕畔疑。俗子如羊及日睡。家僮畏虎隔窓窺。澄潭夜氣天機靜。事事林居合性宜。</text>
<title>潭樓雜咏 十三首</title>,<text>朝日照仁壽。幽人初罷睡。上樓復下樓。悠悠多古意。花開翠壁間。花落淸溪上。開落皆自然。端合幽人賞。欲試病脚力。登山窮水源。杖策窺石窟。時復憩松根。纖鱗游淺瀨。恠鳥啼古木。倚杖蒼崖前。嗒然忘耳目。白日不可繫。流水底事忙。蓮峰獨無語。華髮徒自傷。紫陌花已謝。靑山春正好。盡日無所事。陶然不知老。春山有杜鵑。鳥啼花欲燃。今來兩不厭。石枕未成眠。新春不虛度。山中有今日。一遊重千金。世人那能必。羣山相拱合。爭趍勢翼如。南峰儼作主。屹立整襟裾。照水笑白髮。忽憶童穉年。舊物獨盤石。人事盡變遷。泉響夜逾喧。山容曉仍靜。喧靜歸空色。幽人發深省。峰靄暮雨如。花氣朝雲似。頃刻百變態。影落樓前水。淸遊異荒樂。莫言無已太。雲水空是非。花石絶塵壒。</text>
<title>有懷</title>,<text>千峰回轉掩仙扉。遙隔紅塵客到稀。翠壁籠花開錦繡。丹泉飛沫散珠璣。須令澗石鳴藜杖。已許山雲濕布衣。弄月高樓留後約。秋風共挽鹿車歸。</text>
<title>歸路入憩津寬寺</title>,<text>深深三角下。古寺有津寬。澗道殘花亂。松橋細雨寒。遠公何處在。佛力至今看。白髮猶餘興。諸天暫卸鞍。</text>
<title>入華藏寺</title>,<text>下鞍仍杖策。遠訪梵王宮。危磴千層石。空山萬樹風。悠悠行雨裏。杳杳入雲中。坐憩蒼巖上。逢僧問楚公。</text>
<title>朴淵</title>,<text>三千匹練掛長虹。削壁懸泉勢倂雄。撼岳轟霆殷地底。翻盆急雨倒天中。噴飛玉屑亭迷霧。衝起銀濤壑滿風。向使廬山專擅勝。文章爲遇謫仙翁。</text>
<title>水部直中</title>,<text>水曹自古號閒官。獨坐公堂吏罕看。雞啄庭苔秋日淨。鳥啼門柳晩風寒。封來朱盝殘書靜。脫却烏紗小枕安。莫以詩人云例作。白頭吟興也全闌。</text>
<title>潭行馬上 癸亥</title>,<text>雨餘春意晩。日出岸容開。流水爭鞭逝。飛花拂面廻。時聽禽語緩。不覺馬行催。寧復迷前路。浩吟歸去來。</text>
<title>拈次右丞韻</title>,<text>白石盤陀不起塵。淸溪一道水漣淪。巖花晩發猶餘畫。山鳥羣啼莫避人。蓬島無津通畧勺。桃源有路接芳隣。綠陰晝永遲遲轉。倚杖臨潭數細鱗。</text>
<title>一種小魚。出於小麥黃熟之時。刈盡則魚亦不出。故俗號小麥魚。而此魚只在狎鷗亭前。味甚佳美。</title>,<text>四月初肥小麥魚。甘香不讓季鷹鱸。西湖早泛鴟夷櫂。何必功名是丈夫。</text>
<title>沈兄叔退氏 能進，靑城尉 能建氏 貰漁船。同往雙湖。觀打魚而歸。舟中遇急雨。</title>,<text>携手江樓下翠微。三船齊泛出烟磯。綠憐淸水分雙帶。白惜明沙合一圍。急雨前村沽酒去。斜陽北浦打魚歸。滿盤羹鱠皆佳味。肯羡朱門刺齒肥。</text>
<title>余癸卯赴燕時到龍灣。作五絶五首。贈寄奭兒。時奭年十歲。卽步其韻以作別語。今送奭入燕。復用其韻以贈。</title>,<text>南北五千里。志期猶不窮。星軺復趣駕。直向薊門風。莫道燕京遠。高陽卽萬里。秋風日漸高。中夜懷游子。壯觀今猶古。山河卽帝鄕。百載如過夢。遺風問路傍。送處芙蓉暖。歸期白雪寒。加餐復穩睡。日夕報平安。敬愼承王事。淸嚴律爾身。式遄回四牡。共賞閤梅新。</text>
<title>聞使行趁旣望抵黃州。作月波之遊。遙寄。</title>,<text>佳辰州號好相符。玉節聯翩興不孤。永夜樓臺留去馬。遠城簫管起栖烏。會應明月同今古。何必長江較有無。大筆華筵酬唱地。文章誰得似長蘇。</text>
<title>八月十一日夜。月色甚明。不禁離懷。而是夜兒行當宿連山關。口號。</title>,<text>翁昔連山宿。有夢猶不忘。今夜連山客。亦應夢故鄕。</text>
<title>次兒輩韻。別金美中。</title>,<text>峽水通京洛。西風起遠波。我猶吟未已。君欲醉無何。白髮愁中足。靑山話裏多。秋宵臨別短。曙色發庭柯。</text>
<title>淸潭雜詠 二十首</title>,<text>高樓何所有。澹澹白雲多。幽人臥其上。石瀨鳴巖阿。右臥雲樓白雲來無盡。綠水流不竭。共策鹿車還。閒弄山中月。右弄月樓白石平如席。先生坐儼然。天葩古經散。餘馥襲巖泉。右散經臺層疊堆瓊玉。下臺幽更幽。抱琴待山月。約瀉石泉流。右抱琴臺巖壁中開峽。奔泉觸石怒。砰訇作吼雷。飛沫灑寒雨。右噴雷峽急湍隨石盡。渟匯自成潭。紺碧深無底。閒雲影半涵。右白雲潭層岡開錦繡。蒼翠映朝暾。山光與水色。千歲染雲根。右積翠岡下有百尺潭。上有千仞壁。春雨長碧蘿。幽人衣可作。右搴蘿壁無數潭中魚。黃碧鱗鬣細。隨波或浮沈。掉尾忽驚逝。右觀鯈巖盤陀搴蘿側。橫鋪漾花北。徘徊咏國風。石上生月色。右盤旋臺臺畔一層石。平圓無偪側。垂釣俯淸波。餌寒魚不食。右垂綸石看月復看雲。酌泉兼酌酒。相對坐悠然。還忘杯在手。右停杯石蒼巖巨如屋。直當澗橋邊。借問荊榛裏。潛藏幾百年。右竢巖長川緣白石。奇絶自天成。宜枕復宜漱。使人神骨淸。右枕漱臺一派發天嶺。小潭澄似鏡。無人照顔髮。惟有山光映。右明鏡潭前溪與後溪。奔瀉還相合。寒風飛沫吹。月落淸光濕。右素月潭渡澗尋巖逕。獨登百尺臺。徘徊古松下。時有白雲來。右靈臺疊石若天梯。靈源發其上。層轉復直射。飛下三百丈。右三層瀑亭亭玉蓮朶。特立到天中。開窓儼相對。朝暮挹淸風。右仁壽峰瓊泉貫白玉。奔流作銀瀑。沈碧生風雷。下有神物伏。右淸潭</text>
<title>鷗湖十六詠</title>,<text>萬樹靈風肅肅聞。葱蘢佳氣漢南分。春秋八百珠邱護。蒼翠浮空作瑞雲。右二陵松柏淸江一曲抱樓臺。鏡裏風光畫裏開。千甍半是公卿宅。鎖戶虛簷夕照廻。右雙浦樓臺鷗鷺成羣集淺灣。底心飛去底心還。隨處相忘還自在。眠沙浴浪摠閒閒。右前沙鷗鷺東風昨夜吹年芳。嫩柳新花繞短墻。影落波心紅映綠。魚龍應亦賞春光。右北岸花柳簇簇帆檣向上游。遲遲牽纜倦行舟。晩來自信西風力。驅上灘頭不費愁。右梨灘風帆江天漠漠欲三更。點點漁燈隔浦明。波心錯雜疎星照。弄影魚兒也不驚。右龍淵漁火北望南山夕霧晴。松間火氣燭雲明。始知夜夜平安信。賴得江湖樂此生。右終南夕烽白雲何處掩禪扉。子夜鳴鐘響正希。風便喚醒漁子夢。桃源仙路恨依微。右恩寺晨鐘三角崚嶒竦不羣。曉天雲氣白紛紛。無心散合隨風勢。時作甘霖灑八垠。右三角曉雲矗立中天萬丈峰。斜陽一抹彩霞濃。下有先生祠屋在。高山大道兩相宗。右道峰晩霞峨嵳遠勢欝嵳峩。日暖東風吹雨過。霏霏漸入滄江曲。水色山光變態多。右峩嵳微雨浮雲千片赤鱗鱗。影倒滄波轉火輪。依山日脚崢嶸下。一髮文殊西海津。右文殊落照兼天赤浪勢奔騰。孤島平沈岸涘崩。不讓南溟三萬里。將看六月化鯤鵬。右纛島新漲江風淅瀝動寒聲。大雪紛飛萬逕平。長郊十里開瓊圃。玉樹琪花眼霧晴。右箭郊大雪西舍東家起夕烟。斜浮直上轉茫然。籠盡長洲渾一色。暮雲相接遠連天。右新村暮烟霧罷雲收天宇淨。一輪明月圓如鏡。湧出龍門山上來。金波百道相輝映。右龍門霽月</text>
<title>夜坐</title>,<text>平生知笑未知嚬。樂意渾忘鬢似銀。枕席夢淸燈影遠。池臺夜靜雨聲頻。題詩不欲求新語。開卷還如見故人。但使胷中無所有。一眠直到唱鷄晨。</text>
<title>書狀還數日。李叔夜至。是時閤梅正開。合席共賞。仍成一律要和。</title>,<text>暖閤深深護老梅。不勞培灌最先開。枝頭交映還疑雪。根底冲融已動雷。好伴新陽遊子至。爲看寒萼故人來。浮生難得如今夜。分付靈蟾走莫催。</text>
<title>和李叔咏梅韻 二首</title>,<text>軟塵不敢汚。狂風不敢動。桃李片時春。幾人歎倥傯。一樹春消息。新陽甲子月。不作穠姸色。偏宜照白髮。</text>
<title>次張雲擧 猷煥 咏火石韻 甲子</title>,<text>漆叟空言大旱流。媧爐餘片世間留。化工自作金公配。妙用相生木德侔。虞殿樂官胡爲擊。秦營勇士等閑投。仙家煑食今來盡。請向他山好採求。</text>
<title>閑中吟成。示兒輩。</title>,<text>閨房春日起居安。正値佳辰近食寒。細雨催花高閣聽。微風舒柳遠城看。沉吟老婦桑麻計。喧笑羣兒棗栗歡。不許胷中留俗事。襟懷自得十分寬。</text>
<title>與仲兒及金美中兄弟。拈杜韻共賦。二首</title>,<text>紅桃碧柳映高墻。物色園林正晩芳。客子淹留春雨大。主人衰懶午眠長。禽聲雜奏千般曲。花氣蒸成萬戶香。談笑詩筵多悵望。繡衣東出月溪傍。時奭周承命慰諭關東。白髮城塵未拂衣。送人空逐峽雲歸。漫吟與我知音少。劇笑如君同調稀。燕子輕衝疎雨去。鶯兒巧蹴落花飛。平生不作營爲計。心事何曾八九違。</text>
<title>詠鶴雛</title>,<text>矯矯雙鶴雛。離鷇纔周歲。長頸與高脚。凡鳥莫可逮。羽毛漸成就。翯翯脫黃毳。仰天時欲鳴。聲澀未成唳。擧翅數飛舞。已具凌雲勢。欝欝庭除間。邈邈湖海際。憐爾失其性。雞鵝混一例。帶錢寧上揚。乘軒不願衛。丹頂守藥爐。共此長生計。</text>
<title>店壁塗牧隱集。偶次其韻。</title>,<text>秋氣滄凉初日光。羣飛鳧鴈下池塘。前宵霜信收禾黍。樂事村村剩酒漿。</text>
<title>華城西將臺呼韻</title>,<text>臺高百尺四望通。八達西山地勢雄。大野蒼茫秋色外。長城窈窕夕陽中。暮雲陵樹悲含碧。寶墨籠紗淚濕紅。獨立彷徨不忍去。蕭蕭白髮意無窮。</text>
<title>金錫汝來訪官齋。夜話共賦。二首</title>,<text>故人明朝去。冬夜苦不永。白髮兩蕭蕭。相對官燭靜。吟詩聞天籟。傳盃呑月影。何時賦歸來。追隨娛晩景。留君君不留。悵望我懷永。寒雲宿前山。寥闃千林靜。仰看天中月。歸鴈催玄影。明朝送君後。空負華州景。</text>
<title>過果川有感</title>,<text>驅車南泰嶺。嶺路半天橫。剗却巉巖石。坦然鑾蹕程。恩言已踰衮。感淚尙沾纓。舊宰靑春好。今行白髮驚。庚戌宰是邑。治嶺路後承恩敎。</text>
<title>發華城 乙丑</title>,<text>春朝宿雨報新晴。溪柳初黃野麥靑。樹裏深看行殿古。天邊疊出遠山明。鳥憐永日啼相和。馬熟歸程去不停。佳氣自生通御氣。華城纔發便王城。</text>
<title>舟中</title>,<text>銅江水闊靜波瀾。三月佳辰食正寒。汀柳風催輕鷁去。岸花春許老龍看。有詩出口渾忘倦。無酒開胷更覺寬。七度長亭纔半日。長安門外是長安。長安門。卽華城北門。</text>
<title>將還衙。取路漢江。入鷗湖。</title>,<text>公門百事莫相催。爲訪田園漢上來。江樹偏留春色在。官舟滿載夕陽廻。百年亭榭花間出。三月湖山畫裏開。笑看兒曹追逐地。回憐內閣謾遲徊。</text>
<title>朝起</title>,<text>江閣無公事。慵眠到晩朝。春深花半落。日出霧全消。水色增佳麗。禽聲破寂寥。終南隔南北。塘草夢魂遙。</text>
<title>江上得內書 三首</title>,<text>輕舸初歸漢上廬。老妻强病遠投書。書中滿說江湖樂。爲報留期共鹿車。靑春證約已成翁。野服多年在篋中。湖上烟花三月暮。竹符還愧漢梁鴻。憑軒遙憶屋中妻。幾日歸田好共携。寄來尺素如相語。始信神交照點犀。</text>
<title>夕發華城</title>,<text>落日初騎馬。行人爲納凉。月高生樹影。風淨送荷香。過雨猶餘爽。蒸炎可頓忘。時聞田水響。夜久不知忙。</text>
<title>曉發果川</title>,<text>曉發南充縣。陰雲宿不晴。林深疑虎跡。村近聽鷄聲。漠漠千山暗。搖搖一炬明。欲將三伏熱。洗盡大江淸。</text>
<title>潭上</title>,<text>獨倚高樓世慮空。飄飄衣袂灑仙風。雲開古洞千峰碧。霜落寒潭萬樹紅。盡日起居巖色裏。淸秋談笑水聲中。徘徊自歎歸來晩。雙鬢蕭蕭已作翁。</text>
<title>待伯氏</title>,<text>潭上淸秋有好期。西來車馬杳何遲。峰頭落日看看下。獨坐高樓遠望時。</text>
<title>樓坐 二首</title>,<text>洞深水縈合。中闢仙人居。林僻多奇鳥。潭淸有小魚。雲歸羣壑暝。月隱一樓虛。又看今秋去。何時賦遂初。興到高秋一策輕。淸風勝似憶鱸行。潭靈不作溪花笑。信得吾兼吏隱名。</text>
<title>潭樓贈內</title>,<text>獨行君莫嗔。佳約在明春。澗萼迎人近。林禽喚侶親。羣兒走巖頂。兩老坐溪濱。須製伯鸞服。將脂桓氏輪。</text>
<title>出洞</title>,<text>一宿雲樓夜。秋風吹澗樹。欲別意無窮。綠水流不住。</text>
<title>禿城眺望</title>,<text>孤城斜日倦徘徊。山上何年築將臺。雲接海門秋色冷。風連陵樹晩吹哀。天涯眼逐飛鴻去。林末身隨返鳥來。大野茫茫通四望。好敎胷次一般開。</text>
<title>上將軍 金公祖淳。時爲訓帥。 次杜老韻。書揭鎭樓。次成一律。</title>,<text>禿城天作險。粉堞繞靑峰。風雨傳軍令。杉松列陣容。筆端調繡虎。匣裏吼神龍。天地書生老。空餘磈磊胷。</text>
<title>靑好韓氏山訟審决歸路</title>,<text>雨歇北風吹客衣。疎林倦鳥一羣飛。村邊野闊孤烟直。天畔山低落日依。驅馬騎牛望店去。包魚荷米罷虛歸。自憐心苦無閒趣。或恐丘原訟有違。</text>
<title>因傳敎犒饋役軍後口占</title>,<text>擔土荷薪如樂赴。築山塡谷不知勞。歡聲雷動千斤肉。恩意春生百斛醪。恭聽絲綸均醉飽。爭趍崖壑倍麤豪。先王遺澤民情見。瞻望喬陵淚濕袍。</text>
<title>官齋夜吟</title>,<text>官樓逈獨立。北斗半城橫。雨過天逾淨。林疎月益明。歸思隨處急。夜氣與人淸。街鼓寒無賴。遲遲報五更。</text>
<title>夜見兒輩詩軸。有懷仍次。</title>,<text>歲闌旅舘意無涯。久滯長安雪色賖。鄕夢不成殘夜枕。官燈頻結四更花。簷籠映月啼寒雀。城角吟霜起早鴉。園裏老梅應待臘。輕車準擬好還家。</text>
<title>大雪</title>,<text>大雪隋南一丈多。朝暉相映漾寒華。千山玉立虛明界。萬樹珠開頃刻花。獨出丹樓增突兀。平埋粉堞失杈枒。凌兢還覺官齋冷。何日春回百姓家。</text>
<title>朴襄陽 趾源 輓</title>,<text>坡公以後世無才。六百餘年雀館開。陳語諸家刪盡去。新聲一代倡將來。高名士誦燕南市。勝跡書留古北隈。從此文垣空寂寞。巫陽今日下招哀。</text>
<title>延安 丙寅</title>,<text>海闊新春水。城殘古戰塲。民生皆蔀屋。地勝獨蓮堂。簿牒憐堆案。音書歎阻鄕。池禽啼夜靜。遠聽興還長。</text>
<title>雨中海州道上望海</title>,<text>細雨平明出海州。此行誰識作淸遊。雲連海色迷天色。風捲潮頭拍岸頭。驚浪欲沉歸鶴島。孤帆不動打魚舟。騁眸更覺鄕思切。一道遙應接漢洲。</text>
<title>寒食夜漫成</title>,<text>寒食佳辰旅舘回。樓頭東望久徘徊。新春偏向海西晩。明月先從漢上來。別恨草生前夜雨。歸思夢繞故園梅。五更笳角催寒曉。獨對官燈尺素裁。</text>
<title>口號</title>,<text>鹽州地僻海西邊。寂寞春光野草憐。却憶華城千樹柳。東風二月綠如烟。</text>
