<title>晩晴</title>,<text>疎雨下山足。輕飈行磵林。鳥遷高樹囀。人倚小樓吟。</text>
<title>羣蛙</title>,<text>日暮空山黑。羣蛙得爾時。竄身唯此老。怒叫爲阿誰。處井尊應妄。休湫樂可嗤。通宵苦不寐。何暇問官私。</text>
<title>次韻</title>,<text>談諧接手見天眞。放筆題詩更有神。不解趨塵供俗狀。且甘棲壑作幽人。途竆仗友非虛語。歲暮無衣欲假春。那得最深乾淨地。共君長往學秦民。</text>
<title>秋日鄕思</title>,<text>宋玉骨已朽。此懷誰復知。登山時望遠。臨水更思歸。久客誰無淚。長貧祇有詩。鳴蟬催落日。松壑暝雲飛。</text>
<title>感懷</title>,<text>忽忽日暉促。颼颼風色凉。羣陰自此始。萬物從當藏。未試屠龍術。誰憐活國方。少年如昨日。贏得鏡中霜。</text>
<title>寶劒</title>,<text>我有袖中劒。楚妃初孕生。光芒閃閃動。魑魅嗷嗷驚。未斬單于首。空干星斗精。相隨三十載。照與此心明。</text>
<title>詠懷</title>,<text>一臥文殊洞。三年又此秋。浮生長自困。世亂幾時休。種粟全無地。資身末有謀。稺兒苦索飯。指腹對余啾。</text>
<title>春日寓懷</title>,<text>昨夜庭梅落。今朝宿鳥聲。詩翁苦吟意。客子未歸情。幾作鄕關夢。長尋故國程。奔忙五十載。自顧歎平生。</text>
<title>全州府懷古</title>,<text>沛邑甄萱國。興亡萬古愁。荒城高一面。峻嶽出千頭。官柳承春意。庭梅當酒籌。衰顔仍白髮。越豔轉含羞。</text>
<title>贈友人</title>,<text>朝來烏鵲喜。未暮報君行。官燭春宵短。淸詩古意長。縱橫談老釋。泛濫及陰陽。卻怕河橋別。還應斷我膓。</text>
<title>贈長步</title>,<text>長步知名士。能詩自石洲。鶴癯聲更遠。松老雪無愁。壯志終難展。孤蹤本不留。何山有閒地。長往可同遊。</text>
<title>謾成</title>,<text>七尺吾身小。流光百歲忙。孰徇無限累。偏役有涯生。白日兼春暖。孤雲去北輕。鳥啼簷影靜。高枕午風淸。</text>
<title>全州萬景臺。次鄭圃隱韻。</title>,<text>臺邊日暮暮雲橫。九日登臨遠客情。鄭相遺詩人上口。完山舊國水圍城。巖前細菊霜初落。座下淸風月欲生。縱酒高歌遊子事。不須惆悵望西京。</text>
<title>石佛</title>,<text>多苦人間世。無憂石佛頑。原頭牢住腳。誰識道途艱。</text>
<title>憶洪汝徵 必瑞 有感</title>,<text>吾友汝徵今則亡。昔年同我入淸凉。翠壁題名猶尙在。自然回首淚盈眶。</text>
<title>憶元子建 二首</title>,<text>老戒爲權首。陳稱退急流。功名都幻夢。身世本浮漚。形役古猶笑。國言今正咻。無因傳此意。卻憶昔同遊。有腳吾何往。無能守此丘。時於黃卷裏。每向古人求。名利多顚躓。林泉誰怨尤。吟成欲持贈。路隔不相謀。</text>
<title>秋日詠懷</title>,<text>歲儉秋猶餒。年衰病益侵。何曾人客至。自是洞門深。夕鳥依簷噪。霜蛩近壁吟。看看寒意逼。衣破欲須針。</text>
<title>有屋</title>,<text>有屋纔容膝。無粮可辦年。條風時裊裊。菊日更娟娟。老眼看書暫。晴囱倚睡專。眞堪供寂寞。何處乞人憐。</text>
<title>小雨</title>,<text>小雨當秋晩。蕭蕭作暮寒。林風吹更止。谷霧細還盤。草屋圖書靜。空庭杞菊殘。兒童爭拾栗。得失異愁歡。</text>
<title>樂貧</title>,<text>天遣本貧賤。飢寒那得辭。盤唯生熟菜。興在短長詩。風月豈無主。林泉終有期。山禽與野鹿。此意爾應知。</text>
<title>遊淸凉山 四首</title>,<text>崎嶇石路細仍敧。馬足凌兢不自持。峽束滄江盤遠勢。山排列峀護淸奇。塵寰已隔丹砂洞。村巷還開白玉池。雲物漸佳心目聳。暮年狂興劇難支。石路無塵踏綠苔。涉溪穿壑訪蓮臺。初憐錦樹重重合。忽見丹崖面面開。玄鳥日斜香霧散。紫鸞風定彩雲廻。何須煉藥事辛苦。已入神仙窟宅來。竆探須陟最高頭。納履還爲老腳愁。鳥道上盤知幾仞。人寰下瞰豁雙眸。山河秋色行將晩。宇宙生涯自覺浮。蓬島此間應不遠。還催鸞鶴使前驅。古 缺 登高從善同。同須向上力加功。攀躋尺寸辛勤極。俯壓山河位望崇。萬里煙霞襟外盪。九天風露袖中濃。塵寰此興誰知者。祇擬蓬壺詑赤松。</text>
<title>雨晴</title>,<text>紅杏枝頭春雨晴。碧桃花下曉暾明。幽人睡覺拓囱坐。簷外一聲山鳥淸。</text>
<title>細雨</title>,<text>雨細看不見。池中纔有跡。游魚自相跳。時上翻荷葉。</text>
<title>題沈德祖屛風六絶</title>,<text>芙蕖子已熟。水落秋塘淺。擧足欲前啄。游鯈時一見。白鷺拳一足。敧崖淸澗湄。誰能驚遠去。使向谷翁池。引領立沙觜。長空萬里心。瀟湘洞庭月。水濶可浮沈。菰蒲爲爾食。苔蘚以爲窠。莫向稻田去。稻田多網羅。枳棘鳳不顧。爾禽宜所安。低身將决起。欲笑大鵬摶。老樹葉盡落。山禽栖一枝。逢人莫驚顧。此老久忘機。</text>
<title>燈下對梅竹盆</title>,<text>竹枝梅蘂兩相宜。對得疎燈影更奇。一室小春天不管。淸香唯有此翁知。</text>
<title>雨中卽事</title>,<text>山雨打池荷。蕭疎暮聲起。孤梧慵夢醒。幽戶淸風至。老去本無求。此間頗有味。鄰僧適然來。相對笑相視。</text>
<title>題悅師詩軸</title>,<text>鶴駕爾之棲。文殊吾所宅。尋竆感意厚。臨軸愧詩拙。白日照梅梢。孤雲向天末。重逢儻可期。潭底批秋月。</text>
<title>挽姜直長 胤祖</title>,<text>欲問秋空迥。題詞怨淚懸。異鄕依長德。親戚失高年。嶺棧盤雲腳。江波鬨石顚。搖搖丹旐去。扶護祝于天。</text>
<title>可歎</title>,<text>吾東禮義本彬彬。化作狂胡馬足塵。今日乞憐猶未得。挽河誰是洗羞人。</text>
<title>題定止亭</title>,<text>處勢旣高暢。而無塵事侵。林巒開老眼。水石洗煩襟。勝地何常遇。吾詩此可吟。吟成還自和。有酒且微斟。</text>
<title>北遊</title>,<text>年逾六十雪盈頭。底事辛勤復北遊。造物本來竆戹我。更敎多口一番咻。</text>
<title>贈趙汝緝 又新</title>,<text>全谷此中僻。竆尋曾未期。慙無斟竹葉。笑有飯松皮。落日山谿險。深林路逕微。柴門相送罷。惆悵夜來思。</text>
<title>題高山縣齋</title>,<text>竹深槐老縣齋幽。秋晩湖山小雨收。鄕夢不宜蟲語亂。一年明月一年愁。</text>
<title>夜雨</title>,<text>夜來山雨沾花柳。朝日初昇天地光。走上原頭拓春望。傍人謂我老且狂。</text>
<title>葛繩</title>,<text>採葛歸來索細繩。屋簷終日坐如僧。傍人莫問將何用。欲上扶桑繫日昇。</text>
<title>偶題</title>,<text>非士非僧自一狂。狂年五十百無當。白頭意氣君休笑。醉裏高歌空外長。</text>
<title>用前韻。贈鞠老十三首。</title>,<text>應爲慇懃誨此狂。實賓推奬豈其當。竹筒來往渾間興。囱外梅梢春日長。雙璧擎來喜欲狂。若論其價萬金當。荒詞瓊唾何須說。不是詩壇較短長。賢者何賢狂自狂。塵街雲壑豈相當。歸去文殊南麓下。幾時薇蕨雨催長。半世棲棲學楚狂。紅塵結束詎相當。屋東太白擎天聳。門外淸川不盡長。人我呼狂應以狂。鼠蟲何適不相當。鑪邊老冶方成毁。小智詹詹各自長。莫將人智笑吾狂。天實生之各有當。肉食眼前憂未歇。芻蕘林下睡方長。前時人或有陽狂。避世埋光勢所當。我則不然貧且賤。毛冠空惹是非長。聖門曾晳亦云狂。是古非今我固當。白髮滿頭天不惜。人間日暮道途長。先聖垂言罔念狂。操存二字做工當。官梅欲發小堂靜。獨誦牀書淸晝長。白頭初悔昔年狂。經緯乾坤自擬當。心折卽今猶有舌。尙論千古不嫌長。鯨鯢方鬬白瀾狂。欲濟孤舟未可當。不若且從沙岸倚。掛帆須待好風長。非關胡騎恣猖狂。我有良謀自可當。德以固民綱紀整。塞雲何用築城長。聽說天王酗酒狂。刑餘周召政權當。腥風一蹴乾坤動。欲洗誰傾河漢長。</text>
<title>又用前韻。贈兪爾城二首。</title>,<text>君取余狂是亦狂。才高無惑命乖當。鵬摶羊角非吾事。擬向三山駐日長。平生阮籍酒中狂。一代風流誰得當。頹臥竹林何所苦。竆途處處哭聲長。</text>
<title>次鞠老韻 八首</title>,<text>一拜經旬朔。山林氣况佳。地深雲入戶。人古木爲鞋。健筆伊誰敵。高風不可階。春來阻奉袂。作惡坐中懷。偶趁韶光暖。來尋水石佳。絶波纔赤腳。登岸命靑鞋。萬竹今無主。荒墟尙有階。如何乘小興。忽忽抱悲懷。瑞雪因風舞。繁花著樹佳。不愁塵上面。那得玉爲鞋。借問吟驢背。何如醉竹階。無人與和曲。有恨獨盈懷。曷不踐前約。今朝天氣佳。何關待馬足。自可理吾鞋。綠酒春生蟻。紅塵禍作階。須將一日樂。庶豁百年懷。老去百無用。句成時有佳。人驚謂片玉。我視若空鞋。此豈丈夫事。徒爲虛譽階。燈前淸夜永。排悶強書懷。結屋文殊麓。溪山第一佳。人皆耕有地。我獨出無鞋。每讀還丹訣。時眠種藥階。歸寧隔千里。夜夜入吾懷。爲問西鄰叟。罇中酒幾佳。開囱風捽竹。欲去雪埋鞋。客靜書當案。人閒鳥下階。沈吟章日就。題寫是春懷。胡騎風無敵。燕京氣失佳。詩書鋪踐櫪。冠冕入苴鞋。不見箠笞背。空思劒舞階。洪光新聖祝。疑信病中懷。</text>
<title>獨坐</title>,<text>風生日暮竹林喧。小閣無人獨掩門。明月有期應夜至。此中誰送酒盈罇。</text>
<title>又次前韻。答具器之。致用。</title>,<text>昨向比鄰去。仍憐春酒佳。歸聞具老𥳑。來逐兪君鞋。白璧置烏几。琪花明玉階。精光照一室。永夜挹之懷。</text>
<title>又次前韻。贈兪進士三首。</title>,<text>莫以碧雲比。吾詩非盡佳。脩蛟倚短蚓。珠履間靑鞋。未入詞人室。纔升作者階。重言稱道泰。踧踖愧于懷。欲覓好詩句。須當思致佳。唯聞瓊作佩。未見鐵爲鞋。行遠必從邇。升高應自階。勤斯眞積久。神怪入君懷。酬唱至於此。意竆詞不佳。全篇或易做。押韻最難鞋。凡爾余幾首。如賓主兩階。慵眠且閣筆。息此閒中懷。</text>
<title>詠懷</title>,<text>目昏耳重雪盈頭。五十光陰此夜愁。堪笑暮年心尙在。欲抽腰劒倚高樓。</text>
<title>挽金景淸 灠</title>,<text>太白山中舊主人。開軒解榻喜留賓。交遊有素情仍厚。悃愊無華性任眞。罇斝幾多拚勝會。漁樵將擬接芳鄰。卽今萬事渾如夢。霜月寒宵倍傷神。</text>
<title>挽趙汝緝</title>,<text>七十旣稀古。痛傷非爲亡。辛勤纔有得。骯髒竟何成。忽忽悲歡促。冥冥禍福忙。天乎那不怨。無的寫丹旌。</text>
<title>逆旅夜吟</title>,<text>愁如風 缺 心如水。風起水翻難自持。寒夜悠悠愁不著。孟嘗無客出關遲。</text>
<title>贈別沈德祖西遊 三首○易簀前日</title>,<text>我去君相送。君行我自悲。如何洛陽別。連歲仲秋時。朢月誰同賞。重陽儻及期。殘年須強食。長路損人肌。秋風起天末。蕭瑟長年悲。去故旣多感。送歸當此時。淫霖近初霽。前路難如期。殘力愼晨夕。居者愁消肌。白露已零草。草根蟲語悲。不堪愁寂日。重以別離時。霖雨病桑戶。賞音唯子期。歸來須未晩。款款更磨肌。</text>
<title>又</title>,<text>已識山河路阻脩。不堪離思更逢秋。年光荏䒣頭俱白。小少交歡一夢悠。</text>
<title>臨終口號訣諸友</title>,<text>氣聚爲生散則歸。歸何長短盡同歸。先生疾旣革。引問病諸友。以詩與訣曰。諸君可續和。翼曉卽世。</text>
<title>詠懷十韻</title>,<text>此迹宜林下。斯心自弱齡。性愚昧菽粟。衣白厭朱靑。事業今難古。玄機影問形。吟詩雖愛杜。學禮愧趨庭。植竹元耽節。滋蘭只爲馨。虛齋心不寐。面壁喚誰惺。素月當疎箔。淸風入弊欞。短簷歸宿鳥。止水靜浮萍。聖德民皆腹。休祥豈待蓂。長鑱白木柄。託爾採松苓。</text>
<title>挽權遠遊</title>,<text>花落不再枝。水流歸大壑。吾友已冥漠。音容何處覓。靈車旣告辦。䪥露催曉發。風霜正搖落。沈痛中膓結。念子服佩多。吾將一二說。文章旣高古。襟抱亦磊落。正言不苟合。放浪無撿束。公卿有揖客。鄕里多側目。於于自淸狂。生理太蕭瑟。關西白衣行。名譽耀京國。問字客常滿。柴門還不寂。與我晩相得。歡甚投水石。東西十里間。屨杖未曾隔。相對卽解頤。披襟以永夕。談論若風幡。今古滿其腹。但爲知者道。雙手揮俗物。洋洋尙在耳。轉頭成陳迹。昨夜夢見君。依俙似平昔。欣然道情素。不盡而去忽。豈將歸窀穸。就我明告別。覺來若在傍。臥淚沾枕席。嗚呼九泉底。誰識埋寒玉。吾悲汝不知。吾問汝不答。平生滿罇酒。飮如鯨海吸。吾常戒伐性。爲君每細酌。何意有今日。欲勸不可得。</text>
<title>贈正上人</title>,<text>皎皎白雲衲。翩翩孤鶴容。斜陽滿壑雪。飛錫度松風。訪我文殊寺。對我披其中。示我袖中詩。便便五言工。懸燈夜寂寂。瓊屑談空空。一見心已契。何論道不同。林泉我踪迹。素志自兒童。世路太多歧。哭此阮籍竆。嗚呼誰肯顧。不可望於聾。魑魅六年禦。斗屋荊棘叢。柴關網雀羅。蔬逕被藜茙。塊然獨處廓。散愁何忡忡。奮飛腋未羽。難以訴蒼穹。每聞金剛勝。乃在滄海東。時時夢裏往。冥杳追仙翁。上人新東來。歷歷道始終。因聞所不聞。曠然發我蒙。雖有萬里心。柰此幽樊籠。益歎人世隘。未能容一躳。唯爾任自如。南北如飛蓬。到處卽雲林。粮食啖靑松。外膠旣自絶。內妙亦已通。誰能仰矰弋。杳杳雲中鴻。今宵幸此會。怳若開瞽矇。憐我儻不棄。自此長相從。</text>
<title>犬</title>,<text>余畜四大犬。乃知犬爲情。常時若與善。見食必鬬爭。余故以爲戒。不敢投以骨。願犬莫相害。夜吠防盜賊。</text>
<title>次金齊休 周 韻</title>,<text>大塊吹萬隙照塵。達人因非亦因是。紛紛堅白一曲輩。多少僧囱蜂鑽紙。唐城後人身八尺。自許無雙之國士。頭有高冠足有履。體衣腰帶持其己。林丘長靜斗屋寬。不肯走向風塵裏。盤蔬朝夕粥一盂。抱膝高吟殊未已。狂愚貧賤我爲我。袒裼裸裎爾爲爾。乾坤寥廓日月忙。四十年光弓送矢。雖云困竆熟人仁。病老摧頹衆所易。猿狙招籍便作階。虎豹來獵文爲祟。以此由來悟生理。軒冕浮雲豈有意。地僻柴門迥不開。載酒何人問奇字。翩翩一紙落案頭。健筆雄辭遠相棄。秦王殿上立相如。趙勝囊中出毛遂。一遍看來百疾愈。全勝黃金以贈寄。諧笑披襟儻有興。合簪何必期山寺。我有斗酒待君至。待君至同君醉。</text>
<title>疊五律韻。博爲七言古詩。</title>,<text>吾聞神龜縮頭藏巨壑。緣督吐納延脩齡。又聞飮海啄苔丹田鶴。千年變白千年靑。天生彼物豈獨靈。人自以欲戕其形。已矣高門不可走。虛室淨几開黃庭。神玄心寂七寶歸。天花白日播芳馨。竹受淸風潭受月。本來不醉那得醒。隨人開闔自囱扇。樞環不動元房欞。丈夫事業至此了。浮名於我水於萍。四時成功遞相代。旬朔不必看于蓂。巖可以棲渴有泉。草可以衣餌有苓。</text>
<title>苦雨</title>,<text>苦雨半月久愈甚。誰人不言此雨苦。玉麻銀竹亂傾覆。咫尺茫昧不可睹。厥初皇天一生水。金火木土參行五。澤及萬物咸仰生。淫溢之德或今古。以堯大聖尙罹菑。况此叔世復何怙。愚民不識天可畏。仰天詬天天益怒。潢潦洶湧山爲動。嘉穀盡沒爲沙土。䨓聲轟聒黑雲集。大電熌爍時時吐。風囱無紙屋壁震。衆雛驚睢一隅聚。心神拘瞀不自放。抱膝低頭如戴釜。蒼蠅滿面蚤蝨毒。此類乘時不一數。炊煙沈沈揚不散。濕熱攻身汗如注。處家之苦旣如是。田野之憂何暇顧。廟堂那識此間事。我欲向闕一一籲。又六月之熱人所苦。六月之霖尤可苦。十日十夜不少歇。天有日月何時睹。下田不言高爲川。壃疇削去十無五。菽粟爛死稻如葅。老人相言亦稀古。去月久𣌑今又淫。天心變化終難怙。天心至仁此豈欲。得非人謀觸天怒。垣頹籬仆屋摧桷。四壁室中無乾土。衣裳濕盡腰疾作。惡氣逆鼻仍嘔吐。蒼蠅薨薨苦乘人。逐之不去還相聚。沈竈灰濕火不擧。蝌蚪入盆苔生釜。靑蛙亂跳自得意。蚯蚓滿地誰能數。南風泠泠雲漠漠。雨腳森森如下注。天乎天乎此雨苦。民則可憐天不顧。天乎天乎豈敢望。民實可憐聊仰籲。</text>
<title>山水圖</title>,<text>虎頭筆精妙入神。自非具眼不可曉。山靑水綠沙岸濶。中有翻翻雙白鳥。細雨芳草夕煙深。雌牛顧雛行政遲。壁上寸紙如許大。始信壺中之說非妄爲。</text>
<title>稽古堂賦</title>,<text>悶余生之苦晩兮。遭此世之嶮巇。美余容而焉售。姱余行其誰知。固枘鑿齟齬而難入兮。將命駕而何之。幸此堂之新成兮。得我所而棲遲。依林麓而幽寂兮。面郊野之虛明。春囪靜而晝永兮。庭草交而羅生。兀潛處而對案兮。仰玄訓於經籍。竆朝暮或不怠兮。求吾心所大欲。唐虞忽焉沒兮。治煕皥之不復。聖筆絶於獲麟兮。灋空垂夫千古。作孟氏於三遷兮。歎空言之無補。慘焚坑於呂政兮。何長夜之漫漫。紛楊墨歧路之不一兮。雜黃老佛氏之多端。縱有彼之善此兮。烏可效而可師。煒五星之聚奎兮。文敎蔚其張弛。懿聖賢之輩出兮。接不傳乎遺經。微辭奧旨莫不闡揚兮。下學上達歷階升堂。勤敎誨之諄諄兮。切提耳而面命。齊天地而旣大兮。明日月與炳炳。余舍是而何取兮。取乎彼而此省。周公豈欺余兮。性不間於賢愚。盍孶孶而爲義兮。願與舜而爲徒。雖不周於今之人。亦何傷於獨樂。旣余宅之居安兮。高數仞非此心所羨。蘭爲帷而蕙爲帳兮。條風𥂖而舒卷。松爲欞而竹爲簾兮。玲瓏林月之淸光。冠余冠而服吾服兮。長余佩之琳琅。罏煙炷而細細兮。榧几淨其娟娟。密內收而整頓兮。害馬去而天全。澹一氣之孔神兮。虛以待之不先。是吉祥之至止兮。昭萬理而來呈。辦義利於毫釐兮。識吉凶於未形。終吾生之徜徉兮。唯此堂之誰爭。道出天而不變兮。何古今之異程。學在人之如何兮。生豈恨夫晩暮。儻勉行而尋稽兮。庶自今而作古。</text>
<title>登古城賦 城在天安縣</title>,<text>古城乎不知何代所築。古城乎莽蒼饒荊棘。余攜兮余杖。步從容兮聊暇日。按所處而四顧。實形勝之壃域。壓巨野之如掌。右通左達。枕大道之如髮。南馳北走。羣山簇而後擁。一川漾而前剖。美哉地理之處。誠是用武之所。余不識築斯城之何人。與何人而相距。又不識當時之兵。義與貪之其名。至于今唯見白骨纏菟葵而荒凉。雉堞平兮丘壠殘。井榦滅兮崩榛鬱。鼷鼠據深穴而亂拱。蛇蝎礪毒齒而羅列。䲭梟兮夜鳴。猛虎兮晝伏。嗟來余生遭世之屯。去鄕離家而遠遷逐兮。又與此物爲鄰。雖登臨而自慰兮。非余心之所欲。昔賈生之長沙。猶是太傅之職。韓愈之潮州。腰斗印之刺史。彼皆旣出身而事主。其謫也亦授之以任事。然且自恨其坎壈。人亦爲之嘻嚱。况余一介疎庸。顧何累於塵埃裏。涉千里而流飄。塊獨存於此地。私惆悵而自憐。撫余心兮何能已。西眷鄕關。怨川路之擁隔。北望帝邑。愁亂山之千疊。日欲落兮晻晻。雲浮浮而四合。風飄飄兮吹散髮。增余懷之悽惻。亂曰。已矣哉命也夫。天之戹我。又何傷悲。古城乎聊託契而棲遲。</text>
<title>贈詩[蔡得沂]</title>,<text>我本嶠南士。嘗居漢水濱。文章少黼黻。才德乏經綸。自愧井中蛙。誰云席上珍。幸逢堯舜主。願作羲皇民。不意太平世。怱驚邊塞塵。虜兵爭射日。凶甲亂翻銀。相府渾忘國。將軍但愛身。鵷行各四散。鳳輦竟南廵。顚倒類奔蜀。蒼黃慘去豳。三京陷賊藪。八路沈城闉。廟筭分和戰。廷僚混玉珉。今朝降胡妾。昔日觀周賓。已失君臣義。誰知父子親。堯天久閉塞。宋日長沈淪。鶴怨靑灣夜。龍愁紫禁晨。稽山辱轉深。旄葛歲幾新。切齒章臺月。腐心五國春。倒懸旣至此。屈膝將何伸。文物歸氊幕。朝廷乏縉紳。可憐禮義國。甘作犬羊鄰。主辱臣當死。世危生不辰。戴天無面目。何地著冠巾。戀主心長苦。憂時眉自顰。空橫滿眼淚。每被傍人嗔。祭臘難忘漢。蹈東憤帝秦。雖慚古節士。豈願小朝臣。寧欲棲巖穴。庶幾絶世因。移家鳥嶺外。架屋洛江垠。遯跡追弘景。藏名慕子眞。背山山崒崒。臨水水潾潾。荷耟耕春雨。投竿膾細鱗。隴頭黃犢眠。沙渚白鷗馴。富貴人休羨。生涯我不貧。淸風動葦荻。明月掛松筠。石上調鳴瑟。溪邊詠采蘋。自傾元亮觶。時將季鷹蓴。世事嗟無望。此意誰與陳。故人非俗類。高義異凡倫。忠信動蠻貊。誠心質鬼神。大明天下士。太白山中人。論契情彌切。忘形意益恂。裁詩唱和久。躡屩去來頻。憂國子何異。痛時我亦均。家嘗食晉祿。志豈忘吳薪。耿耿抱丹悃。昭昭拱紫宸。恨無奮旅靡。誰效哭庭申。攜手旣同好。有思宜共詢。語長難掉舌。氣短卻焦唇。醉後略言志。看來應不嚬。擡頭望北闕。雲霧橫蒼旻。</text>
<title>贈詩</title>,<text>虜騎橫遼海。凶鋒入漢江。誰爲鴈塞牧。皆作馬陵龎。去闕龍行窘。環城獸語哤。悲風捶帳殿。愁日薄旗杠。晉國皆嬰手。宋人竟主降。交盟豈有益。夷虜本無悾。鶴苦燕山雪。鳳愁鴨水瀧。馬頭恨未角。鰲背歎無矼。聖上雖嘗膽。廷臣柰似狵。倫頭尙未斬。岳鼓久難摐。已染腥塵域。誰稱禮義邦。不才庸瑣瑣。有淚落雙雙。追憶拜鵑杜。卻慚浮海逢。計愚河欲障。才乏鼎難扛。無地擧顔面。何時奮義幢。儒冠拜犬豕。魚目笑瑜玒。不見李刀贈。空歎范玉撞。心魂久散落。形貌頓胮肛。旣未拯時溺。何由致世厖。莫如棲巷谷。庶自扈蘺茳。剔岸開新址。架巖倚短樁。採山山矗矗。釣水水淙淙。玉灘三更月。竹庵半壁釭。每臨千仞削。自切一心𢥠。地僻嗟無友。逢君喜有跫。論懷同灑淚。把酒共傾缸。責善孰如敬。收心要在腔。靜中何所事。麟史對明囱。</text>
<title>次韻</title>,<text>我生初年計謾愚。奔走東華十載餘。萬事一夕奄忽非。日暮何處是晉墟。聞道翔鳳別有天。挈家秋風其下去。佳山好水晩計存。半生竆愁眉暫叙。百念皆從這裏灰。浮世功名知何如。丹崖翠壁畫圖中。最愛高臺撐碧虛。雪裏孤松晩節寒。霜後短竹淸影疎。三旬九食豈敢傷。十里防風惟一裾。有時漁樵出門去。穿林細路通前除。人間曆日是何年。山中但記移來初。君我俱是大明人。同志亦宜同門閭。今華莫問屋有無。處處丘園皆可廬。多病年來甘自蟄。愧殺君言太過譽。山薇野蔬美可茹。樂飢何必河之魚。積雪滿庭人不到。階前鳥跡久成書。今日幸得惠好訪。月下好對淸風徐。君看山頭數畞田。種藥春來當耦鋤。</text>
<title>題玉溜庵[元斗杓]</title>,<text>玉溜泉邊處士庵。淸幽獨擅嶺之南。種蓮杞菊松梅竹。全勝淵明逕有三。</text>
<title>志感 辛酉九峯毁撤時。有遺墟立碑之議。 [權萬]</title>,<text>先生天地本無家。成毁悠悠豈損加。玉溜庵前棲息地。碑成他日祭黃花。</text>
<title>焚黃日感吟</title>,<text>杜谷先生天下士。天官華秩荷隆褒。山中祭罷一惆悵。太白本高今更高。</text>
<title>起感[丁範祖]</title>,<text>洞天風珮響泠泠。玉溜庵深一士停。無復人尊大明國。可能身處小朝廷。幽期白嶽詩篇在。晩節桐溪感慨幷。父老休悲祠屋廢。少微星宿是精靈。</text>
