<title>秋日。送人赴關西幕。</title>,<text>迢遞關山路。蒼茫樹色秋。河橋相送罷。擊劍有餘愁。</text>
<title>映湖樓次韻</title>,<text>南州形勝此樓多。大扁何年額上加。遊客獨尋千古蹟。平湖廻暎萬人家。簾前日月浮元氣。檻外風烟護墨花。仍想西原恭愍木。寒郊龍倒舊休槎。</text>
<title>次李一卿步孟學士韻。寄題居安齋。</title>,<text>拋擲男兒釰與書。亂山深處結茅廬。淸江漁釣生涯足。浮世功名分外疎。出峀孤雲當戶牖。忘機群鷺近階除。十年臥病專幽趣。靜筭閑中月滿虛。</text>
<title>次詠蟬韻</title>,<text>纔從枯殼蛻新形。飛趁輕飊透杳冥。紗翼巧裁貂帽揷。玉喉淸飮露珠零。深藏響寂千山雨。薄暮聲催萬樹靑。移占別枝驚又散。倦情那得暫時停。</text>
<title>次唐詩白蒲鞋韻</title>,<text>抽白江蒲一掬春。巧成鳧㨾著來新。瑤裙捲趾疑回雪。錦襪生蓮不上塵。芳草落花遊跡遍。寶筵珍簟曳行頻。步虛輕脫層欄外。嫌拾苔庭笑倩人。</text>
<title>林湖雪馬戲 時與李友▣▣同遊</title>,<text>氷腹爭馳雪馬輕。瓊沙屭贔漲前程。銀河怳惚星槎逈。白玉玲瓏世界平。鮫室影忙飛電過。鶴汀聲雜駕飊行。更攜餘興仙臺畔。落日啣杯萬古情。</text>
<title>又步前韻。送李友▣還砥平。</title>,<text>征鞭催拂北風輕。回望郊原是去程。雉岳天連寒雪擁。龍門日落暮雲平。高低橋上攜筇渡。長短亭邊信馬行。伏枕湖山不相送。遠憑烟樹掛離情。</text>
<title>次潤州甘露寺多景樓古韻</title>,<text>蕭宮形勝擅南州。倦客來投一散愁。世界遠窮千里目。江山長帶六朝羞。閑情好古耽看鑊。遊脚忘疲更上樓。風引鍾聲何處落。夕陽瓜浦泛行舟。寺有梁武時古鑊。</text>
<title>甁梅次韻</title>,<text>氷作淸魂玉作肌。一枝春色折新移。片時偸得神功幻。殘臘栽收灞岸詩。滿酌暗香屛裏穩。一燈疎影枕邊宜。隔窻風雪花消息。契合天心只自知。</text>
<title>松京懷古次韻</title>,<text>開京王氣半千終。誰識三韓統合功。靈散扶蘇殘堞毁。名留滿月古臺空。君臣塚墓寒烟裏。家國興亡一夢中。天壽門前嗚咽水。共隨人事亦流東。</text>
<title>朴淵瀑布圖次韻</title>,<text>天磨形勝昔聞知。畫裏新看掛瀑寄。倒瀉千尋銀漢落。噓成萬丈霽虹垂。彌空亂雹光猶碎。振壑狂雷隱若馳。若使謫仙吟對此。定疑廬嶽海東移。</text>
<title>次百祥樓韻 四首</title>,<text>公餘時上仲宣樓。滿目風烟散不收。山聳亂靑迷野外。水明虛白暎欄頭。沉吟佛島依依樹。指點官津泛泛舟。遙羡海天鷗鷺隊。夕陽飛下占汀洲。流丹逈構罄倕工。縹緲華筵倚半空。滄海晩潮生野渡。藥山寒翠拱簾櫳。烟沉勝敗千年跡。城壓蛟螭百丈宮。壯志氣酣仍擊劍。影飜虹彩夕陽中。暇日開尊酒不空。憑欄送目海天窮。山河大地長吟外。宇宙千年一瞬中。楚峽雨誇神女艶。蘭臺風想大王雄。上頭崔顥題詩在。欲和陽春步未工。古有恭愍王及崔天使題咏。淸川江上最高樓。暇日登臨辦勝遊。關險類秦山北枕。地形環夏水西流。將軍鼓角秋聲壯。幽朔雲烟殺氣浮。扶醉武昌豪興發。撫鞘歌月故遲留。</text>
<title>枯木次韻</title>,<text>葉脫枝摧直幹堅。已敎生意斷黃泉。風霜困閱陰崖側。年紀無憑古老傳。溜雨蘚皮粧點裏。借春藤蔓蔭穠邊。明堂搆日要樑棟。倘有良工不棄捐。</text>
<title>水鍾寺次韻</title>,<text>禪樓金碧掛空層。樹杪諸天瑞靄凝。荒野兩江回氣色。亂山千疊倚憑陵。鍾聲風便停舟客。衲影雲隨步月僧。時有漢城詩酒輩。到來閒占一窻燈。</text>
<title>凌漢山城次韻</title>,<text>危城逈入白雲孤。縹緲樓臺望有無。日月近西天接海。山河壯北地邊胡。關門從古當要路。宇宙何時有丈夫。擊劍高歌依暮堞。眼空幽朔犬羊徒。</text>
<title>接梨次韻</title>,<text>憐渠氣味可同柯。裁剪枝査巧减加。新障客風深淺土。暗穿生意短長芽。人天妙造無殊道。雨露春容自一家。待得異時能結子。見先疎月滿庭花。</text>
<title>次一松堂韻</title>,<text>辭大夫封老大容。出塵孤翠聳層峰。四時春色尊中滿。長夏秋聲檻外從。巢葉鶴飜淸夜露。憇根僧住夕陽筇。風霜雪月襟懷爽。揔爲寒姿四美供。原韻 龍峰愛爾亭亭太古容。爲營茅舍近前峰。桃溪菊徑南東畔。獨鶴孤雲上下從。金粉落春花滿局。翠陰牽夜月懸筇。歲寒靑保風霜操。留作騷翁筆下供。</text>
<title>次李一卿韻</title>,<text>得失年來付楚弓。擧家移住縣城東。辛勤湖岸幽閑客。來叩柴扉寂寞中。寒勒塢梅庭有雪。夜吟山木壑生風。西窻低月蒼蒼色。秪恐淸樽倒影空。原韻纖月西峰掛半弓。起看天色漸開東。雞催獨坐無眠處。人在相思不見中。三逕古松經臘雪。五更殘角落梅風。千秋笑殺山陰子。興盡歸來一棹空。</text>
<title>又次李一卿韻</title>,<text>由來白雪賞音稀。壯志蹉跎世與違。門外洞雲深草逕。杖頭湖月滿苔磯。短衣自困歌長夜。一飯誰憐釣苦饑。猶是採春幽事悅。滿山煙雨蕨芽肥。</text>
<title>遯谷祠宇次韻</title>,<text>廟皃輪焉設廣庭。象賢多是樹風聲。文雄藥水論深淺。德卲師山較重輕。白日昭昭回遯谷。靑衿濟濟隘烏城。從玆香火千年地。想見槐陰一路平。</text>
<title>挽李士直</title>,<text>古貌古心冲淡溫。平生孝友幷行敦。靑山有素功名薄。陋巷安貧德性尊。仁壽七旬三歲欠。善家餘慶二孤存。王孫芳草溪堂路。想見歸來彷彿魂。</text>
<title>次李一卿採山藥韻</title>,<text>採春登岸復穿林。斷續疎莖傍水潯。細覔舊苗揩病目。間抽豐角愜童心。渾忘後壑斜陽暮。不覺前山雨氣侵。忙束澗薪烹又煮。獨憑幽興短長吟。原韻 龍峰攜得長鑱踏晩林。古臺西畔義湖潯。新芽細白方生意。異味香肥好頓心。腸潤五車文字積。體蘇三歲痁痾侵。同賞藥餌將誰與。花月思人費獨吟。</text>
<title>次李一卿爇松明韻</title>,<text>枯松夜夜替燈明。自是山童斫取成。庭績滿筐紅影重。案書當戶翠烟輕。看迷老兔懸空色。聽到寒雞唱曉聲。隣壁莫須分末照。淸光猶徹左丘盲。原韻家貧繼晷用松明。爇夜茅齋白晝成。嬌女績麻功欲奏。懶兒驚枕睡還輕。沉沉星斗埋雲色。漠漠湖山送雨聲。思使九州傳此火。照人肝膽破昏盲。</text>
<title>愛閒亭。次栢谷韻。二首</title>,<text>詩仙筆勢掃靑穹。壯氣噓成萬丈虹。橫壓遠峰雲與矗。直驅層浪海相通。憑將汗漫精靈聚。剩得陶甄造化工。高揭愛閑亭上壁。後來誰復較神功。亭下淸潭暎遠穹。渡頭橋影偃脩虹。陶樽賢聖醒還醉。世路東西夢不通。疎雨斷磯隨釣伴。夕陽歸艇喚篙工。白鷗長與閑無事。暮歲唯多靜養功。</text>
<title>悼馬斃 時送馬于金海衙。仍斃死。</title>,<text>惠養終違隨所致。玉山禾乏恨家貧。來從迢遞關山路。委棄蒼茫嶺海濱。聲斷舊槽嘶夜月。影空幽塞逐風塵。燕臺日暮知何世。留待千金買骨人。</text>
<title>次李一卿鏡浦臺韻</title>,<text>十里平湖莽蒼間。鏡中層翠倒涵山。臺留醉客看明月。風漾漁舟繫綠灣。天隔北辰群嶺合。地窮東陸大瀛環。紅粧故事成追憶。雲外笙歌斷不還。</text>
<title>贈禹兵使 弼漢</title>,<text>高牙大鉞擁豼貅。雄鎭山南七十州。居烈古城雲作堞。武昌豪興月登樓。江添大酒杯光滿。天貫長虹劍氣浮。從古晉陽爲保障。海門鯨浪入邊籌。</text>
<title>次攀桂亭韻 二首</title>,<text>早向淮南攀桂叢。山之幽處俗塵空。晴窻影對三更月。晩壑香聞十里風。亭揭紫陽名命後。境新寒水品題中。盤桓歲暮淹留意。招隱休煩服食翁。月裏仙人手植叢。天香無𧏮碧山空。誰知留待千年宅。更見攀援萬古風。生計等閒雲水外。春光自保雪霜中。還嫌多事淮南子。作賦曾招避世翁。</text>
<title>淸虛樓。次李一卿韻。</title>,<text>蕭疎縣樹帶秋陽。葉落江樓客嘯長。圍野四山屛展畫。暎波層壁鏡涵光。何年酒石飛雷斧。不分瓊漿澀羽觴。村羃暮烟歸興發。却辭淸讌古虛堂。</text>
<title>次蔚陵島韻</title>,<text>于山古國隔同天。雲海微茫指點邊。日盪扶桑波萬里。春深蓬島藥千年。漢庭久罷珠崖貢。徐福新牽象外緣。鯨路可期風一帆。九重今不候神仙。時日求島於我國。仙槎秋下蔚陵天。採得幽篁出日邊。龍未化騰投葛日。鳳應吹斷學簫年。波臣海底慳無奈。賈客關東市有緣。可惜千尋餘數丈。碧筒堪把贈詩僊。海客採島竹。湖商買來。一卿求爲詩筒。步韻以贈之。</text>
<title>次趙水原庭梅韻</title>,<text>苔査新得大連圍。移後繁花綻雨肥。交亞曉簷珠的歷。落來晴塢雪霏微。春涵北渚深尊影。月送西湖舊夜輝。香遍烟村何處盡。驛南雞岳翠嵬嵬。</text>
<title>留別李一卿呼韻</title>,<text>雄詞健筆少時才。擬待鵬程萬里開。病臥湖山仍卜築。夢尋京洛幾廻來。人稀載酒楊雄宅。世遠懸金郭隗臺。衰鬂漫緣憂世白。望雲猶自戀蓬萊。</text>
<title>送關東方伯</title>,<text>高牙大鉞指關東。路出靑門望不窮。回首銀臺歸夢裏。到頭眞境遍遊中。秋高楓嶽連天白。曉闢扶桑出日紅。瑤草琅玕時可採。倘分京洛病衰翁。</text>
<title>入直武所試院作</title>,<text>白首官閑老判事。皺眉新鎖直廬愁。覊懷吟惱池塘雨。客夢悽驚蟋蜶秋。錚鼓却嫌催硯墨。漁樵仍憶臥滄洲。遲廻孤負歸山計。爲是君恩未盡酬。</text>
<title>丙子九秋贈友 三首</title>,<text>取適江湖動十年。相逢京洛說依然。閑情醉送黃花節。佳句吟成白雪篇。秋肅終南霜月逈。夢淸長樂曉鍾傳。有時顚倒衣裳出。誰識前身是謫仙。江樓一別想依然。靑眼重逢白髮年。中散雅懷常自傲。茂陵▣病更誰憐。家鄕夢遠千峰月。城郭秋深萬戶烟。回首世間渾未賴。不如歸卧泛湖船。江湖疎放舊容顔。簪笏相看法從班。曳履風聲回北斗。開尊秋色對南山。明時混跡風塵下。華髮忘形爾汝間。可惜餘光猶未借。菊花應笑獨醒還。</text>
<title>登高。次杜韻。二首</title>,<text>落日初窺大壑哀。數行驚鴈叫群廻。天連漢水秋陰合。烟雜終南暮色來。憂世百齡成短髮。望鄕千里有高臺。寬心遣興無過酒。强把淵明泛菊杯。閒愁端合酒盃寬。偶得佳辰一日歡。已辦靑錢攜滿袖。不妨華髮醉欹冠。秋陰半雜山容晩。落照初窺海色寒。仍想後時今夕會。菊花生世幾回看。右。次杜九九韻。</text>
<title>次韓弼卿述懷韻</title>,<text>莫問尊中聖與賢。一生醒醉送吾年。路窮楊子人間世。門掩終南洞裏天。富貴視雲心自穩。江湖入夢趣猶專。堪嗟司馬還多病。不禁秋霜上鬂邊。</text>
<title>秋盡。次杜韻。</title>,<text>霜落晴空鴈叫廻。故山遙望白雲隈。賦成王粲消憂句。菊泛淵明遣興杯。三角暮陰隨野濶。廣陵秋色渡江來。何當穩對林湖月。好向烟波一棹開。</text>
<title>罷武所試塲後。述懷。</title>,<text>毬塲掇後卽無事。歸臥終南山下居。誰問綈袍寒范叔。自憐消渴病相如。匡時大計今無用。報主初心竟落虛。遙想義林湖上月。夜深松桂影和疎。</text>
<title>秋興。次杜韻。三首</title>,<text>蕭瑟秋風動晩林。葉疎山木影森森。漏雲西日回殘照。落浦霜鴻帶朔陰。雙鬂白添憂世髮。亂峰靑散望鄕心。綈袍范叔寒無贈。正急淸宵月下砧。秋色荒凉暮景斜。漢城覊客惜年華。天邊鴈側行疎影。井上梧乾葉脫槎。憂國自然搔白髮。望鄕愁絶淚淸笳。遙憐三逕迎霜菊。倘保馨香晩節花。寥落寒山對夕暉。片雲成雨洒霏微。天邊斷鴈聲聲散。井上梧桐葉葉飛。方朔好諧人共棄。步兵多放世相違。秋來倍憶江湖勝。香稻初黃紫蠏肥。</text>
<title>贈金順天 澋</title>,<text>明時甘作棄捐人。我輩爲官只爲貧。聖代若無收廢士。病鄕那得及君身。江南萬里音塵絶。湖右三秋夢想頻。欲繫翔鴻傳尺素。夜深天月兩鄕新。</text>
<title>冬至。次杜韻。</title>,<text>長安是日逢陽至。時序偏驚客䆠人。城市已成黃髮老。江湖無計白鷗親。寒鍾曉響來長樂。淸珮朝儀賀紫宸。日漸看長官獨冷。倦遊聊自滯西秦。</text>
<title>次杜韻。戲徐友監農。</title>,<text>西疇農䲩告余春。催出晨炊褥食人。肯厭苦筋當僕役。定知甘味入吾唇。時逢穎水騎黃犢。遠想鄒郊泣瑞麟。村酒數盃幽興足。醉歸天地一閒身。</text>
<title>暮春登城西峴。次杜韻。</title>,<text>春日遲遲引興長。滿城花柳散晴光。烟中斷續鶯聲澀。風外高低蝶翅香。景物惱人輸不盡。形神忘世醉無妨。鄕關消息應來少。正値歸鴻絶楚湘。</text>
<title>嘆老馬</title>,<text>含寃伏櫪兩眉低。舊蹴長途尙不迷。逸氣望風雲岱北。羸形隨夢海天西。却憐由我多年蟄。空見閑渠萬里蹄。秋日湖山人與老。玉壺吟罷聽寒嘶。</text>
<title>思鄕。次杜韻。二</title>,<text>鄕心常寄白雲歸。春入江湖遠想微。堤柳雨晴鸎亂囀。岸花風暖蝶紛飛。垂竿漁艇身猶往。載酒仙臺計自違。知得遠郊烟草路。牧童牛背掛簑衣。驚看節序換新衣。遠客今春又未歸。浮世功名眞過笑。故園消息到來稀。花迎杜宇東風發。蝶化莊生曉夢飛。波濶義湖舟泛穩。可堪朋酒賞心違。</text>
<title>早朝。次杜韻。</title>,<text>九門晴曉開宮殿。春繞烟花禁苑桃。萬歲聲浮淸漏散。千官影靜彩雲高。朝儀肅穆輕搖珮。天問從容細破毫。誰掌絲綸裁五色。鳳池猶有一奇毛。</text>
<title>愁字次杜韻</title>,<text>淸愁和病惱吾生。不耐窮秋遠客情。有酒乍傾忘鬂白。無眠直坐到天明。孤懷歸湖岸。危跡遲遲滯漢城。回望白雲紅樹色。萬重山外又山橫。</text>
<title>退朝。次杜韻。二首</title>,<text>帝座遙回天北極。霱雲晴影動龍旗。爐煙細篆排祥帖。宮柳柔添補衮絲。日暖華磚朝散後。風恬綺閣漏稀時。歸來左掖門前路。爲惜花陰步步遲。天中華盖五雲垂。帝座高臨肅穆儀。淸漏玉聲花外泛。畫旗龍影日邊移。中官奉勑詞臣跪。宮女開函聖主知。朝罷歸來靑瑣路。更隨仙仗向蓬池。</text>
<title>省中。次杜韻。二首</title>,<text>銀臺金馬絶參尋。窻對南山送夕陰。雙闕鳳甍垂翼翼。九闕魚鑰鎖深深。鬂邊虛白憂時髮。日下常丹報主心。時序忽驚秋色晩。禁林仙橘欲添金。御溝流水漾新淸。北闕春陰復禁城。風外柳絲靑影散。雨餘花萼紫烟生。紋窻繡戶宜斜日。乳鷰鳴鳩弄晩晴。白首華簪堪一笑。暮年官位是何名。</text>
<title>次韻偶吟</title>,<text>褰衣帶月步春宵。滿地晴烟翠欲消。吟惱一庭花獨樹。眼迷雙澗柳柔條。樽前白髮添愁長。湖外靑山入夢遙。何處可窮千里目。駱峰投杖擬明朝。</text>
<title>中宮殿迎祥詩</title>,<text>天中華盖並回西。紫壺重瞻壁斗齊。春入彤庭佳氣藹。香浮翠翟瑞烟迷。儀新坤極光垂範。樂奏關雎化洽閨。淸曉千官爭賀祝。殿東紅暈上榱題。</text>
<title>贈徐友致章</title>,<text>新築墻西土一堦。數椽茅屋足生涯。日高疎糲惟隨分。春晩圍碁自遣懷。元亮菊栽幽逕畔。邵平苽種小山崖。東風雨後添交翠。散步庭陰濕草鞋。</text>
<title>次杜韻。示徐友致章。</title>,<text>煙柳依依出短墻。暎階幽草碧聯芳。三杯酒引春天興。一局碁消晝日長。禽戀粒餘馴近砌。蝶窺花落趁飛香。還嫌城市囂塵起。思臥漁村漢水傍。</text>
<title>遣懷。次杜韻。</title>,<text>長安三月始開花。芳草萋萋綠映沙。官冷自嫌留遠客。鬂衰猶惜送年華。天中夜久吟邊月。湖外春深夢裏家。塵世卽今無樂土。路傍宜種邵平瓜。</text>
<title>贈病妓碧僊</title>,<text>憐渠何歲落玄花。索莫形容蔕怨嗟。指法已成留玉軫。聲音無改轉珠歌。生涯夜永人間世。好事春多夢裏家。欲說異時行樂處。曲終忙斂鬢鬖髿。</text>
<title>暮春。次杜韻。</title>,<text>時序怱怱冉冉中。客窻晴曉對春空。三條路控長安市。萬戶花開一夜風。靈醁未醅千歲綠。衰顔已換少年紅。回看塵世無他况。遠想淮南桂樹叢。</text>
<title>陪駕至仁和門</title>,<text>蓬萊宮闕五雲輝。咫尺威顔對不違。玉珮聲搖丹鳳陛。星冠影襯衮龍衣。上林春晩煙花爛。高閣風淸晝漏稀。朝罷長裾垂曳地。日斜催步院邊歸。</text>
<title>客中聞兒被厄</title>,<text>天時人事付悠悠。肎向天人說怨尤。縲絏孰云非爾罪。危機無不自吾求。春來心緖增煩惱。老去眉端鎖隱憂。王事絆身歸未得。夢魂長往萬山幽。</text>
<title>部駕過春享</title>,<text>淸齋春禴薦明馨。肅穆儀瞻太廟庭。燈燭薰天回似晝。衣冠當曉轉疑星。雲邊響奏和安樂。殿上香浮陟降靈。聖孝至誠宜受福。百僚爭祝萬千齡。</text>
<title>聽新鸎</title>,<text>依依垂柳綠烟晴。隔葉聲新宛轉鶯。調絶羗兒輕弄笛。曲偸秦女澀彈箏。啼春曉送官愁醉。喚午時回客夢淸。遷木止丘惟任爾。乍聞南陌又東城。</text>
<title>題權友 揆 故居</title>,<text>烟霞深鎖洞天幽。人去溪山故宅留。前度客鞭投熟路。舊栽花木入新愁。淸樽未計同醒醉。佳句無期共唱酬。仍與季方相對坐。謾思疇昔說悠悠。</text>
<title>冬至。次杜韻。三首</title>,<text>璿璣回斡玉衡催。陽線潛隨七日來。風撼海鯤纔動鬣。氣衝葭琯暗飛灰。寒陰漸散宮中樹。春意將回嶺上梅。相賀千官爭獻祝。紫霞流暎萬年盃。纔見群陰已剝床。斗邊烏兔錯成行。春心暗動梅梢雪。靈醁仍涵栢葉香。佳氣逈浮堯殿陛。日華遙暈舜衣裳。午門晴曉千官拜。爭賀銅壺刻漏長。仙臚淸曉引鵷班。爲賀陽生拜聖顔。歲暮窮陰將代謝。天春一線復來還。丹蓂綻葉祥雲裏。珠斗回杓紫極間。朝罷星書攜滿袖。遠引歸使寄鄕山。</text>
<title>統軍亭。次韻。</title>,<text>釰氣成虹帶晩晴。百年多難獨登亭。關山萬里風塵色。戎虜千群鳥獸形。江左古今同洒淚。域中天地一圍枰。轅門鼓角秋聲壯。都督新添十萬丁。</text>
<title>舒憤</title>,<text>曾驚胡馬飮天津。日下憂生海上春。滕國地形齊楚間。太王皮幣古今因。誰家南北非連塞。何處乾坤不起塵。欲向蓬山將避世。還嫌採藥未歸人。</text>
<title>島潭。次金子益韻。</title>,<text>江心氷柱屹然生。鼎峙奇形倒影明。浮蜃定隨鮫宅改。斷虹須待玉樓成。秦船三島空長往。遼鶴千年誤一鳴。遙望赤城霞色動。仙風吹散步虛聲。</text>
<title>禹參判改葬挽</title>,<text>淸操能繼舊家聲。晦跡松楸樂一生。昏世十年曾抗節。鉅公當日亦知名。崇資已報春齡滿。贈秩添蒙仲子榮。湖右新阡遷兆遠。海天飛雪洒雙㫌。</text>
<title>挽人 代作</title>,<text>太白深樽對月天。一生醒醉意翛然。交情每接慇懃際。豪氣頻推佚宕前。三縣佩符春一夢。六旬歸化夜千年。新春京口丹㫌發。謾把哀懷寫短篇。</text>
<title>丙子仲春。與李一卿，辛仲吉。會義原東閣。卽司馬同一榜者也。借得官酒。偶成榜會。亦一勝事也。各占一律。以述舊懷。時李斯文義鎭。在座呼韻。</title>,<text>僊洞題名一夢疑。重逢握手問生涯。偶然東閣三人會。政是春風二月時。湖上共遊眞有數。世間相對揔如期。兼將戚誼慇懃話。爲把溪藤寫短詞。</text>
<title>謫居廣陵時。次蔡伯瑞韻。二首</title>,<text>明時不保故山廬。却向江村已卜居。分外功名知歲晩。閒中身世遂吾初。逢人未共忘憂酒。信手聊飜引睡書。遙想龍門風月夜。一般淸味問何如。孤臣放逐泣愆尤。分外功名更不求。鄕國夢回勞遠想。故人書到說離憂。天時謾負黃花節。世事堪嗟白髮秋。看見西風吹漸緊。布帆思欲泝江浮。</text>
<title>次李一卿韻</title>,<text>晩歲功名入棹頭。溯洄疇昔省愆尤。客來休說人間事。兒戱停吟峽裏謳。詞賦豈期懸日月。罪知惟信有春秋。思將千斛樽中酒。滌蕩胸襟萬古愁。原韻 龍峰詩酒湖山共白頭。晩年交道少庇尤。解唱陽春酬郢曲。羞吟綠水和江謳。鵬程已倦圖南翼。龍峽頻驚病裏秋。會做此心持好㨾。不關人世有無愁。</text>
<title>次李一卿寄來韻 三首</title>,<text>閱盡龍圖案上編。寸丹猶昧亦堪憐。參同寶契眞傳妙。般若靈乘謾說玄。三畒谷春犂雨後。一竿湖月釣船邊。鹿門煙樹相思久。病裏空敎片夢懸。晴窻點檢絶韋編。白首窮經獨自憐。靈丹暗符姬帝素。客嘲時到子雲玄。氷殘谷口春歸後。雲捲天心月對 當作到 邊。思訪文園衰病客。一錢催使杖頭懸。時檢羲經纂次編。老懷衰病各相憐。秋風頓覺蘇消渴。白首偏傷草太玄。山色曉看簾捲外。水聲宵響枕高邊。仍思靜裏年光度。只在東西日月懸。原韻華簪衰髮對犧編。尺水長鯨我獨憐。陰陽理氣看消長。龜馬圖書闡妙玄。山靜白雲舒卷裏。草生幽逕往來邊。春風虛度相思日。又看西峰落景懸。</text>
<title>在槐安時。以七事述懷。</title>,<text>白首槐安老太守。還漸七事一無能。年逢水旱農難盛。邑有流亡戶未增。政拙敢稱軍務擧。敎弛寧望學校興。不均賦役煩詞頌。只聞奸猾謗喧騰。作吏年來何所事。自嘆疎拙乏才能。天寒郡舍知春早。日晩官厨見客增。聽訟敢稱明正决。催科方覺怨聲興。何當擺脫鞭書務。快試長程綠駬騰。</text>
<title>訪覺淵寺。次韻。</title>,<text>莫歎平生賦命奇。題詩須學謝玄暉。尋眞自喜雙溪近。到寺何嫌一逕微。浮世功名知已晩。故人文契肯相違。夜深樽酒仍無寐。直待前峰月入扉。</text>
<title>覺淵寺。次瓢翁韻。</title>,<text>此生深愧學無淵。虛送人間五十年。壯志今銷金繫肘。衰容漸覺雪盈顚。黃堂半日偸閑隙。簫寺良宵闖法筵。花雨三千眞世界。終當投紱好參禪。</text>
<title>衙壁畫虎。次韻。</title>,<text>曾聞猛獸渡河空。壁上驚看造化工。斑類南山濃霧豹。靈侔滄海襲雲龍。將軍矢下威還振。馮婦車前氣不窮。電入雙眸毛髮聳。耳邊如聽嘯生風。</text>
<title>見城西桃花盛開。次杜韻。</title>,<text>夭桃處處亂橫斜。風暖烟和眼不遮。碧媚池塘高下樹。紅嬌庭院淺深花。紛紛戲舞探香蝶。逐逐輕飛落蔕鴉。遙想武陵春爛熳。滿源霞色映千家。</text>
<title>晝夢。次杜韻。</title>,<text>虛舘無人晝寂然。枕高淸簟穩春眠。頹形不解留神往。化蝶焉知謝世牽。頃刻榮華趍九闕。片時勳業樹三邊。醒來倘怳難爲狀。急索床頭換酒錢。</text>
<title>次朴一和韻 二首</title>,<text>勝日尋春郭外亭。隔林馴鶴刷翛翎。碁翁短髮閑垂白。騷客吟眸共對靑。雨後烟花籠苑樹。夕陽風颿破江萍。悠然更發留連興。欲取峰霞入酒甁。尋花問柳到郊亭。乳燕鳴鳩振弱翎。憂世百年衰鬂白。望鄕千里亂峰靑。長天鳥去日斜棧。春水船歸風皺萍。遊客不堪遙送目。倦懷時把絲甁。</text>
<title>登八角亭。遣興。</title>,<text>三月東風微雨後。滿城花柳正堪看。芳樽幸借尋春興。勝友仍成盡日歡。楊渡水回荒野合。桂陽天盡遠峰寒。須將短髮酬佳節。自是人生一笑難。</text>
<title>咏新燕。次杜韻。</title>,<text>花暖風輕漢北春。識巢梁燕語來新。啣泥箇箇忙回逕。掠水飛飛更近人。微物亦知尋杜日。故山無計臥吾身。晴窻注目憐雙影。盡日吟頭自岸巾。</text>
<title>次牧丹韻</title>,<text>東君去後愁無主。誰識花中別有王。紫盖紅旂仍赤芾。一作舃 朱衣絳幘又丹裳。和光宛帶春風面。佳氣回浮瑞靄香。解惜繫華成一幻。正逢炎運住年芳。</text>
<title>燕</title>,<text>春日玄禽趁社歸。近人梁屋語依依。綠簾庭院啣泥入。靑草池塘掠水飛。偏愛弱翎沾細雨。更憐雙影帶斜暉。慇懃巢乳秋還去。明歲來期且莫違。</text>
<title>春草</title>,<text>郊原何物占春回。消息先看碧草新。湖外雨晴高下密。院邊煙鎖淺深均。踏橋女兒香生襪。懷土王孫淚滿巾。別有閒人探勝趣。小車行處色如筃。</text>
<title>次韻述懷 二首</title>,<text>園有松篁塢有梅。幽居新卜小山隈。春深岸草牛閑放。雨細汀沙鷺下來。世事無牽思勇退。君恩未報姑遲回。何當穩把苔磯釣。笑筭溪魚貫柳腮。爲愛江南野岸梅。結茅深住水雲隈。初從郭外尋春到。仍作花源避世來。幽逕吠稀穩卧。晩林飛倦鳥知回。溪沙雨後專閑趣。魚動新磨上釣腮。</text>
<title>野望。次杜韻。二首</title>,<text>極目平郊落日西。雨餘烟樹日凄凄。天虛逈匝千重嶂。江濶遙通百道溪。回岸行人何處去。隔林幽鳥盡情啼。衰翁不覺吟魂倦。移步時時杖又攜。霽後郊原堪可眺。强扶藜杖出平橋。江頭雜樹村烟羃。天外群山鶴路遙。三月客懷開半日。一年春色盡今朝。還忘白髮偏蕭索。爲惜殘花更挽條。</text>
<title>雨不絶。次杜韻。</title>,<text>春城雨色曉霏微。風颺絲絲向暮飛。穿砌碧新知草長。落泥紅碎見花稀。棲禽幷坐愁交翅。野客相隨困濕衣。猶喜前江波漲綠。不妨湖海掛帆歸。</text>
<title>次子美撥悶韻。兼用其體。</title>,<text>纔見春歸又送春。如何不飮作醒人。盈頭短髮非關興。到手深杯莫問廵。焉知狂藥傷心性。但覺高歌有鬼神。取醉欲消愁萬斛。憑將餘瀝潤焦唇。</text>
<title>次子美卽事韻</title>,<text>兩岸東風山上亭。春陰無際浩冥冥。上林苑中好樹綠。溫祚城邊芳草靑。遊倦自憐司馬病。愁多却笑屈原醒。近來世事不須問。淸濁誰能分渭涇。</text>
<title>悼奴馬死</title>,<text>鈴下蒼頭櫪上驄。暮年依倚任西東。載藩力重靑山雨。執策蹄輕紫陌風。久信幷勞誠有戀。誰知同病藥無功。一春相繼歸塵土。可禁楊朱泣路窮。</text>
<title>聞北京運賑有感</title>,<text>東海三年欲漲灰。臥薪民物望添杯。齊倉萬斛方舟下。遼糶千鍾並轂來。何代獨無皇帝賜。此途元是相公開。域中如有西山餓。餐粟人能不愧哉。</text>
<title>次姜叔久韻 二首○宰望</title>,<text>城西歸客趁歸期。政是文園卧病時。多意靑眸揮麈話。只愁華髮杖藜隨。林花巧着含烟蔕。陌柳靑垂裛露絲。三月春光猶未晩。待君開戶償新詩。世間離合本無期。我輩相逢問幾時。匹耐對花吟寂寞。獨憐看月影追隨。春來京洛彈歌鋏。夢入江湖理釣絲。遲暮久違靑眼話。隔隣時和故人詩。</text>
