<title>潮汐</title>,<text>來時元有信。去處杳難尋。欲知消長理。鷗鳥自無心。</text>
<title>憎蚤蝨</title>,<text>赤憎蚤蝨客中驕。如幸頑僮力不樵。短褐破縫欣聚集。塵床寒席喜輕跳。濫侵戀母思家夢。多亂驚風怯雨宵。羇旅瘦肌麤硬甚。豈如香閣掩羅腰。</text>
<title>病馬</title>,<text>驅馳泥途爾玄黃。戀主偏憐性㝡良。瘡脊潰任蠅聚啄。禿蹄穿逐鐵生芒。隣翁請駕樵蹊險。官吏求騎客路長。搖首掩瞳皆厭聽。只知揮尾傍垂楊。</text>
<title>碧梧 皇考所手種</title>,<text>舊業惟餘鳳宿枝。老根危榦小庭陲。纔經兵火寒皮剝。先帶秋聲病葉隳。手澤遠悲初日種。家聲追識後年思。中心蘊得南熏譜。欲爲吾民獻玉墀。</text>
<title>次贈柳灝叔 淳</title>,<text>江上荊扉掩夕暉。一緘情札報寒微。閒愁欲散新題律。短夢初回舊釣磯。爾有緣詩休恨瘦。吾非勝戰不求肥。孤舟明月猶多病。漁父沙鷗願莫違。</text>
<title>無題</title>,<text>貧如原憲病長卿。世與相疎白髮生。營事幾多逢鬼笑。語詩無得見人驚。嵇康懶處惟憐酒。寗武愚時不願名。殘菊庭前霜月皓。漉將新潑度寒更。</text>
<title>歲朝日。聞李水部廵有題。</title>,<text>水部旌旗下海城。沸天簫鼓凍雲晴。田家雞豕供厨味。山麓荊榛拓驛程。極浦波濤催壯勢。樓船鉦角助威聲。佳人更起油幢興。夜盡彈琴奏太平。</text>
<title>贈魯公識</title>,<text>一揮長劒倚船樓。家國何忘共戴讎。蘭雪淸風曾蹈海。瓊琚錦軸又觀周。彎弓自許奇男子。投筆非求定遠侯。剗却六鼇背上土。平鋪鯨浪作安流。</text>
<title>卽事</title>,<text>蕭條茅屋小江西。罷釣歸來草滿隄。種菊只期秋至醉。培梧猶待鳳來棲。故人祿厚書皆絶。隣舍醅開榼又提。散髮竹床無外事。拾將園果護兒啼。</text>
<title>傷田家 二首</title>,<text>誰云耕鑿是身閒。田利坑人役役間。路上逢迎皆蹙頞。村中言語盡愁顔。食霞寶訣傳何易。辟穀眞方學亦難。到處生涯牽世累。咄嗟空說武陵山。人間何處武陵山。漁子迷來去亦難。農圃只緣營口腹。征徭皆是損容顔。無袴幾歎寒宵裏。有淚空揮野草間。籬破又愁防虎豹。勞勞未得夢中閒。倒韻</text>
<title>客舘步宋善甫用樊川韻 城外有鐘沉淵。上有鳳凰山。</title>,<text>半天陰雨半天晴。望裏江雲斷復橫。怪說川流鐘帶號。愛看山石鳳留名。煙牽晩色沉官樹。角振餘聲出海城。花老東臯歸未得。病驢如憶小橋行。</text>
<title>次謝邊使君 潝 來訪 二首○時中營以𩝝鍊事。調兵於農時。故詩及之。</title>,<text>陋巷生涯異隱淪。半生樵釣是窮民。惟欣陳席多高轍。不慍蕪甑宿厚塵。錦里兒童能喜客。將軍禮數好寬人。庭除急掃鋤春草。舊釀新蔬問婦頻。野郊無畒水瀰淪。府帖何催負耒民。芳草似煙花似海。綠楊如夢雨如塵。村中怨婦空呼犢。桑上啼禽謾勸人。誰告營官農務急。失時𩝝鍊不爲頻。</text>
<title>用前韻求兎紅元 使君初製兎紅元。盖治痘之良劑也。</title>,<text>靈精元自月中淪。偸藥初心爲下民。盧走已空三窟固。龜愚曾洗五臟塵。漬腥血處甘磨頂。推赤心來喜置人。帝孽自藏煩惱勢。將軍不必請來頻。</text>
<title>求任子活水墨</title>,<text>仙禽警露西湖夜。旅鴈銜蘆楚澤秋。寒緊竹叢眠鵲起。月低梅塢暗香浮。蹇驢醉客尋橋路。篛笠漁翁艤釣舟。縮地餘風專妙手。輸來一紙是吾求。</text>
<title>次林子愼 𢢜 冬霧韻 子愼以點馬使行縣。先寄詩。後改名㥠。官至觀察使。</title>,<text>雷鼓窮陰霧氣蒸。海風吹渙欲寒凝。嚴程驄馬憂何盡。石逕蹇驢病不勝。人事世情堪下淚。天灾時變豈無徵。蒼生係念惟君在。爲喜朝陽鳳始騰。</text>
<title>贈別子愼 時宋君希立在京邸。無剪拂之人。玆與子愼論其有大功。故詩中勖之。</title>,<text>病客偏多惜別愁。王程未挽思悠悠。行塵漸遠香留席。鴈陣初分雪滿洲。冀野豈無空馬語。齊門亦有飯牛謳。彩衣舞罷還朝後。瓊草將期明月樓。</text>
<title>挽李司果 至和。公杖靑蔾枕瓦石。又以醫藥活人。以其舊基入于鄕校。</title>,<text>榧樹亭前久斷跫。拜牀重哭鹿門龎。藜筇尙在遊南畒。石枕猶餘卧北牕。談笑未驚人滿席。酢酬誰盡酒盈缸。城東舊宅安先聖。花竹依依蔭澗淙。</text>
<title>贈金陵太守尹汝直</title>,<text>客路金陵已夕暉。黃堂衙罷掩官扉。空塘霜重枯荷冷。古木風多病葉飛。咫尺鈴齋天上遠。十年眉宇望中違。孤懷更起離羣鴈。彈鋏中宵露滿衣。</text>
<title>次贈宋善甫</title>,<text>君居渭北我江東。卜吉何時送此窮。老驥幾思馳遠道。大鵬惟擬運長風。愁邊鬢髮空添白。鏡裏容顔已斂紅。二賦欲題回首望。蓬萊宮在五雲中。時善甫勸余赴擧</text>
<title>寄洪困窩 瑋○二首</title>,<text>霜臺曾耐繡衣寒。病起殊鄕又歲闌。瀛海城西非故國。暮雲天北是長安。難禁白髮千莖長。幾破銀輪七寶團。人事花枝看塞馬。且傾村酒任甘酸。竹林門掩縕袍寒。殘菊籬邊屬歲闌。衰鬢驚霜愁有賴。半衾如鐵夢無安。笙歌世路人情薄。雪月山中桂樹團。目極征雲思不見。强伸長句寫辛酸。</text>
<title>次困窩松栢吟 困窩用此韻吟松栢寄示。仍步還。</title>,<text>蒼髯龍骨飽苦寒。操節相期指歲闌。培植不須人力直。扶持元賴化工安。山中風雪自多苦。根下伏苓今幾團。悅茂相依終大用。和鹽豈比鼎梅酸。元韻松栢蒼蒼老更寒。屈盤鼇背歲頻闌。春園桃李根難托。冬嶺風霜性所安。楚客來看殊脉脉。海蟾留照冷團團。他年會見支傾廈。不是尋常任作酸。</text>
<title>次別困窩</title>,<text>雲愁樹恨更牽纏。風水蓬萍若有緣。孤夢幾迷尋嶺路。春潮空帶泛湖船。離亭柳綠東風急。水驛蓑寒夜雨懸。扣枻高吟多別思。隔沙驚起白鷗眠。元韻自歎疎愚病又纏。半生城市苦無緣。三秋瀛浦逢知己。十載煙蓑理釣船。湖嶺去留山萬疊。海天愁望月孤懸。興陽南畔參差樹。夜夜遙應入客眠。</text>
<title>海上久雨</title>,<text>江雲帶雨江風生。江水欲波沙渚鳴。病客篷牕夜向晩。漁翁榔板眠初驚。鹽洋星嶼早潮急。桂棹蒲帆孤艇輕。垂釣荷蓑魚不食。白鷗相別櫂謳聲。</text>
<title>海潮</title>,<text>一日東西南北風。江潮有信古今同。涵星夜退歸傾海。帶雨朝回打繫篷。呼吸氣充天地內。盈虗道長望弦中。欲探至理無憑問。空向滄浪作釣翁。</text>
<title>辛亥春帖 光海三年</title>,<text>辛亥年回天地春。喜均朝野一時新。北山狼虎曾藏跡。東海鯨鯢更戢鱗。日月爲遲唐宇宙。風雲長會魯君臣。醉鄕本是無租稅。奉母吾期壽域民。</text>
<title>別林楓潭子立</title>,<text>病客春愁自有餘。况堪風雨滿庭除。剛腸惜別回回斷。白髮緣何種種疎。芳草落花難可禁。去鴻來燕不同居。錦南瀛海非迷路。夜夜相尋是夢歟。</text>
<title>贈辛蛇渡 荃 罷戍還鎭 癸丑唐差官下釜山。舟師皆赴。辛自其行而還。</title>,<text>妖氛淨盡海無波。出塞歌爲入塞歌。魚鳥盡驚新綵鷁。神明猶護舊靑蛇。城連瀛岳秋光爛。軒壓滄溟月色多。醉裏開懷還告別。一船風露滿漁蓑。</text>
<title>過天燈嶺</title>,<text>危棧縈雲等太行。五丁神力未開平。馬前大嶺堪頭痛。屐下寒泉欲耳淸。望海始憐徐巿死。捫星更恐老人驚。啼禽莫報春消息。峽口陽坡草未生。</text>
<title>次贈朴上舍汝安</title>,<text>江雲渭樹隔迢遙。病客離愁又一宵。半壁殘燈明劒匣。小簷疎雨逗梅梢。孤舟繫岸鷗能看。兩鬢逢秋雪不消。樽酒論文更何日。夢魂迷路斷橋潮。</text>
<title>高汝爕宅聞汝安洛行。悵然用前韻以寄意。</title>,<text>芳草東風客路遙。醉和孤夢度殘宵。花催酒病呈驢背。春帶離愁結柳梢。鴈去北天新燕至。雨晴南浦片霞消。松亭塊倚多心思。獨有沙鷗傍晩潮。</text>
<title>愁頭津次任子混韻。寄朴兼善，宋善甫。</title>,<text>層波小艓醉眠經。岸草汀沙白半靑。津樹漸迷村樹合。早潮纔退晩潮生。山前客路連春色。海上離愁入櫂聲。說與江鷗傷別意。人間會合不爲輕。</text>
<title>長善齋。用前韻贈兼善。</title>,<text>爲愛吾君癖傳經。十年咬得菜根靑。擊蒙孰不尊師表。易子今能仗友生。冀辨異同魚魯字。先分脣齒上平聲。他時若見趨庭對。百鎰黃金報亦輕。</text>
<title>次謝林楓潭</title>,<text>年年惟長別離愁。白髮蕭蕭又一秋。北去山雲空聚散。東流江水自沉浮。淸風玉軫思楓岸。細雨蓑衣卧釣舟。樽酒論文何日是。人間此外更無求。</text>
<title>寓意</title>,<text>人事爲爲不盡爲。身分千億亦難支。功名欲賭元無命。富貴將求更負期。雲去雲來惟遠岫。花開花落但空枝。莫如三萬六千日。中酒頹眠無慮思。</text>
<title>題醉隱堂</title>,<text>睡隱相尋醉隱堂。眼靑頭白更顔蒼。糟丘乃是無憂處。風月殊非有稅鄕。枕地衾天魂夢宕。籌花杯橘笑談香。百篇一揮長濡首。莫看詩狂作酒狂。</text>
<title>次謝柳竹潊</title>,<text>會津春水通瀛海。鳳石朝霞接錦山。夜夢幾迷途路半。世情都付雨雲間。窮愁爲洗松醪白。老病時扶竹杖斑。擊磬高蹤尋不得。須君寧與問丹還。元韻涑翁以後丁司馬。屋下淸流屋上山。萬事不求漁釣外。一身那入是非間。別來瓊草幾回綠。各咄鬢華今已斑。樽酒論文更何日。詩成付與鴈南還。</text>
<title>舟中偶吟</title>,<text>孤舟長占少風波。倚棹時時欵乃歌。避世欲尋武陵水。較才羞畵舍人蛇。松醪賭醉村村足。風景隨時處處多。罷釣歸來江雨細。浪吟驢背不須蓑。</text>
<title>次謝林楓潭 二首○時余自海上方回舟。楓潭已來家走報。</title>,<text>吾兄才調駕三豪。人世誰知有鳳毛。驥步幾思天路遠。龍光空射斗墟高。論文細酌壚頭酒。乘興閒揚雪裏舠。曉月殘星明一榻。長風吹去坼雲濤。漁翁罷釣逐潮回。倚棹吟詩苦未裁。傳說好賓臨陋巷。急呼山婢問深杯。空庭葉戰殘秋在。小竹巢寒宿鳥來。一榻煙霜夜欲半。橘林星月影徘徊。元韻野老年來氣益豪。鏡中還笑泣霜毛。釣遊渭曲秋期晩。棊罷商顔午枕高。一棹搖搖輕似葉。三山渺渺小如舠。莫謾日逐漁蓑戱。會有長風破怒濤。寒蟲叫草鴈飛回。遠客悠悠意未裁。欲寄歸心還向月。爲舒離思且銜杯。高吟白雪誰能和。垂釣滄波不肯來。人世幾何長怨別。折花三嗅獨徘徊。</text>
<title>醻李景瞻</title>,<text>瓊詞遠寄野夫居。依舊空瓢任晏如。笑我狂言當醉發。愛君心地待人虗。方拋藥思垂釣。幾爲窮愁謾著書。海上乘桴曾有約。不妨黃髮老樵漁。</text>
<title>風舟 丙辰李敏求爲廵檢從事。許明府宲同舟至左水營。仍行嶺南。相與唱酬。遂次其韻。</title>,<text>畵角吹開海霧昏。魚龍奔走衛軍門。波掀厚地疑無底。水接長天不見源。旗纛掣風雲披拂。刀鎗耀日雪飛飜。壯遊勝事詩堪記。剪燭停杯更細論。</text>
<title>洋中夜宿</title>,<text>樓船擊楫泛中流。玉帳揮毫賦壯遊。雲入鏡中山入畵。人如天上月如舟。更籌刁斗邊聲遠。風露篷牕夜氣秋。萍水相逢眞幸爾。未能忘郤帝鄕愁。</text>
<title>夜望</title>,<text>丈夫何作遠遊悲。五十兵家一遍知。欲剗蠻巢洿剩水。期塡滄海種桑枝。終童心壯請纓日。定遠志堅投筆時。入夜營中寂如水。笳聲何處動人思。</text>
<title>登左水營江樓</title>,<text>東海氛祲豁眼空。樓中蠟炬半江紅。牙檣鐵軸龍驤壯。白羽雕弓虎隊雄。幕府芙蓉明麗日。胡床談笑灑淸風。三軍饗罷同歡醉。角疊相和畵鼓通。</text>
<title>書懷</title>,<text>牙璋高揭下江船。積水微茫接遠天。萬里風雲長嘯裏。三洋物色浪吟邊。還同王濬浮吳會。不是徐生訪海仙。策乏繞朝無所贈。腐儒頭白自哀憐。</text>
<title>過海分攜悵然書寄</title>,<text>聚散無端是亦緣。使星歸後倚戈船。儒裝弓劒沙鷗怪。海驛離愁夜月憐。仙侶依俙三島月。角聲悲壯五更天。山靑雲白幾千里。他日佳期又日邊。</text>
<title>題卷尾呈許明府 宲○二首</title>,<text>蓬萊骨格建安風。班馬壇塲一掃空。單父治聲琴軫上。江南物色錦囊中。靈槎蹔溯滄洲月。孤夢長懸漢闕楓。射斗龍光人不識。豐城誰掘劒雌雄。幕府文章第一流。舃鳧仙宰任分憂。方壺指作階庭地。滄海看爲鴈洲。費力笑他龍伯釣。成功期與赤松遊。男兒勳業當須早。莫待蕭蕭鏡裏秋。</text>
<title>題忠烈錄後 光海己未。金將軍應河戰死深河。朴承宗諸人。爲編忠烈錄。</title>,<text>大樹飄零風不息。將軍怒氣幾時平。鬱爲厲氣殲胡種。散作雷霆震虜營。宇宙綱常終不墜。碑祠忠烈豈無名。窮廬屈膝生何面。暴骨沙塲死亦榮。</text>
<title>別鄭秀才 壎坰 二難 善詩畫</title>,<text>三絶家聲有二珠。文章人說鳳凰雛。溪橋暮雨初傾盖。山寺寒燈更對壺。神筆灑雲眠鴈並。離愁兼醉病驢孤。他年京口如相憶。白首頹然舊酒壚。</text>
<title>竹島晨望寄陳剡湖</title>,<text>海霧沉沉海日生。遠山時斷近山橫。漁舟獨去棹謳早。鷗鳥閒眠潮水平。病客離愁空黯淡。霜楓秋色轉輕盈。倚牕欲作相思夢。雲樹煙波無限情。</text>
<title>遊鷲頭 在豆原。宋同知設席相邀。野隱，醉默，漁隱同會。</title>,<text>鷲頭飛勢對龍形。望裏煙波接杳冥。高出半天雲作幕。下臨無地海爲庭。靈槎漁艇何須問。湘瑟王簫亦可聽。舞袖一揮星月朗。五更風露醉還醒。次韻 鄭醉默地蹴滄洲作勝形。登臨便覺近靑冥。峰巒摠是秦方丈。空濶何如楚洞庭。玉笛息波龍出舞。瑤琴搖月鶴來聽。華筵苦被仙娥笑。一夜淸罇病獨醒。又 宋漁隱 名裕問字問甫滄洲勢接六鼇形。煙浪雲濤晝晦冥。望遠怳如登赤岸。躡虗何恨坐黃庭。天街星斗光堪摘。月殿嫦娥語可聽。今日罇前須酩酊。一生多愧古人醒。</text>
<title>復用前韻 湖山勝景。在吾肺腑。枕席魂夢。時尋舊跡。餘興怳惚。更步前韻以寄意。</title>,<text>山浮鼇背自成形。勢蹴蒼波拄紫冥。玄圃蓬萊皆几席。瀟湘雲夢卽階庭。分明星月杯觴壽。怳惚魚龍管瑟聽。風露一宵歌舞散。至今仙夢惱餘醒。</text>
<title>遊見星庵登臺巖 在馬北山。與醉默同遊。醉默先題。</title>,<text>鼇負神山石作臺。一聲長嘯鶴徘徊。滄洲弱水前期在。羽客靈槎此夜廻。秋露滿添瓊液酒。香煙細濕錦紋苔。興來却笑人間事。風雨悲歡幾劫灰。元韻百丈奇巖作勝臺。千秋子晉此徘徊。波連玄圃笙音近。山接蓬萊鶴影廻。葛幘不妨攲赤葉。蒲團還喜穩蒼苔。憑虗始遂淸遊願。四十年來俗慮灰。</text>
<title>守申 丙寅正月十六日○二首</title>,<text>荏苒流光促未申。韶顔誰得住長春。費仙不借壺中訣。秦帝空勞海上廵。酒聖不論時及卯。麴神何忌日當寅。竹溪舊伴留名姓。修契今人亦古人。志願平生未及申。容顔坐失鏡中春。求閒只喜無多事。愛酒惟知不記廵。醉送卯烏仍入酉。醒看乾鵲又啼寅。高陽埋沒蘭亭古。飮八仙中有幾人。</text>
<title>次贈申佐郞 申時謫固城</title>,<text>梅影橫交竹影縱。半庭殘照已高舂。偏憐峻坂愁鹽驥。更惜窮途卧醉龍。泮舍一罇燈下別。臯亭三夜夢中逢。相思折得春潭草。歸鴈應過鳳石峰。</text>
<title>贈崔汝順 悌源</title>,<text>男兒投筆志彎弓。爲愛恂恂古將風。莫信功名元有命。終知世路本無公。中宵不寐緣憂國。半世離親許匪躬。賴有匣中龍劒在。不平鳴處氣成虹。</text>
<title>白鷺</title>,<text>沙明水綠漾春暉。欲下遲回欲去飛。直割海山靑靄色。平分江渚碧苔磯。孤眠澹若忘飢飽。獨立閒如絶是非。頭白老夫曾有契。不須猜訝舊蓑衣。</text>
<title>贈別朴龜巖</title>,<text>自憐江海一殘生。扶病何堪送遠行。末路已知交道重。衰年况復別離輕。春霞滿爵休辭醉。夜雨留人不盡情。好與連床相問地。爲傳遼鶴舊時名。</text>
<title>次贈林松里 丙寅仲冬。叔瞻與朴彦章來訪。贈詩與劒。留三日而去。</title>,<text>相逢一笑鬢蕭蕭。不憚行程傍海遙。半世神交憐白首。小庭香橘翫靑條。連床展抱雲迷雨。剪燭論文夜達朝。投轄自然天借便。莫將離恨說河橋。元韻寒齋竟夜雨蕭蕭。雲氣蒼茫接塞遙。共說歸程山萬疊。各憐衰鬢雪千條。百年勝會惟今夕。終古傷離不一朝。無限羇愁添別恨。那堪匹馬渡河橋。</text>
<title>贈友人金橘</title>,<text>綠林黃實耀霜天。摘取香霏襲滿拳。巴圃已收棊叟局。龍洲何較木奴錢。遺親爲念人誠孝。畵鶴非酬酒聖賢。看玩無論多少數。一團馨德自靑年。</text>
<title>挽宋水使 希立○壬辰多戰功。露梁之戰。秘喪擊賊。仍奏捷。居官淸簡。平生喜射獵。</title>,<text>稀年榮享人間少。揮手長辭駕素車。大樹飄零風索莫。長城毁落國空虗。悲歌但聽從公曲。哀淚空沾過路祛。獨有羊曇依醉病。不堪鞭扣謝公閭。</text>
<title>七月旣望寄醉默</title>,<text>今日蘇仙赤壁遊。風流如昨已千秋。天中尙有當時月。江上誰浮此夜舟。病鶴鎖籠飛不得。流光隨水去無留。城南賭酒期同醉。出望征雲轉白頭。</text>
<title>哭林叔瞻</title>,<text>聞說孤山舊宅空。寒梅無主鶴辭籠。年前呂駕天留雨。春後王舟水阻風。點撿贈詩牋映玉。摩挲遺劒匣騰虹。牙絃斷絶柴門閉。泉下應知泣此翁。</text>
<title>次謝崔竹塢</title>,<text>金馬門前再擅名。靑雲滿後駕羣英。十年冠冕裁威豸。一代文章掣巨鯨。行路艱難何可說。江蘺憔悴獨傷情。万今雨露多恩澤。陰谷陽春幾日生。元韻早入芹宮擅令名。並遊皆許是豪英。氣凌雲漢南溟翼。飮渴滄波北海鯨。物外煙霞終有契。世間簪紱本無情。窮途每歎知音少。郤喜龍門托此生。</text>
<title>次謝朴子常</title>,<text>衣巾緇盡嶺湖塵。結草荒村混野民。自愛江山無定主。誰憐滄海有窮鱗。思家念切思歸夢。負母傭全負米身。晩世相逢許知已。如新休訝白頭人。元韻雲林迢遞隔風塵。放跡東洲作逸民。寶玉埋山難掩彩。神龍蟠澤未藏鱗。芳名上徹勛華耳。寵爵還如釣築身。敢向淸時辭不出。凜然高節更何人。</text>
<title>述懷寄竹塢。用前韻。</title>,<text>糲飯麻衣保姓名。自甘樗櫟不爲英。柴扉晝掩防山虎。漁艇春維怯海鯨。牙齒尙酸嘗世味。鬢毛渾白閱人情。愁來倚柱仍舒嘯。壁上陰符蠧已生。</text>
<title>白馬江亭。次壁上韻。二首○在扶餘</title>,<text>白馬投江龍不靈。義慈荒樂醉無醒。宮花落盡紅添浪。巖石長存翠作屛。流水瀉悲鳴古瀨。去鴻留怨叫殘星。登臨感古傷懷抱。莫遣佳人唱後庭。水麗出明摠地靈。登臨便覺客魂醒。遊人來往行明鏡。飛鳥高低度古屛。當日神龍呑馬餌。幾年杯酒勸長星。繁華寂寞尋無處。月色江聲共一庭。</text>
<title>送醉默還鄕</title>,<text>天恩何幸返田園。幾載江南泣覆盆。祖道今朝分去住。庭闈明日奉晨昏。離情倍切緣吾老。德義難忘爲子存。殄悴明時萊服舞。一身忠孝在君門。</text>
<title>將赴鈴閣。聞朴使君 鼎元 出外。次寄韻以呈。</title>,<text>强扶衰疾過江堧。五馬行塵道路傳。梅閣想閒籠鶴睡。橘簷應靜索鈴懸。皺眉不爲溪橋雪。罷興非同剡水船。滿酌村醪空自慰。竹林孤夜更誰憐。元韻少微星藻動南堧。徵士淸風世共傳。曩接麈談嗟見晩。每縻官務秪心懸。衙齋剩有迎徐榻。雪夜毋廻訪戴船。芒屩竹輿無不可。詩狂酒態幸相憐。</text>
<title>東臯唱和 余漁釣自娛。以孤舟爲號。及其衰年。於屋東開竹林拓斷臯。仍樹結棚。嘯傲其上。改稱東臯。時癸亥春也。有諸賢唱和。</title>,<text>野老籬邊有斷臯。淸陰礙日翦蓬蒿。地形傾仄蛇蹊曲。牀勢安平石枕高。龍遁廢園初化竹。松藏新瓮已成醪。忘他盥櫛長濡首。稚子何須鑷白毛。謹步東臯玉韻。仰呈淸案。鄭醉默丁翁亭子結東臯。坐客無氊席作蒿。小柱臨虗山勢斷。疎簷拱遠地形高。幽閒心事輸淸句。放浪生涯付濁醪。人世是非渾不管。向君誰敢更吹毛。密竹深林護一臯。知君爲此掃蓬蒿。茫茫原野東南逈。歷歷峰巒體勢高。已少風塵安草座。共披肝膽樂松醪。閒中氣像無他念。丹穴如今有鳳毛。東臯竹亭。次壁上韻。陳剡湖天慳一角斷成臯。丁老棲遲費翦蒿。三樹蔭簷竽籟合。數村連海島雲高。林邊欹枕凉侵夢。竹上攜杯影入醪。客至前郊秋稻熟。滿盤魚蠏間溪毛。留別東臯 剡湖○癸亥菊秋來訪而去幽居閒致勝鳴臯。一徑斜穿仲蔚蒿。老入科塲羞我鄙。少辭軒冕見君高。百年存沒回靑眼。數日琴歌醉白醪。別後茫茫山海隔。人間何事不龜毛。</text>
<title>奉酬 臯西里許。有古寺基。石柱高數十尺。指爲華表。又號歸鶴。簡齋以汝郁姓陳故稱之。</title>,<text>相看一笑對林臯。論舊親朋半沒蒿。華表癯容依老病。簡齋詩格自淸高。逢迎有數經炊黍。分別無端更酌醪。三十五年同一夢。離愁箇箇着霜毛。己丑距今三十五年</text>
<title>東臯雜詠 四首</title>,<text>山護平郊竹護臯。小棚仍樹席編蒿。持鎌日洗風枝亞。解帶時圍雨籜高。釣伴扣柴堆几鱠。田隣藉草滿甌醪。醉來嘯傲還頹睡。破幘蕭蕭兩鬢毛。鳳在靑梧鶴在臯。疎慵亦喜卧萊蒿。逐陰拓地墩仍爽。結竹成棚閣自高。就睡曲肱何用枕。消愁蹙口不須醪。柴扉晝掩長寥寂。時有幽禽刷羽毛。窮村深竹是東臯。枳殼繁花映草蒿。門外稻畦連野曠。欄邊嵐幛挹山高。田翁已去來溪友。新釀初開續舊醪。老婦亦知承順意。不言家事劇牛毛。圓山東麓自成臯。披竹爲亭拓野蒿。炎瘴不侵秋氣早。月光先到地形高。絞麻只擬盤供饌。種秫惟期罋潑醪。客至柴門無俗語。主人肝膽去皮毛。奉酬東臯老兄博粲 林松里幽居景像倣臨臯。一逕蕭條沒野蒿。隱不去鄕鄕共好。名仍混世世爭高。閒來每自耽佳句。興到時能引濁醪。醉後忘形與梅橘。回看勢利等龜毛。奉呈東臯老先生 李葛坡徵君新作動鳴臯。三逕蕭條半沒蒿。華表令威今姓是。竹林中散自名高。戶庭終日無塵雜。志願平生有濁醪。燒藥彈琴於此足。剩將名利比投毛。奉次東臯丈人竹亭韻 曺漢賓昭代登庸夔與臯。麒麟可惜老蓬蒿。胸呑瀛海海非闊。氣壓燈山山不高。亭上風光同栗里。壺中詩興付濁醪。却思前世金蘭契。存沒如今欲白毛。</text>
<title>賀李統制 舜臣 鳴梁大捷</title>,<text>閒山老帥醉眠濃。三百舟師一炬空。赤壁戈鋋飛燼焰。雲南將士化猿蟲。鯨波洶蕩掀蒼海。殺氣迷昏蔽碧穹。竄伏山原悲鳥鼠。顚連溝壑泣疲癃。嶺湖形勢囊探裏。州郡繁華席捲中。元帥提毫催草啓。將軍奮臂卽鞭驄。霜晴岱岫身如鶻。獵罷周郊德匪熊。部曲裹瘡思敵愾。人民手額感精忠。益州何暇裝樓艦。卽墨無緣備鐵籠。擊楫渡江天感誓。灑杯酹地淚盈瞳。胸中斗膽噴成血。匣裏龍刀吐作虹。葛廟洋前雲陣黑。鳴梁潮上火旗紅。中軍許死風行令。壯士捐生月滿弓。草木亦知爲晉勢。山川豈不助英雄。六花應處雲龍合。入陣麾來日月朦。箭雨紛紛穿畵甲。砲雷隱隱震鮫宮。前鋒碎盡刀迎竹。老賊逃餘雨散風。千百輕檣飜化燼。十三樓舸便輸功。洗兵江上波流溢。問罪營中鼎鑊充。海若呼歡輸壽萬。水仙奏樂頌功豐。春晴別墅棊纔罷。日午澶淵飮未終。立禁一麻前後葛。論功大樹古今馮。歌傳海上懽聲動。捷入天邊寵渥隆。湖女頂香爭道路。漢廷斟酒賀宸聰。長途騏驥誇霜足。何處駑駘怕錦幪。霹靂威聲猶震動。江河氣量自恢洪。雄風遠振滄溟渤。義氣高齊泰華崇。標柱道傍眞戱劇。沉碑江底亦朦朧。船龜背制神輸木。堂運籌成鬼拓叢。萬里金城橫塞上。千尋鐵鎖截江東。安危已許身心一。甘苦曾知士卒同。榻外鼾聞霜髮竪。懷中氷在壯心恫。濟河醪酒投添水。疏勒飛泉湧滿筩。拜表忠言非矯外。圖城方略盡由衷。牙門長揖無孫楚。玉帳奇鞱有呂蒙。擬與塡河膾鯷鰈。惟期仗劒倚崆峒。女眞破膽呼爺父。回紇驚心拜令公。蜀虎語傳愁魏賊。水龍謠在動巴童。黃雲秋早寒初沍。細柳春先意更融。料事幾勞床上筯。憂民先念澤中鴻。賑飢不藉陳倉粟。鑄餉勤輸渷水銅。刷雪神羞圖不共。挽回王業鞏無窮。三邊魚鳥疑飛簡。一角風雲護匪躬。斷斷赤心期死事。紛紛羣舌議和戎。悲風縱感臯家樹。孤夢長懸魏闕楓。地守河魁鯨海靜。關嚴刁斗狼煙通。垂名豈愧朱家史。圖像無羞漢畵工。今日腐儒無一策。半生浮跡逐飛蓬。神方已乏傳黃石。劒術曾無學白翁。滋筆題詩歌頌德。齊心瞻拜祝呼嵩。閒山在巨濟。老帥指元均也。先是李公舜臣爲均所誣。自統營就理而均代之。竟敗死。閒山遂陷。都元帥在晉州。聞李公得從軍自効之命。奔母喪。乃勉使收拾餘兵。俄起復。復爲統制使。馳入順天。得兵船十餘艘。稍收散卒。大敗賊于鳴梁。鳴梁卽海南地也。時湖南士庶避亂者散泊諸島。恃李公爲蔽。受約束助饋餉。爲後殿聲援。公亦與焉。</text>
<title>碧波亭次壁上韻 在珍島。與張方伯同登。方伯名晩字好古。卽己丑同年也。</title>,<text>過盡長亭與短亭。碧江煙霧滿樓庭。歸心黯黯隨征鴈。征馬蕭蕭戴曉星。地勢宛留龍虎踞。天風吹盡犬羊腥。山高鼇背撑南極。水簸鵬翎接北溟。鴉軋檣橈分去住。汗漫形勢助瞻聽。驚鞭尙有秦時石。應世難逢楚國萍。楓谷日暄霜氣薄。橘洲香冷露華零。愁邊歲月空頭白。客裏逢迎少眼靑。有信江潮回極浦。無心江鳥近寒汀。漁翁莫唱滄浪曲。今古騷人有幾經。</text>
